,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2008-10-11,18-308,LAK,SJS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,17:40,0,0,0,
1,2008-10-12,18-309,LAK,SJS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,25,23:56,0,0,0,
2,2008-10-14,18-311,LAK,ANA,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,19,15:52,1,0,0,
3,2008-10-17,18-314,LAK,CAR,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,27,22:28,3,0,0,
4,2008-10-20,18-317,LAK,COL,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,27,25:07,1,0,0,
5,2008-10-24,18-321,LAK,STL,W,0,0,0,3,0,0,0,0,0,,,,0,,29,23:42,0,0,0,
6,2008-10-25,18-322,LAK,NSH,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,22:43,0,0,0,
7,2008-10-27,18-324,LAK,DET,L-SO,0,0,0,1,0,0,0,0,0,,,,1,0.0,29,25:01,3,0,0,
8,2008-10-30,18-327,LAK,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,17:22,1,0,0,
9,2008-11-01,18-329,LAK,CGY,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,29,23:37,4,0,0,
10,2008-11-04,18-332,LAK,ANA,L-OT,0,0,0,0,2,0,0,0,0,,,,2,0.0,29,21:38,0,0,0,
11,2008-11-06,18-334,LAK,FLA,W,0,2,2,1,2,0,0,0,0,,,,1,0.0,25,20:54,1,0,0,
12,2008-11-08,18-336,LAK,STL,W,1,1,2,0,0,0,1,0,1,,,,1,100.0,29,25:09,0,0,0,
13,2008-11-11,18-339,LAK,DAL,W,0,1,1,0,0,0,0,0,0,,,,0,,26,25:41,0,0,0,
14,2008-11-13,18-341,LAK,DAL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,27,27:05,2,0,0,
15,2008-11-15,18-343,LAK,NSH,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,25,21:23,3,0,0,
16,2008-11-16,18-344,LAK,ANA,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,27,28:27,0,0,0,
17,2008-11-20,18-348,LAK,WSH,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,25,23:56,0,0,0,
18,2008-11-22,18-350,LAK,COL,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,31,29:04,0,0,0,
19,2008-11-25,18-353,LAK,CGY,L,0,0,0,-2,0,0,0,0,0,,,,0,,30,25:30,1,0,0,
20,2008-11-26,18-354,LAK,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,27,24:11,1,0,0,
21,2008-11-29,18-357,LAK,CHI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,22:28,1,0,0,
22,2008-12-01,18-359,LAK,TOR,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,27,24:06,5,0,0,
23,2008-12-02,18-360,LAK,PHX,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,28,23:43,1,0,0,
24,2008-12-05,18-363,LAK,EDM,L-SO,0,0,0,-2,2,0,0,0,0,,,,0,,32,26:09,0,0,0,
25,2008-12-06,18-364,LAK,CBJ,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,27,25:05,4,0,0,
26,2008-12-09,19-001,LAK,COL,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,26,21:24,2,0,0,
27,2008-12-11,19-003,LAK,STL,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,22,22:33,2,0,0,
28,2008-12-13,19-005,LAK,MIN,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,29,25:43,1,0,0,
29,2008-12-15,19-007,LAK,SJS,L-SO,0,0,0,-1,0,0,0,0,0,,,,3,0.0,28,26:02,0,0,0,
30,2008-12-17,19-009,LAK,NYR,L-OT,0,0,0,-1,2,0,0,0,0,,,,3,0.0,29,26:15,1,0,0,
31,2008-12-19,19-011,LAK,BUF,L,0,0,0,-3,0,0,0,0,0,,,,0,,29,22:22,1,0,0,
32,2008-12-20,19-012,LAK,DET,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,27,23:00,1,0,0,
33,2008-12-23,19-015,LAK,CBJ,W,0,1,1,1,4,0,0,0,0,,,,3,0.0,27,21:53,2,0,0,
34,2008-12-26,19-018,LAK,PHX,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,31,26:19,3,0,0,
35,2008-12-27,19-019,LAK,PHX,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,31,26:00,2,0,0,
36,2008-12-29,19-021,LAK,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,27,26:02,3,0,0,
37,2009-01-03,19-026,LAK,PHI,W,0,0,0,0,2,0,0,0,0,,,,6,0.0,35,26:59,1,0,0,
38,2009-01-06,19-029,LAK,ANA,L,0,0,0,-1,4,0,0,0,0,,,,0,,27,25:12,2,0,0,
39,2009-01-08,19-031,LAK,ANA,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,32,24:56,0,0,0,
40,2009-01-10,19-033,LAK,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,31,25:59,0,0,0,
41,2009-01-12,19-035,LAK,TBL,L,0,0,0,-2,0,0,0,0,0,,,,0,,15,13:03,2,0,0,
42,2009-01-17,19-040,LAK,DAL,L-SO,0,0,0,2,2,0,0,0,0,,,,0,,32,27:06,0,0,0,
43,2009-01-20,19-043,LAK,MIN,W,0,2,2,1,0,0,0,0,0,,,,3,0.0,27,22:32,0,0,0,
44,2009-01-21,19-044,LAK,COL,W,0,1,1,1,2,0,0,0,0,,,,0,,30,20:16,1,0,0,
45,2009-01-29,19-052,LAK,CHI,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,29,22:04,1,0,0,
46,2009-01-31,19-054,LAK,MTL,L,0,0,0,1,0,0,0,0,0,,,,0,,32,25:35,2,0,0,
47,2009-02-03,19-057,LAK,OTT,W,0,0,0,0,2,0,0,0,0,,,,0,,28,24:38,2,0,0,
48,2009-02-05,19-059,LAK,WSH,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,30,23:21,0,0,0,
49,2009-02-07,19-061,LAK,NJD,W,0,0,0,1,0,0,0,0,0,,,,0,,30,22:36,2,0,0,
50,2009-02-10,19-064,LAK,NYI,W,0,0,0,0,2,0,0,0,0,,,,0,,28,25:17,0,0,0,
51,2009-02-12,19-066,LAK,CGY,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,27,24:41,1,0,0,
52,2009-02-14,19-068,LAK,EDM,L-SO,1,0,1,0,2,0,1,0,0,,,,5,20.0,27,25:34,1,0,0,
53,2009-02-16,19-070,LAK,ATL,L-SO,0,2,2,-3,0,0,0,0,0,,,,6,0.0,33,25:05,0,0,0,
54,2009-02-18,19-072,LAK,ANA,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,31,26:01,0,0,0,
55,2009-02-19,19-073,LAK,SJS,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,30,23:39,1,0,0,
56,2009-02-21,19-075,LAK,PHX,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,26,20:15,2,0,0,
57,2009-02-24,19-078,LAK,MIN,W,0,0,0,-1,0,0,0,0,0,,,,0,,29,25:28,0,0,0,
58,2009-02-25,19-079,LAK,PHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,27,25:10,1,0,0,
59,2009-02-27,19-081,LAK,DET,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,26,22:37,1,0,0,
60,2009-03-01,19-083,LAK,CHI,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,29,24:34,0,0,0,
61,2009-03-03,19-085,LAK,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,24:56,1,0,0,
62,2009-03-05,19-087,LAK,DAL,W,0,2,2,0,0,0,0,0,0,,,,4,0.0,27,26:50,1,0,0,
