,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-10-15,19-188,ARI,BOS,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,21,14:33,0,0,1,0.0
1,2022-10-17,19-190,ARI,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:34,1,0,0,
2,2022-10-20,19-193,ARI,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,16:47,0,0,0,
3,2022-10-22,19-195,ARI,OTT,L,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,19,13:00,1,0,0,
4,2022-10-25,19-198,ARI,CBJ,W,1,0,1,0,0,0,1,0,1,0,0,0,3,33.3,15,11:55,1,0,0,
5,2022-10-28,19-201,ARI,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:26,0,0,0,
6,2022-10-30,19-203,ARI,NYR,L,0,2,2,-1,2,0,0,0,0,1,1,0,1,0.0,19,12:04,0,0,0,
7,2022-11-01,19-205,ARI,FLA,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,15,10:35,2,0,0,
8,2022-11-03,19-207,ARI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,13:23,2,0,0,
9,2022-11-05,19-209,ARI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:51,1,0,0,
10,2022-11-08,19-212,ARI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:20,0,0,0,
11,2022-11-10,19-214,ARI,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:43,0,0,0,
12,2022-11-12,19-216,ARI,NJD,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,17,11:24,0,0,0,
13,2022-11-13,19-217,ARI,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:44,0,0,0,
14,2022-11-17,19-221,ARI,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,16,12:43,0,0,0,
15,2022-11-23,19-227,ARI,CAR,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,12:09,1,0,0,
16,2022-11-25,19-229,ARI,DET,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,12:29,0,0,0,
17,2022-12-01,19-235,ARI,LAK,L,0,2,2,2,2,0,0,0,0,2,0,0,1,0.0,22,15:24,1,1,0,100.0
18,2022-12-03,19-237,ARI,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:39,0,0,0,
19,2022-12-05,19-239,ARI,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,12:12,1,0,0,
20,2022-12-07,19-241,ARI,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,15:24,0,0,1,0.0
21,2023-01-08,19-273,ARI,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,12:21,0,0,0,
22,2023-01-10,19-275,ARI,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:08,1,0,0,
23,2023-01-12,19-277,ARI,OTT,L,1,1,2,-1,0,0,1,0,0,1,0,0,5,20.0,22,15:57,1,0,0,
24,2023-01-14,19-279,ARI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,16:21,1,0,0,
25,2023-01-15,19-280,ARI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,18:47,1,0,0,
26,2023-01-17,19-282,ARI,DET,W,1,0,1,2,0,1,0,0,0,0,0,0,7,14.3,23,16:08,1,0,0,
27,2023-01-19,19-284,ARI,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:02,0,0,0,
28,2023-01-21,19-286,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:49,1,0,0,
29,2023-01-22,19-287,ARI,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,15:41,0,1,0,100.0
30,2023-01-24,19-289,ARI,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,13:31,0,0,0,
31,2023-01-26,19-291,ARI,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,12:44,0,0,0,
32,2023-01-28,19-293,ARI,ANA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,9:54,1,0,0,
33,2024-01-07,20-272,ARI,WPG,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,19,14:55,0,1,0,100.0
34,2024-01-09,20-274,ARI,BOS,W,1,1,2,1,0,1,0,0,0,0,1,0,5,20.0,20,16:51,1,0,0,
35,2024-01-11,20-276,ARI,CGY,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,18,12:57,0,0,0,
36,2024-01-13,20-278,ARI,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,17,13:43,0,0,0,
37,2024-01-16,20-281,ARI,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:24,0,0,0,
38,2024-01-18,20-283,ARI,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,18:06,0,0,0,
39,2024-01-20,20-285,ARI,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,15:15,0,0,1,0.0
40,2024-01-22,20-287,ARI,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,15:25,0,1,0,100.0
41,2024-01-24,20-289,ARI,FLA,L,1,1,2,1,2,0,1,0,0,1,0,0,6,16.7,23,20:26,1,0,1,0.0
42,2024-01-25,20-290,ARI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:41,1,0,0,
43,2024-01-27,20-292,ARI,CAR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,12:46,0,0,0,
44,2024-02-08,20-304,ARI,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,15:27,1,0,0,
45,2024-02-10,20-306,ARI,NSH,L-OT,1,1,2,1,0,0,1,0,0,1,0,0,2,50.0,18,15:29,1,0,0,
46,2024-02-12,20-308,ARI,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:34,1,0,0,
47,2024-02-14,20-310,ARI,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,15:24,2,0,0,
48,2024-02-16,20-312,ARI,CAR,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,18:34,1,0,0,
49,2024-02-18,20-314,ARI,COL,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,18:06,0,1,1,50.0
50,2024-02-19,20-315,ARI,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,18:52,2,0,0,
51,2024-02-21,20-317,ARI,TOR,L,1,0,1,-2,0,0,1,0,0,0,0,0,3,33.3,20,17:39,0,0,0,
52,2024-02-25,20-321,ARI,WPG,L-OT,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,17,11:38,0,0,0,
53,2024-02-27,20-323,ARI,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,17,16:42,1,0,1,0.0
54,2024-02-29,20-325,ARI,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,15:06,1,0,0,
55,2024-03-01,20-326,ARI,OTT,W,1,1,2,1,0,0,1,0,1,1,0,0,2,50.0,18,12:57,1,0,0,
56,2024-03-03,20-328,ARI,WSH,W,1,2,3,1,2,0,1,0,0,1,1,0,5,20.0,23,18:08,3,0,1,0.0
57,2024-03-05,20-330,ARI,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:26,1,0,0,
58,2024-03-07,20-332,ARI,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,16:39,1,0,0,
59,2024-03-08,20-333,ARI,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:55,2,0,0,
60,2024-03-10,20-335,ARI,CHI,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,23,15:19,2,0,0,
61,2024-03-12,20-337,ARI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,18:30,1,0,1,0.0
62,2024-03-14,20-339,ARI,DET,W,0,1,1,1,0,0,0,0,0,0,0,1,3,0.0,20,16:33,1,0,0,
63,2024-03-16,20-341,ARI,NJD,W,1,0,1,1,0,0,1,0,1,0,0,0,3,33.3,21,16:42,0,0,0,
64,2024-03-20,20-345,ARI,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,14:02,0,0,0,
65,2024-03-22,20-347,ARI,SEA,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,25,17:56,0,0,0,
66,2024-03-24,20-349,ARI,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,18:23,0,1,1,50.0
67,2024-03-26,20-351,ARI,CBJ,W,1,0,1,1,0,0,0,1,0,0,0,0,8,12.5,22,17:27,0,1,0,100.0
68,2024-03-28,20-353,ARI,NSH,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,21,15:50,1,0,0,
69,2024-03-30,20-355,ARI,NYR,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,20,18:56,1,0,0,
70,2024-04-03,20-359,ARI,VAN,L,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,21,17:46,0,0,0,
71,2024-04-05,20-361,ARI,VEG,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,19,15:07,0,0,2,0.0
72,2024-04-07,20-363,ARI,SJS,W,1,0,1,0,2,1,0,0,1,0,0,0,3,33.3,22,14:31,1,0,0,
73,2024-04-09,20-365,ARI,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,16:14,1,0,5,0.0
74,2024-04-10,21-000,ARI,VAN,W,1,3,4,4,0,1,0,0,0,3,0,0,4,25.0,24,21:29,0,0,3,0.0
75,2024-04-12,21-002,ARI,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,17:39,1,1,5,16.7
76,2024-04-14,21-004,ARI,CGY,L,2,0,2,-1,2,1,1,0,0,0,0,0,6,33.3,26,19:19,1,0,1,0.0
77,2024-04-17,21-007,ARI,EDM,W,1,1,2,0,0,0,1,0,0,1,0,0,3,33.3,22,16:45,1,0,0,
