,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-03-31,18-343,NSH,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,13:34,1,0,0,
1,2018-04-01,18-344,NSH,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:07,1,0,0,
2,2018-04-03,18-346,NSH,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,11:39,0,0,0,
3,2018-12-01,19-223,NSH,CHI,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,22,15:48,0,0,0,
4,2018-12-03,19-225,NSH,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:20,1,0,0,
5,2018-12-06,19-228,NSH,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:53,2,0,0,
6,2018-12-11,19-233,NSH,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,11:04,1,0,0,
7,2021-02-01,21-285,NSH,TBL,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,15,10:52,1,0,0,
8,2021-02-04,21-288,NSH,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:17,2,0,0,
9,2021-02-05,21-289,NSH,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:02,2,0,0,
10,2021-02-08,21-292,NSH,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:28,1,0,0,
11,2021-02-11,21-295,NSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:13,2,0,0,
12,2021-02-13,21-297,NSH,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:44,2,0,0,
13,2021-02-18,21-302,NSH,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:17,2,0,1,0.0
14,2021-02-20,21-304,NSH,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,15:37,4,0,0,
15,2021-02-23,21-307,NSH,DET,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,17,13:52,3,0,0,
16,2021-02-25,21-309,NSH,DET,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,14,13:09,0,0,0,
17,2021-02-27,21-311,NSH,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,15:02,1,0,0,
18,2021-02-28,21-312,NSH,CBJ,W,1,0,1,0,0,0,1,0,1,0,0,0,3,33.3,17,15:15,0,1,0,100.0
19,2021-03-02,21-314,NSH,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,17:49,3,0,0,
20,2021-03-04,21-316,NSH,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,13:10,1,0,1,0.0
21,2021-03-06,21-318,NSH,FLA,L,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,18,12:48,0,0,1,0.0
22,2021-03-07,21-319,NSH,DAL,W,1,1,2,0,0,0,1,0,0,0,1,0,3,33.3,20,15:10,2,0,0,
23,2021-03-09,21-321,NSH,CAR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,14:00,3,0,0,
24,2021-03-11,21-323,NSH,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:36,4,0,0,
25,2021-03-13,21-325,NSH,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,17:25,0,0,0,
26,2021-03-15,21-327,NSH,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,20,16:09,1,0,0,
27,2021-03-18,21-330,NSH,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:12,4,0,0,
28,2021-03-20,21-332,NSH,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,16,17:08,2,0,0,
29,2021-03-21,21-333,NSH,DAL,W,1,2,3,1,0,1,0,0,0,1,1,0,1,100.0,21,17:36,3,0,0,
30,2021-03-23,21-335,NSH,DET,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,17,15:00,0,0,0,
31,2021-03-25,21-337,NSH,DET,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,19,13:13,3,0,0,
32,2021-03-27,21-339,NSH,CHI,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,20,13:33,1,0,0,
33,2021-03-28,21-340,NSH,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,14:25,4,0,0,
34,2021-03-30,21-342,NSH,DAL,W,1,1,2,1,0,1,0,0,1,0,1,0,1,100.0,24,17:07,1,0,0,
35,2021-04-01,21-344,NSH,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,16:47,2,0,0,
36,2021-04-03,21-346,NSH,CHI,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,19,16:03,1,0,0,
37,2021-04-06,21-349,NSH,DET,W,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,20,17:20,5,0,0,
38,2021-04-21,21-364,NSH,CHI,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,15:00,3,0,0,
39,2021-04-23,22-001,NSH,CHI,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,16:25,2,0,0,
40,2021-04-26,22-004,NSH,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,15:27,1,0,0,
41,2021-04-27,22-005,NSH,FLA,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,18,12:37,2,0,0,
42,2021-05-01,22-009,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:51,1,0,0,
43,2021-05-03,22-011,NSH,CBJ,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,22,18:27,1,0,0,
44,2021-05-05,22-013,NSH,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:36,2,0,1,0.0
45,2021-05-08,22-016,NSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:04,2,0,0,
46,2021-05-10,22-018,NSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:31,4,0,1,0.0
47,2021-10-14,22-175,NSH,SEA,L,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,19,14:09,0,0,0,
48,2021-10-16,22-177,NSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,19,15:12,2,0,0,
49,2021-10-19,22-180,NSH,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,16,12:49,0,0,0,
50,2021-10-21,22-182,NSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:02,0,0,0,
51,2021-10-23,22-184,NSH,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:55,3,0,0,
52,2021-10-24,22-185,NSH,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1:18,0,0,0,
53,2021-10-26,22-187,NSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:07,1,0,0,
54,2021-10-30,22-191,NSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,14:00,0,0,0,
55,2021-11-02,22-194,NSH,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,13:57,3,0,0,
56,2021-11-03,22-195,NSH,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,16:51,6,0,0,
57,2021-11-05,22-197,NSH,VAN,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,17,13:29,1,0,0,
58,2021-11-07,22-199,NSH,CHI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,17,13:22,1,0,0,
59,2021-11-10,22-202,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:15,6,0,0,
60,2021-11-11,22-203,NSH,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:02,1,0,0,
61,2021-11-13,22-205,NSH,ARI,W,0,2,2,2,0,0,0,0,0,1,1,0,2,0.0,16,11:52,1,0,0,
62,2021-11-16,22-208,NSH,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:31,2,0,0,
63,2021-11-20,22-212,NSH,MTL,L,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,26,16:05,2,0,0,
64,2021-11-22,22-214,NSH,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,14:07,2,0,0,
65,2021-11-24,22-216,NSH,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,17,15:58,0,0,1,0.0
66,2021-11-26,22-218,NSH,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,17,13:20,1,0,0,
67,2021-11-27,22-219,NSH,COL,L,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,17,12:48,2,0,0,
68,2021-11-30,22-222,NSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,17:38,1,0,0,
69,2021-12-02,22-224,NSH,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:10,2,0,0,
70,2021-12-04,22-226,NSH,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,15:54,0,0,0,
71,2021-12-07,22-229,NSH,DET,W,1,0,1,3,0,1,0,0,0,0,0,0,1,100.0,21,15:50,3,0,0,
72,2021-12-09,22-231,NSH,NYI,W,1,0,1,2,0,1,0,0,1,0,0,0,3,33.3,23,15:34,2,0,0,
73,2021-12-10,22-232,NSH,NJD,W,1,0,1,0,2,0,1,0,0,0,0,0,2,50.0,26,19:25,2,0,0,
74,2021-12-12,22-234,NSH,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,19:06,4,0,0,
75,2021-12-16,22-238,NSH,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,13:58,1,0,0,
76,2021-12-17,22-239,NSH,CHI,W,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,23,15:39,4,0,0,
77,2021-12-29,22-251,NSH,WSH,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,19,11:50,2,0,0,
78,2021-12-30,22-252,NSH,CBJ,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,15:38,2,0,0,
79,2022-01-01,22-254,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,12:05,2,0,0,
80,2022-01-04,22-257,NSH,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,15:29,5,0,0,
81,2022-01-06,22-259,NSH,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,15:02,3,0,0,
82,2022-01-08,22-261,NSH,ARI,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,21,14:57,6,0,0,
83,2022-01-11,22-264,NSH,COL,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,24,21:58,1,0,0,
84,2022-01-13,22-266,NSH,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:13,5,0,0,
85,2022-01-15,22-268,NSH,BOS,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,21:22,6,0,0,
86,2022-01-17,22-270,NSH,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:25,4,0,0,
87,2022-01-18,22-271,NSH,VAN,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,15,13:25,2,0,0,
88,2022-01-20,22-273,NSH,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,15:19,3,0,0,
