,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-03-11,22-047,NSH,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:24,1,0,0,
1,2023-03-12,22-048,NSH,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:11,1,0,0,
2,2023-03-14,22-050,NSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,10:02,2,0,0,
3,2023-03-18,22-054,NSH,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:14,2,0,0,
4,2023-03-19,22-055,NSH,NYR,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,16,11:19,0,0,0,
5,2023-03-21,22-057,NSH,BUF,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,12:51,3,0,0,
6,2023-03-23,22-059,NSH,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:31,3,0,0,
7,2023-03-25,22-061,NSH,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:17,1,0,0,
8,2023-03-26,22-062,NSH,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:53,1,0,0,
9,2023-03-28,22-064,NSH,BOS,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,16,12:13,1,0,0,
10,2023-03-30,22-066,NSH,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:06,1,0,0,
11,2023-04-01,22-068,NSH,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,12:31,2,0,0,
12,2023-04-03,22-070,NSH,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:34,0,0,0,
13,2023-04-04,22-071,NSH,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,16:04,1,0,0,
14,2023-04-06,22-073,NSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:35,1,0,0,
15,2023-04-08,22-075,NSH,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:03,2,0,0,
16,2023-04-10,22-077,NSH,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,7:37,1,0,0,
17,2024-02-13,23-021,NSH,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,10:30,2,0,0,
18,2024-02-15,23-023,NSH,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:29,4,0,0,
