,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-04,20-125,CBJ,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:10,0,0,1,0.0
1,2019-10-05,20-126,CBJ,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:26,3,0,0,
2,2019-10-07,20-128,CBJ,BUF,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,18,12:38,1,0,0,
3,2019-10-11,20-132,CBJ,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,9:13,1,0,0,
4,2019-10-12,20-133,CBJ,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,9:05,2,0,0,
5,2019-10-16,20-137,CBJ,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:11,1,0,0,
6,2019-10-18,20-139,CBJ,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,17,12:38,1,0,1,0.0
7,2019-10-19,20-140,CBJ,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:24,1,0,0,
8,2019-10-21,20-142,CBJ,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,10,7:32,1,0,0,
9,2019-10-24,20-145,CBJ,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,11,8:19,0,0,0,
10,2019-10-26,20-147,CBJ,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:56,0,0,1,0.0
11,2019-10-30,20-151,CBJ,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:11,2,0,0,
12,2019-11-01,20-153,CBJ,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,8:12,0,0,0,
13,2019-11-02,20-154,CBJ,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:53,0,0,0,
14,2019-11-05,20-157,CBJ,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:59,1,0,0,
15,2019-11-07,20-159,CBJ,ARI,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,16,12:14,0,0,0,
16,2019-11-09,20-161,CBJ,COL,L,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,17,13:24,0,1,0,100.0
17,2019-11-12,20-164,CBJ,MTL,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,10:13,3,0,0,
18,2019-11-15,20-167,CBJ,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,15,11:08,2,0,0,
19,2019-11-19,20-171,CBJ,MTL,W,1,1,2,1,0,1,0,0,1,1,0,0,2,50.0,19,14:32,3,0,0,
20,2019-11-21,20-173,CBJ,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:06,1,0,0,
21,2019-11-23,20-175,CBJ,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:58,0,0,0,
22,2019-11-25,20-177,CBJ,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:32,1,0,0,
23,2019-11-27,20-179,CBJ,PHI,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,14,9:51,0,0,1,0.0
24,2019-11-29,20-181,CBJ,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:18,0,0,0,
25,2019-11-30,20-182,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:51,0,0,0,
26,2019-12-05,20-187,CBJ,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,15:50,1,0,1,0.0
27,2019-12-07,20-189,CBJ,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,10,7:16,1,0,0,
28,2020-01-06,20-219,CBJ,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:23,1,0,0,
29,2020-01-07,20-220,CBJ,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,12:17,1,0,0,
30,2020-01-09,20-222,CBJ,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:56,2,0,0,
31,2020-01-11,20-224,CBJ,VEG,W,1,0,1,1,0,0,1,0,1,0,0,0,1,100.0,18,12:42,1,2,0,100.0
32,2020-01-14,20-227,CBJ,BOS,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,17,13:46,1,0,0,
33,2020-01-16,20-229,CBJ,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,13:58,0,0,0,
34,2020-01-18,20-231,CBJ,NJD,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,19,17:00,1,0,1,0.0
35,2020-01-19,20-232,CBJ,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:13,0,0,0,
36,2020-01-22,20-235,CBJ,WPG,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,12:20,4,1,0,100.0
37,2020-02-01,20-245,CBJ,BUF,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,12:15,1,0,0,
38,2020-02-02,20-246,CBJ,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:59,1,0,0,
39,2020-02-04,20-248,CBJ,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,16,12:57,1,0,0,
40,2020-02-07,20-251,CBJ,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,14:36,0,0,1,0.0
41,2020-02-08,20-252,CBJ,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:30,0,0,0,
42,2020-02-10,20-254,CBJ,TBL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,14,10:39,0,0,1,0.0
43,2020-02-13,20-257,CBJ,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:04,3,0,0,
44,2020-02-14,20-258,CBJ,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,13:31,0,0,0,
45,2020-02-16,20-260,CBJ,NJD,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,21,15:41,0,0,0,
46,2020-02-18,20-262,CBJ,PHI,L,0,1,1,-2,0,0,0,0,0,0,1,0,0,,22,17:57,1,0,0,
47,2020-02-20,20-264,CBJ,PHI,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,9:17,0,0,0,
48,2020-02-22,20-266,CBJ,NSH,L-SO,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,16,9:37,0,0,0,
49,2020-02-24,20-268,CBJ,OTT,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,17,10:46,1,0,0,
50,2020-02-25,20-269,CBJ,MIN,L,1,0,1,-2,0,1,0,0,0,0,0,0,4,25.0,18,13:38,0,0,1,0.0
51,2020-02-28,20-272,CBJ,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:48,0,0,0,
52,2020-03-01,20-274,CBJ,VAN,W,1,0,1,-1,2,0,1,0,1,0,0,0,3,33.3,25,16:49,1,0,0,
53,2020-03-04,20-277,CBJ,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,14:56,1,0,0,
54,2020-03-07,20-280,CBJ,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,19:42,3,0,0,
55,2020-03-08,20-281,CBJ,VAN,W,1,0,1,0,2,1,0,0,0,0,0,0,5,20.0,21,15:46,2,0,0,
56,2021-01-14,21-227,CBJ,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,14:46,3,0,0,
57,2021-01-16,21-229,CBJ,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,9:12,0,0,0,
58,2021-01-18,21-231,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:37,1,0,0,
59,2021-01-19,21-232,CBJ,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:11,0,0,0,
60,2021-01-21,21-234,CBJ,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:20,0,0,0,
61,2021-02-25,21-269,CBJ,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:16,0,0,0,
62,2021-02-27,21-271,CBJ,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:10,0,0,0,
63,2021-02-28,21-272,CBJ,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:22,0,0,0,
64,2021-03-02,21-274,CBJ,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,14:04,2,0,0,
65,2021-03-04,21-276,CBJ,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:16,0,0,0,
66,2021-03-06,21-278,CBJ,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:20,1,0,0,
67,2021-03-09,21-281,CBJ,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,10:25,0,0,0,
68,2021-03-11,21-283,CBJ,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:25,1,0,0,
69,2021-03-13,21-285,CBJ,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,18,14:26,1,0,0,
70,2021-03-14,21-286,CBJ,DAL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:14,3,0,0,
71,2021-05-01,21-334,CBJ,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,15:33,1,0,0,
72,2021-05-03,21-336,CBJ,NSH,L-OT,3,0,3,1,0,2,1,0,0,0,0,0,8,37.5,24,18:10,1,0,0,
73,2021-05-05,21-338,CBJ,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:19,1,0,0,
74,2021-05-07,21-340,CBJ,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:53,0,0,0,
75,2021-05-08,21-341,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,15:08,0,0,0,
76,2021-12-30,22-212,CBJ,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:11,0,0,0,
77,2022-01-01,22-214,CBJ,CAR,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,14,9:03,0,0,0,
78,2022-01-04,22-217,CBJ,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,10:43,0,0,0,
79,2022-01-06,22-219,CBJ,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,8:44,0,0,0,
80,2022-01-08,22-221,CBJ,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:40,0,0,0,
81,2022-01-11,22-224,CBJ,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,9:43,1,0,0,
82,2022-01-13,22-226,CBJ,CAR,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,18,12:51,0,0,0,
83,2022-01-15,22-228,CBJ,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:10,1,0,0,
84,2022-01-20,22-233,CBJ,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:26,0,0,0,
85,2022-01-21,22-234,CBJ,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,7:18,1,0,0,
86,2022-01-27,22-240,CBJ,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,9:36,3,0,0,
87,2022-01-30,22-243,CBJ,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,11:22,1,0,0,
88,2022-01-31,22-244,CBJ,FLA,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,19,11:21,0,0,0,
89,2022-02-27,22-271,CBJ,PIT,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,11,7:47,0,0,0,
90,2022-03-01,22-273,CBJ,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:31,0,0,0,
91,2022-03-04,22-276,CBJ,LAK,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:42,2,0,0,
92,2022-03-05,22-277,CBJ,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:53,2,0,0,
93,2022-03-11,22-283,CBJ,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,8,6:19,0,0,0,
94,2022-03-13,22-285,CBJ,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:19,0,0,0,
95,2022-03-16,22-288,CBJ,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:03,0,0,0,
96,2022-03-17,22-289,CBJ,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:08,2,0,0,
97,2022-03-19,22-291,CBJ,STL,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,14,10:00,0,0,1,0.0
98,2022-03-22,22-294,CBJ,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:00,0,0,0,
99,2022-03-25,22-297,CBJ,WPG,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,6:25,0,0,0,
100,2022-03-26,22-298,CBJ,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:18,1,0,0,
101,2022-03-29,22-301,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,8:08,0,0,0,
102,2022-03-31,22-303,CBJ,NYI,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,13:13,1,0,0,
103,2022-04-02,22-305,CBJ,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,10:04,2,0,0,
104,2022-04-04,22-307,CBJ,BOS,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,20,12:49,2,0,0,
105,2022-04-05,22-308,CBJ,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:17,2,0,0,
106,2022-04-07,22-310,CBJ,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:14,1,0,0,
107,2022-04-09,22-312,CBJ,DET,W,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,18,15:58,2,0,1,0.0
108,2022-04-13,22-316,CBJ,MTL,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,20,15:30,2,0,0,
109,2022-04-16,22-319,CBJ,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:18,1,0,0,
110,2022-04-17,22-320,CBJ,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,14:38,2,1,0,100.0
111,2022-04-19,22-322,CBJ,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:13,1,0,0,
