,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-04-07,22-297,CBJ,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,11:21,0,0,0,
1,2019-01-05,23-205,CBJ,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:56,3,0,0,
2,2019-01-08,23-208,CBJ,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:12,0,0,0,
3,2019-01-10,23-210,CBJ,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:55,1,0,0,
4,2019-02-16,23-247,CBJ,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:54,1,0,0,
5,2019-02-18,23-249,CBJ,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:55,0,0,0,
6,2019-02-19,23-250,CBJ,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,15:17,4,0,0,
7,2019-02-22,23-253,CBJ,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:15,4,0,0,
8,2019-02-23,23-254,CBJ,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:51,5,0,0,
9,2019-02-26,23-257,CBJ,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:36,1,0,0,
10,2019-02-28,23-259,CBJ,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:06,1,0,0,
11,2019-03-02,23-261,CBJ,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,13:14,0,0,0,
12,2019-03-11,23-270,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5,5:49,2,0,0,
13,2019-03-21,23-280,CBJ,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:50,2,0,0,
14,2019-11-12,24-151,CBJ,MTL,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,12,8:42,4,0,0,
15,2019-11-15,24-154,CBJ,STL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,12:24,2,0,0,
16,2019-11-19,24-158,CBJ,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,14:41,0,0,0,
17,2019-11-21,24-160,CBJ,DET,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,17,11:26,3,0,0,
18,2019-11-23,24-162,CBJ,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,13:30,0,0,0,
19,2019-11-25,24-164,CBJ,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:28,1,0,0,
20,2019-11-27,24-166,CBJ,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,6:27,1,0,0,
21,2019-12-03,24-172,CBJ,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,6:50,1,0,0,
22,2019-12-07,24-176,CBJ,FLA,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,10:03,0,0,0,
23,2019-12-09,24-178,CBJ,WSH,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,11,5:47,0,0,0,
24,2019-12-12,24-181,CBJ,PIT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:08,4,0,0,
25,2019-12-14,24-183,CBJ,OTT,L-OT,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,13,10:16,2,0,0,
26,2019-12-16,24-185,CBJ,WSH,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,14,9:48,0,0,0,
27,2019-12-17,24-186,CBJ,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,11:19,0,0,0,
28,2019-12-19,24-188,CBJ,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:01,3,0,0,
29,2019-12-21,24-190,CBJ,NJD,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,15,10:23,3,0,0,
30,2019-12-23,24-192,CBJ,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,10:44,4,0,0,
31,2019-12-27,24-196,CBJ,WSH,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,11:05,0,0,0,
32,2019-12-29,24-198,CBJ,CHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:32,0,0,0,
33,2019-12-31,24-200,CBJ,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:30,2,0,0,
34,2020-01-02,24-202,CBJ,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:58,5,0,0,
35,2020-01-04,24-204,CBJ,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:17,7,0,0,
36,2020-01-06,24-206,CBJ,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:37,1,0,0,
