,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-03-14,19-193,OTT,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,17:20,1,0,0,
1,2019-03-21,19-200,OTT,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,18:47,0,0,0,
2,2019-10-02,20-030,OTT,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:57,4,0,0,
3,2019-10-05,20-033,OTT,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,13:36,1,0,0,
4,2019-10-10,20-038,OTT,STL,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,23,14:59,0,0,0,
5,2019-10-12,20-040,OTT,TBL,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,22,13:36,0,0,0,
6,2019-10-14,20-042,OTT,MIN,L,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,23,15:09,0,0,0,
7,2019-10-17,20-045,OTT,VEG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,14:57,0,0,0,
8,2019-10-19,20-047,OTT,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:57,0,0,0,
9,2019-10-21,20-049,OTT,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:22,0,0,0,
10,2019-10-23,20-051,OTT,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:44,0,0,0,
11,2019-10-25,20-053,OTT,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:40,1,0,0,
12,2019-10-27,20-055,OTT,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,7:59,0,0,0,
13,2019-11-02,20-061,OTT,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:15,0,0,0,
14,2019-11-04,20-063,OTT,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,15:41,0,0,0,
