,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-11-13,21-169,TBL,BUF,L,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,24,17:06,5,0,0,
1,2018-11-15,21-171,TBL,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,15:38,6,0,0,
2,2018-11-17,21-173,TBL,PHI,W,0,0,0,-1,6,0,0,0,0,0,0,0,2,0.0,24,17:16,4,0,0,
3,2018-11-19,21-175,TBL,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,10:22,1,0,0,
4,2018-11-21,21-177,TBL,FLA,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,25,17:03,1,0,0,
5,2018-11-23,21-179,TBL,CHI,W,0,2,2,3,0,0,0,0,0,2,0,0,2,0.0,21,16:45,5,0,0,
6,2018-11-25,21-181,TBL,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,17:00,2,0,0,
7,2018-11-27,21-183,TBL,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,18:10,5,0,0,
8,2018-11-29,21-185,TBL,BUF,W,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,24,16:59,0,0,0,
9,2018-12-01,21-187,TBL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,21:10,2,0,0,
10,2018-12-03,21-189,TBL,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,18:49,4,0,0,
11,2018-12-04,21-190,TBL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,21:55,1,0,0,
12,2018-12-06,21-192,TBL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,20:00,4,0,0,
13,2018-12-08,21-194,TBL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,19:36,6,0,0,
14,2018-12-10,21-196,TBL,NYR,W,0,1,1,1,5,0,0,0,0,1,0,0,4,0.0,21,15:42,2,0,0,
15,2018-12-13,21-199,TBL,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,25,20:31,5,0,0,
16,2018-12-18,21-204,TBL,VAN,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,25,19:03,5,0,0,
17,2018-12-20,21-206,TBL,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,16:35,1,0,0,
18,2018-12-22,21-208,TBL,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,28,19:27,6,0,0,
19,2018-12-29,21-215,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,18:28,4,0,0,
