,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-01-19,21-241,DAL,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:01,1,0,0,
1,2016-01-21,21-243,DAL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:58,1,0,0,
2,2016-01-23,21-245,DAL,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:45,0,0,0,
3,2016-01-25,21-247,DAL,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:27,2,0,0,
4,2016-10-18,22-148,DAL,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:44,0,0,0,
5,2016-10-20,22-150,DAL,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,18:46,0,0,0,
6,2016-10-25,22-155,DAL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:12,2,0,0,
7,2016-10-27,22-157,DAL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,21:38,1,0,0,
8,2016-10-29,22-159,DAL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,21:41,1,0,1,0.0
9,2016-11-01,22-162,DAL,CBJ,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,18:54,1,0,0,
10,2016-11-03,22-164,DAL,STL,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,28,18:33,3,0,0,
11,2016-11-05,22-166,DAL,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,26,20:04,3,0,0,
12,2016-11-06,22-167,DAL,CHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,19:25,2,0,0,
13,2016-11-08,22-169,DAL,WPG,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,21,13:51,2,0,0,
14,2016-11-21,22-182,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,21:46,0,0,0,
15,2016-11-23,22-184,DAL,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,27,18:51,0,0,0,
16,2016-11-25,22-186,DAL,VAN,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,29,21:13,1,0,0,
17,2016-11-28,22-189,DAL,STL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,30,20:35,2,0,0,
18,2016-11-29,22-190,DAL,DET,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,24,16:13,1,0,0,
19,2016-12-01,22-192,DAL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,19:21,1,0,0,
20,2016-12-03,22-194,DAL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,23:02,1,0,0,
21,2016-12-06,22-197,DAL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,22:49,1,0,0,
22,2016-12-08,22-199,DAL,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,30,22:47,2,0,0,
23,2016-12-10,22-201,DAL,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,30,20:54,4,0,0,
24,2016-12-11,22-202,DAL,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,19:40,2,0,0,
25,2016-12-13,22-204,DAL,ANA,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,28,21:04,0,0,0,
26,2016-12-15,22-206,DAL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,21:58,2,0,0,
27,2016-12-17,22-208,DAL,PHI,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,31,22:28,1,0,0,
28,2016-12-20,22-211,DAL,STL,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,30,23:49,1,0,0,
29,2016-12-23,22-214,DAL,LAK,W,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,26,21:14,2,0,0,
30,2016-12-27,22-218,DAL,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,27,23:21,1,0,0,
31,2016-12-29,22-220,DAL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,21:09,0,0,0,
32,2016-12-31,22-222,DAL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,29,22:42,4,0,0,
33,2017-01-04,22-226,DAL,MTL,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,28,21:31,4,0,0,
34,2017-01-07,22-229,DAL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,21:41,2,0,0,
35,2017-01-09,22-231,DAL,LAK,W,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,28,22:26,2,0,0,
36,2017-01-10,22-232,DAL,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,29,26:12,3,0,0,
37,2017-01-12,22-234,DAL,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,22:30,2,0,0,
38,2017-01-14,22-236,DAL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,25:47,1,0,0,
39,2017-01-16,22-238,DAL,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,27,23:25,1,0,0,
40,2017-01-17,22-239,DAL,NYR,W,0,0,0,2,2,0,0,0,0,0,0,0,0,,32,26:07,0,0,0,
41,2017-01-19,22-241,DAL,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,27,22:56,1,0,0,
42,2017-01-21,22-243,DAL,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,19:04,0,0,0,
43,2017-01-24,22-246,DAL,MIN,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,30,23:04,0,0,0,
44,2017-01-26,22-248,DAL,BUF,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,22:01,2,0,0,
45,2017-01-31,22-253,DAL,TOR,W,0,0,0,2,2,0,0,0,0,0,0,0,0,,30,20:03,1,0,0,
46,2017-02-02,22-255,DAL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,20:59,1,0,0,
47,2017-02-04,22-257,DAL,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,21:45,1,0,0,
48,2017-02-07,22-260,DAL,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,21:01,0,0,0,
49,2017-02-09,22-262,DAL,OTT,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,27,21:03,2,0,0,
50,2017-02-11,22-264,DAL,CAR,W,1,0,1,3,0,1,0,0,0,0,0,0,2,50.0,28,21:15,0,0,0,
51,2017-02-12,22-265,DAL,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,29,19:34,0,0,0,
52,2017-02-14,22-267,DAL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,32,24:21,0,0,0,
53,2017-02-16,22-269,DAL,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,29,25:40,0,0,0,
54,2017-02-18,22-271,DAL,TBL,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,29,22:40,1,0,0,
55,2017-02-24,22-277,DAL,ARI,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,26,24:31,0,0,0,
56,2017-02-26,22-279,DAL,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,28,23:26,1,0,0,
57,2017-02-28,22-281,DAL,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,25:18,1,0,0,
58,2017-03-02,22-283,DAL,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,23:26,3,0,0,
59,2017-03-04,22-285,DAL,FLA,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,26,22:56,1,0,0,
60,2017-03-06,22-287,DAL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,25:59,0,0,0,
61,2017-03-08,22-289,DAL,OTT,L,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,27,21:50,0,0,0,
62,2017-03-12,22-293,DAL,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,29,23:34,0,0,0,
63,2017-03-14,22-295,DAL,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,28,19:50,1,0,0,
64,2017-03-16,22-297,DAL,VAN,W,1,0,1,3,0,1,0,0,0,0,0,0,3,33.3,29,23:45,3,0,0,
65,2017-03-17,22-298,DAL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,22:46,0,0,0,
66,2017-03-20,22-301,DAL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,21:05,5,0,0,
67,2017-03-23,22-304,DAL,CHI,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,31,25:53,0,0,0,
68,2017-03-24,22-305,DAL,SJS,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,25,19:14,4,0,0,
69,2017-03-26,22-307,DAL,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,20:54,1,0,0,
70,2017-03-28,22-309,DAL,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,28,23:24,1,0,0,
71,2017-03-30,22-311,DAL,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,30,24:30,2,0,0,
72,2017-04-01,22-313,DAL,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,23:25,2,0,0,
73,2017-04-02,22-314,DAL,TBL,L,0,3,3,0,0,0,0,0,0,3,0,0,3,0.0,26,27:09,0,0,0,
74,2017-04-04,22-316,DAL,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,24:24,1,0,0,
75,2017-04-06,22-318,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,23:38,1,0,0,
76,2017-04-08,22-320,DAL,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,26,21:49,1,0,0,
