,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-06,18-351,EDM,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:57,2,0,0,
1,2018-10-11,18-356,EDM,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,13:47,1,0,0,
2,2018-10-13,18-358,EDM,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,11:15,1,0,0,
3,2018-10-18,18-363,EDM,BOS,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,13:17,1,0,0,
4,2018-10-20,19-000,EDM,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,14:36,1,0,0,
5,2018-10-23,19-003,EDM,PIT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:37,0,0,0,
6,2018-10-25,19-005,EDM,WSH,W,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,13,11:00,0,0,0,
7,2021-02-02,21-105,EDM,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,23,16:56,0,0,0,
8,2021-02-06,21-109,EDM,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,13:50,1,0,0,
9,2021-02-08,21-111,EDM,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,16:58,0,0,0,
10,2021-02-09,21-112,EDM,OTT,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,18,13:13,4,0,0,
11,2021-02-11,21-114,EDM,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,18:39,2,0,0,
12,2021-02-15,21-118,EDM,WPG,L,0,2,2,0,0,0,0,0,0,2,0,0,8,0.0,22,20:23,0,0,0,
13,2021-02-17,21-120,EDM,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,9:10,0,0,0,
14,2021-02-19,21-122,EDM,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,8:23,0,0,0,
