,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2009-10-03,18-062,ATL,TBL,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,17,11:09,0,0,0,
1,2009-10-08,18-067,ATL,STL,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,19,14:38,2,0,0,
2,2009-10-10,18-069,ATL,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,14:25,1,0,0,
3,2009-10-16,18-075,ATL,NJD,W,1,0,1,1,4,1,0,0,0,,,,2,50.0,17,13:40,0,0,0,
4,2009-10-17,18-076,ATL,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,14:04,2,0,0,
5,2009-10-20,18-079,ATL,MTL,L-SO,0,1,1,0,2,0,0,0,0,,,,3,0.0,16,12:44,3,0,0,
6,2009-10-22,18-081,ATL,WSH,L,0,0,0,-1,2,0,0,0,0,,,,0,,17,11:22,1,0,0,
7,2009-10-24,18-083,ATL,SJS,L,1,0,1,1,2,1,0,0,0,,,,2,50.0,26,19:02,0,0,0,
8,2009-10-29,18-088,ATL,WSH,L,0,0,0,0,2,0,0,0,0,,,,6,0.0,17,16:55,1,0,0,
9,2009-10-31,18-090,ATL,OTT,W,0,0,0,1,0,0,0,0,0,,,,0,,16,12:49,3,0,0,
10,2009-11-03,18-093,ATL,MTL,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,14,10:52,2,0,1,0.0
11,2009-11-05,18-095,ATL,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,12:17,2,0,0,
12,2009-11-07,18-097,ATL,NYI,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,17,16:21,1,0,0,
13,2009-11-08,18-098,ATL,STL,W,0,0,0,2,0,0,0,0,0,,,,2,0.0,18,14:25,1,0,1,0.0
14,2009-11-12,18-102,ATL,NYR,W,1,1,2,1,0,1,0,0,1,,,,1,100.0,21,13:15,1,0,0,
15,2009-11-13,18-103,ATL,LAK,W,2,1,3,3,0,1,0,1,1,,,,3,66.7,18,15:57,1,0,0,
16,2009-11-15,18-105,ATL,EDM,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:08,0,0,0,
17,2009-11-19,18-109,ATL,BOS,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:48,2,0,0,
18,2009-11-21,18-111,ATL,PIT,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,14,12:46,2,1,0,100.0
19,2009-11-22,18-112,ATL,TBL,L-OT,1,0,1,0,0,1,0,0,0,,,,3,33.3,16,14:07,1,0,0,
20,2009-11-25,18-115,ATL,DET,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,11:20,1,0,0,
21,2009-11-27,18-117,ATL,CAR,W,1,0,1,2,2,1,0,0,0,,,,4,25.0,22,16:58,4,0,0,
22,2009-11-28,18-118,ATL,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:17,1,0,0,
23,2009-11-30,18-120,ATL,FLA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,19,15:12,3,0,0,
24,2009-12-03,18-123,ATL,NYI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,16:06,1,0,0,
25,2009-12-05,18-125,ATL,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:10,1,0,0,
26,2009-12-07,18-127,ATL,TOR,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,16,13:24,0,1,0,100.0
27,2009-12-10,18-130,ATL,VAN,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,12:49,1,1,0,100.0
28,2009-12-12,18-132,ATL,MTL,W,0,1,1,2,2,0,0,0,0,,,,1,0.0,17,11:51,2,0,0,
29,2009-12-14,18-134,ATL,NYR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,18,12:14,0,0,0,
30,2009-12-16,18-136,ATL,FLA,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,17,14:38,3,1,0,100.0
31,2009-12-17,18-137,ATL,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:16,2,0,0,
32,2009-12-19,18-139,ATL,NJD,L,0,0,0,1,0,0,0,0,0,,,,0,,17,15:25,2,0,0,
33,2009-12-21,18-141,ATL,MTL,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,18,14:56,2,2,1,66.7
34,2009-12-23,18-143,ATL,BOS,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,16,14:05,4,1,1,50.0
35,2009-12-26,18-146,ATL,TBL,L,0,0,0,0,2,0,0,0,0,,,,4,0.0,19,14:59,3,0,0,
36,2009-12-28,18-148,ATL,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,11:11,0,,,
37,2009-12-30,18-150,ATL,BOS,L,0,0,0,-1,2,0,0,0,0,,,,0,,19,16:40,1,0,0,
38,2010-01-01,18-152,ATL,BUF,L-OT,1,0,1,-1,0,1,0,0,0,,,,3,33.3,19,15:24,0,0,0,
39,2010-01-02,18-153,ATL,NYI,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,19,12:42,0,0,0,
40,2010-01-05,18-156,ATL,PIT,L,0,0,0,-1,4,0,0,0,0,,,,4,0.0,15,12:45,1,0,1,0.0
41,2010-01-07,18-158,ATL,NYR,W,0,0,0,0,4,0,0,0,0,,,,3,0.0,18,13:08,1,0,0,
42,2010-01-09,18-160,ATL,WSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,11:52,2,1,0,100.0
43,2010-01-12,18-163,ATL,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,17:00,4,1,0,100.0
44,2010-01-14,18-165,ATL,BUF,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,16,13:44,0,0,0,
45,2010-01-16,18-167,ATL,CAR,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,15,8:41,4,0,0,
46,2010-01-18,18-169,ATL,FLA,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,13:46,2,0,0,
47,2010-01-19,18-170,ATL,TOR,W,1,0,1,-2,2,1,0,0,0,,,,5,20.0,17,13:45,0,0,0,
48,2010-01-21,18-172,ATL,CAR,L,0,1,1,1,2,0,0,0,0,,,,3,0.0,18,11:29,2,0,0,
49,2010-01-23,18-174,ATL,TBL,L-SO,0,0,0,0,0,0,0,0,0,,,,4,0.0,17,14:25,1,0,1,0.0
50,2010-01-26,18-177,ATL,ANA,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,17,12:26,2,1,0,100.0
