,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-22,23-174,NSH,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:01,0,1,2,33.3
1,2016-11-27,23-210,NSH,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:55,0,0,0,
2,2016-11-29,23-212,NSH,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,13:02,0,0,0,
3,2016-12-03,23-216,NSH,NJD,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:55,0,3,5,37.5
4,2016-12-04,23-217,NSH,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,12,8:39,0,0,0,
5,2016-12-06,23-219,NSH,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:54,0,0,0,
6,2016-12-08,23-221,NSH,DAL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,10:57,0,0,0,
7,2016-12-10,23-223,NSH,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:22,0,0,1,0.0
8,2017-01-08,23-252,NSH,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,8:13,1,0,0,
9,2017-10-17,24-169,NSH,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,12,7:27,0,0,1,0.0
10,2017-10-19,24-171,NSH,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:34,0,3,3,50.0
11,2017-10-21,24-173,NSH,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,8:28,1,2,2,50.0
12,2017-10-24,24-176,NSH,CGY,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,11:40,0,3,6,33.3
13,2017-10-27,24-179,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:52,1,2,6,25.0
14,2017-10-28,24-180,NSH,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:27,1,6,6,50.0
15,2017-11-01,24-184,NSH,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,14,7:47,1,3,1,75.0
16,2017-11-03,24-186,NSH,ANA,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,18,12:18,0,5,6,45.5
17,2017-11-04,24-187,NSH,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,12:27,0,2,1,66.7
18,2017-11-07,24-190,NSH,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:00,0,5,4,55.6
19,2017-11-22,24-205,NSH,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:39,0,5,3,62.5
20,2017-11-26,24-209,NSH,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,7:56,2,2,3,40.0
21,2017-11-30,24-213,NSH,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:29,1,5,2,71.4
22,2017-12-02,24-215,NSH,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:27,0,1,4,20.0
23,2017-12-04,24-217,NSH,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,9:23,0,6,2,75.0
24,2017-12-05,24-218,NSH,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,12:39,1,3,7,30.0
25,2017-12-08,24-221,NSH,VEG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:01,0,4,2,66.7
26,2017-12-30,24-243,NSH,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:21,0,3,3,50.0
27,2018-01-16,24-260,NSH,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:19,0,2,4,33.3
28,2018-01-18,24-262,NSH,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,6:59,0,7,4,63.6
29,2018-10-06,25-158,NSH,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:28,0,1,4,20.0
30,2018-10-09,25-161,NSH,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,5:54,0,0,1,0.0
31,2018-10-20,25-172,NSH,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:35,1,0,0,
32,2018-11-01,25-184,NSH,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:04,0,1,3,25.0
33,2018-11-03,25-186,NSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:33,0,3,1,75.0
34,2018-11-07,25-190,NSH,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:16,0,1,4,20.0
35,2018-11-10,25-193,NSH,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,7:32,0,2,5,28.6
36,2018-11-12,25-195,NSH,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,7:50,1,3,3,50.0
37,2018-11-13,25-196,NSH,SJS,L,0,0,0,2,0,0,0,0,0,0,0,0,0,,11,7:03,0,3,3,50.0
38,2018-11-15,25-198,NSH,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:42,1,2,2,50.0
39,2018-11-17,25-200,NSH,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:21,0,5,3,62.5
40,2018-11-19,25-202,NSH,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:05,0,6,0,100.0
41,2018-11-21,25-204,NSH,STL,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,10,6:59,0,3,4,42.9
42,2018-11-23,25-206,NSH,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:56,1,7,7,50.0
43,2018-11-25,25-208,NSH,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,7:53,0,3,3,50.0
44,2018-11-27,25-210,NSH,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:21,1,6,2,75.0
45,2018-11-29,25-212,NSH,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,11:33,1,6,7,46.2
46,2018-12-01,25-214,NSH,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,8:45,0,1,7,12.5
47,2018-12-03,25-216,NSH,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:23,0,2,0,100.0
48,2018-12-06,25-219,NSH,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:19,3,3,1,75.0
49,2018-12-08,25-221,NSH,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:24,0,0,2,0.0
