,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-25,21-239,DET,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,11:01,1,0,0,
1,2019-10-27,21-241,DET,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,12:01,1,0,0,
2,2019-10-29,21-243,DET,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:34,1,0,0,
3,2019-11-12,21-257,DET,ANA,W,0,0,0,0,5,0,0,0,0,0,0,0,0,,8,6:57,3,0,0,
4,2019-11-14,21-259,DET,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,6:19,3,0,0,
5,2019-12-31,21-306,DET,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:50,2,0,0,
6,2020-01-03,21-309,DET,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:38,2,0,0,
7,2020-01-07,21-313,DET,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,13,9:44,2,0,0,
8,2020-01-10,21-316,DET,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:31,3,0,0,
9,2020-01-12,21-318,DET,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:41,8,0,0,
10,2020-01-14,21-320,DET,NYI,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,15,13:10,0,0,0,
11,2020-01-17,21-323,DET,PIT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,13,8:21,3,0,0,
12,2020-01-18,21-324,DET,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:40,0,0,0,
13,2020-01-20,21-326,DET,COL,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,13,11:15,2,0,0,
14,2020-01-22,21-328,DET,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:57,1,0,0,
15,2020-01-31,21-337,DET,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:13,2,0,0,
16,2020-02-01,21-338,DET,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,12,7:41,1,0,0,
17,2020-02-03,21-340,DET,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:04,2,0,0,
18,2020-02-06,21-343,DET,BUF,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,10,6:24,2,0,0,
19,2020-02-07,21-344,DET,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:31,2,0,0,
20,2020-02-09,21-346,DET,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:48,1,0,0,
21,2021-01-24,22-331,DET,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:56,3,0,0,
22,2021-01-26,22-333,DET,DAL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,11,7:05,2,0,0,
23,2021-01-28,22-335,DET,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,9:37,0,0,0,
24,2021-01-31,22-338,DET,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,10:06,1,0,0,
25,2021-02-05,22-343,DET,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,18,12:29,2,0,0,
26,2021-02-07,22-345,DET,FLA,W,1,1,2,2,7,1,0,0,1,1,0,0,4,25.0,13,11:03,2,0,0,
27,2021-02-09,22-347,DET,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:30,2,0,0,
28,2021-02-11,22-349,DET,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,8:30,3,0,0,
29,2021-03-30,23-030,DET,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,9:17,1,0,0,
30,2021-04-01,23-032,DET,FLA,L-OT,0,0,0,0,10,0,0,0,0,0,0,0,1,0.0,15,9:05,1,0,0,
31,2021-04-03,23-034,DET,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:51,1,0,0,
32,2021-04-04,23-035,DET,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,14:25,1,0,0,
33,2021-04-06,23-037,DET,NSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:53,1,0,0,
34,2021-04-08,23-039,DET,NSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,17,11:37,2,0,0,
