,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-02-06,21-109,DET,BUF,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,12:07,0,0,0,
1,2020-02-07,21-110,DET,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,30,20:26,3,0,0,
2,2020-02-09,21-112,DET,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:29,2,0,0,
3,2020-02-11,21-114,DET,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:39,1,0,0,
4,2020-02-13,21-116,DET,NJD,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,27,18:45,1,0,0,
5,2020-02-15,21-118,DET,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,24,18:07,0,0,0,
6,2020-02-16,21-119,DET,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,27,18:41,3,0,0,
7,2020-02-18,21-121,DET,MTL,W,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,19,13:37,0,0,0,
8,2020-02-21,21-124,DET,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:22,3,0,0,
9,2020-02-23,21-126,DET,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:04,0,0,0,
10,2020-02-25,21-128,DET,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:42,2,0,0,
11,2020-02-29,21-132,DET,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,18:27,2,0,0,
12,2020-03-02,21-134,DET,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,11:37,0,0,0,
13,2020-03-06,21-138,DET,CHI,W,0,1,1,0,2,0,0,0,0,0,1,0,0,,19,13:42,0,0,0,
14,2020-03-08,21-140,DET,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,21:49,1,0,0,
15,2020-03-10,21-142,DET,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,20:03,1,0,0,
16,2021-04-12,22-174,DET,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:52,1,0,0,
17,2021-04-15,22-177,DET,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,14:13,0,0,0,
18,2021-04-17,22-179,DET,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,14:43,2,0,0,
19,2021-04-19,22-181,DET,DAL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,14:49,0,0,0,
20,2021-04-20,22-182,DET,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:32,2,0,0,
21,2021-04-22,22-184,DET,DAL,W,0,2,2,3,0,0,0,0,0,2,0,0,0,,21,13:16,1,0,0,
22,2021-04-24,22-186,DET,DAL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:43,0,0,0,
23,2021-04-27,22-189,DET,CBJ,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,20:19,2,0,0,
24,2021-04-29,22-191,DET,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,15:59,0,0,0,
25,2021-05-01,22-193,DET,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,20:11,1,0,0,
26,2021-05-02,22-194,DET,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:44,0,0,0,
27,2021-05-07,22-199,DET,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,19:00,3,0,0,
28,2021-05-08,22-200,DET,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,22:11,2,0,0,
