,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-11-19,20-353,MIN,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:41,2,0,0,
1,2015-11-28,20-362,MIN,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:42,0,0,0,
2,2016-11-29,21-364,MIN,VAN,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:40,0,0,0,
3,2017-02-08,22-069,MIN,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:05,0,0,0,
4,2017-02-10,22-071,MIN,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,13:01,2,0,0,
5,2017-02-12,22-073,MIN,DET,W,0,2,2,0,0,0,0,0,0,1,1,0,0,,21,17:35,2,0,0,
6,2017-02-14,22-075,MIN,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,13:33,0,0,0,
7,2017-02-16,22-077,MIN,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:26,1,0,0,
8,2017-02-18,22-079,MIN,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,19:32,2,0,0,
9,2017-02-21,22-082,MIN,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,14:38,0,0,0,
10,2017-03-07,22-096,MIN,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:50,1,0,0,
11,2017-03-09,22-098,MIN,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:51,1,0,0,
12,2017-03-19,22-108,MIN,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,11:53,1,0,0,
13,2017-03-21,22-110,MIN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:38,0,0,0,
14,2017-03-23,22-112,MIN,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,10,8:34,0,0,0,
15,2017-10-07,22-310,MIN,CAR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,4:58,2,0,0,
16,2017-10-12,22-315,MIN,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:50,2,0,0,
17,2017-10-14,22-317,MIN,CBJ,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,11:15,1,0,0,
18,2017-10-21,22-324,MIN,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,12:10,0,0,0,
