,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-06,19-259,ANA,WPG,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,24,18:41,0,0,0,
1,2013-10-10,19-263,ANA,NYR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,27,21:19,1,0,0,
2,2013-10-13,19-266,ANA,OTT,W,0,2,2,4,0,0,0,0,0,,,,6,0.0,28,18:29,0,0,0,
3,2013-10-16,19-269,ANA,CGY,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,26,18:09,1,0,0,
4,2013-10-18,19-271,ANA,PHX,W,0,0,0,2,0,0,0,0,0,,,,3,0.0,26,19:17,0,0,0,
5,2013-10-20,19-273,ANA,DAL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,23,18:55,0,0,0,
6,2013-10-22,19-275,ANA,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,18:58,0,0,0,
7,2013-10-24,19-277,ANA,MTL,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,28,22:19,0,0,0,
8,2013-10-25,19-278,ANA,OTT,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,27,19:56,0,0,0,
9,2013-10-27,19-280,ANA,CBJ,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,20:37,1,0,1,0.0
10,2013-10-29,19-282,ANA,PHI,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,17:22,1,0,0,
11,2013-10-31,19-284,ANA,BOS,L-SO,0,0,0,-1,2,0,0,0,0,,,,1,0.0,22,16:50,0,0,0,
12,2013-11-02,19-286,ANA,BUF,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,26,21:40,0,0,0,
13,2013-11-04,19-288,ANA,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,22,17:37,0,0,0,
14,2013-11-06,19-290,ANA,PHX,W,1,1,2,2,0,1,0,0,0,,,,2,50.0,23,18:21,0,0,0,
15,2013-11-08,19-292,ANA,BUF,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,22:06,1,0,0,
16,2013-11-10,19-294,ANA,VAN,W,0,0,0,2,0,0,0,0,0,,,,0,,24,17:12,1,0,0,
17,2013-11-12,19-296,ANA,FLA,L,1,0,1,-1,2,1,0,0,0,,,,4,25.0,23,17:30,0,0,0,
18,2013-11-14,19-298,ANA,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,26,19:46,1,0,0,
19,2013-11-15,19-299,ANA,CAR,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,27,21:32,1,0,0,
20,2013-11-18,19-302,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,17:49,0,0,0,
21,2013-11-20,19-304,ANA,NJD,L-OT,0,1,1,-1,0,0,0,0,0,,,,3,0.0,24,20:33,1,0,0,
22,2013-11-22,19-306,ANA,TBL,W,0,0,0,1,0,0,0,0,0,,,,5,0.0,28,20:31,0,0,0,
23,2013-11-23,19-307,ANA,PHX,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,23,21:04,0,0,0,
24,2013-11-26,19-310,ANA,DAL,L,0,1,1,-1,2,0,0,0,0,,,,1,0.0,27,20:23,0,0,0,
25,2013-11-29,19-313,ANA,CGY,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,20:07,1,0,0,
26,2013-11-30,19-314,ANA,SJS,L-SO,0,0,0,0,0,0,0,0,0,,,,4,0.0,24,16:04,0,0,0,
27,2013-12-03,19-317,ANA,LAK,L-SO,0,1,1,0,0,0,0,0,0,,,,1,0.0,22,18:36,3,0,0,
28,2013-12-06,19-320,ANA,CHI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,30,18:41,1,0,0,
29,2013-12-07,19-321,ANA,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,26,18:12,1,0,0,
30,2013-12-09,19-323,ANA,NYI,W,0,0,0,2,0,0,0,0,0,,,,2,0.0,26,20:37,0,0,0,
31,2013-12-11,19-325,ANA,MIN,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,23,17:59,0,0,0,
32,2013-12-15,19-329,ANA,EDM,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,26,21:55,0,0,0,
33,2013-12-17,19-331,ANA,DET,W,0,0,0,3,0,0,0,0,0,,,,1,0.0,26,19:42,1,0,0,
34,2013-12-20,19-334,ANA,NJD,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,27,19:05,0,0,0,
35,2013-12-23,19-337,ANA,WSH,W,1,1,2,2,0,1,0,0,1,,,,2,50.0,23,17:05,0,0,0,
36,2013-12-28,19-342,ANA,PHX,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,18:23,0,0,0,
37,2013-12-29,19-343,ANA,SJS,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,20:03,0,0,0,
38,2013-12-31,19-345,ANA,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,22,18:49,2,0,0,
39,2014-01-03,19-348,ANA,EDM,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,20:07,1,0,0,
40,2014-01-05,19-350,ANA,VAN,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,29,21:58,2,0,0,
41,2014-01-07,19-352,ANA,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,21,18:54,2,0,0,
42,2014-01-09,19-354,ANA,NSH,W,0,0,0,1,0,0,0,0,0,,,,0,,25,20:57,0,0,0,
43,2014-01-11,19-356,ANA,PHX,W,2,0,2,0,4,1,1,0,0,,,,3,66.7,28,19:04,1,0,0,
44,2014-01-12,19-357,ANA,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,24,19:22,2,0,0,
45,2014-01-15,19-360,ANA,VAN,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,23,19:36,0,0,0,
46,2014-01-17,19-362,ANA,CHI,L,0,0,0,0,2,0,0,0,0,,,,0,,24,17:17,1,0,0,
47,2014-01-18,19-363,ANA,STL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,18:44,0,0,0,
48,2014-01-21,20-001,ANA,WPG,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,24:10,1,0,0,
49,2014-01-23,20-003,ANA,LAK,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,17:56,2,0,0,
50,2014-01-25,20-005,ANA,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,29,20:16,0,0,0,
51,2014-01-28,20-008,ANA,MIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,17:00,0,0,0,
52,2014-01-30,20-010,ANA,PHI,W,0,1,1,2,2,0,0,0,0,,,,0,,22,14:18,1,0,0,
53,2014-02-01,20-012,ANA,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,23:41,2,0,0,
54,2014-02-03,20-014,ANA,CBJ,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,22,17:03,1,0,0,
55,2014-02-05,20-016,ANA,CHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,23:19,0,0,0,
56,2014-02-08,20-019,ANA,NSH,W,0,2,2,2,0,0,0,0,0,,,,0,,21,18:27,3,0,0,
57,2014-02-28,20-039,ANA,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,20:04,1,0,0,
58,2014-03-02,20-041,ANA,CAR,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,25,18:03,0,0,0,
59,2014-03-05,20-044,ANA,MTL,L-SO,0,1,1,-2,0,0,0,0,0,,,,1,0.0,29,20:34,2,0,0,
60,2014-03-07,20-046,ANA,PIT,L-SO,0,0,0,0,0,0,0,0,0,,,,3,0.0,28,20:52,0,0,0,
61,2014-03-10,20-049,ANA,TOR,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,25,20:16,3,0,0,
62,2014-03-12,20-051,ANA,CGY,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,22,18:15,0,0,0,
63,2014-03-14,20-053,ANA,COL,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,22,14:17,0,0,0,
64,2014-03-15,20-054,ANA,LAK,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,27,16:40,2,0,0,
65,2014-03-18,20-057,ANA,WSH,L,0,2,2,2,0,0,0,0,0,,,,5,0.0,29,24:22,1,0,0,
66,2014-03-20,20-059,ANA,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,25,20:48,0,0,0,
67,2014-03-23,20-062,ANA,FLA,W,0,0,0,3,0,0,0,0,0,,,,1,0.0,26,21:35,1,0,0,
68,2014-03-26,20-065,ANA,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,21:45,0,0,0,
69,2014-03-28,20-067,ANA,EDM,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,23,17:48,1,0,0,
70,2014-03-31,20-070,ANA,WPG,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,28,22:39,2,0,0,
71,2014-04-02,20-072,ANA,EDM,W,0,0,0,1,0,0,0,0,0,,,,0,,24,19:15,2,0,0,
72,2014-04-04,20-074,ANA,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,17:46,0,0,0,
73,2014-04-06,20-076,ANA,EDM,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,24,20:29,1,0,0,
74,2014-04-07,20-077,ANA,VAN,W,0,0,0,0,2,0,0,0,0,,,,0,,24,19:17,0,0,0,
75,2014-04-09,20-079,ANA,SJS,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,23,15:50,1,0,0,
76,2014-04-12,20-082,ANA,LAK,W,0,1,1,0,0,0,0,0,0,,,,0,,27,19:35,0,0,0,
77,2014-04-13,20-083,ANA,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,21:07,0,0,0,
78,2014-10-09,20-262,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,29,23:45,1,0,0,
79,2014-10-11,20-264,ANA,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,26,21:56,0,0,0,
80,2014-10-13,20-266,ANA,BUF,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,27,23:51,1,0,1,0.0
81,2014-10-14,20-267,ANA,PHI,W,0,1,1,2,2,0,0,0,0,1,0,0,0,,30,22:59,0,0,0,
82,2014-10-17,20-270,ANA,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,21:08,1,0,0,
83,2014-10-19,20-272,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,19:08,1,0,0,
84,2014-10-22,20-275,ANA,BUF,W,0,0,0,3,0,0,0,0,0,0,0,0,4,0.0,23,21:18,0,0,0,
85,2014-10-24,20-277,ANA,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,26,19:25,0,0,0,
86,2014-10-26,20-279,ANA,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,27,24:21,1,0,0,
87,2014-10-28,20-281,ANA,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,28,21:10,3,0,0,
88,2014-10-30,20-283,ANA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,24:32,0,0,0,
89,2014-10-31,20-284,ANA,DAL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,31,25:29,1,0,0,
90,2014-11-02,20-286,ANA,COL,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,25,20:46,1,0,1,0.0
91,2014-11-05,20-289,ANA,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,23:14,3,0,0,
92,2014-11-07,20-291,ANA,ARI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,29,26:14,2,0,0,
93,2014-11-09,20-293,ANA,VAN,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,31,25:04,0,0,0,
94,2014-11-12,20-296,ANA,LAK,W,0,2,2,0,0,0,0,0,0,2,0,0,0,,28,23:51,0,0,0,
95,2014-11-15,20-299,ANA,LAK,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,28,21:11,0,0,0,
96,2014-11-16,20-300,ANA,FLA,L,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,25,18:48,3,0,0,
97,2014-11-18,20-302,ANA,CGY,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,0,,29,26:04,0,0,0,
98,2014-11-20,20-304,ANA,VAN,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,22:49,0,0,0,
99,2014-11-23,20-307,ANA,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,25,18:48,2,0,0,
100,2014-11-25,20-309,ANA,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,29,22:45,0,,,
101,2014-11-28,20-312,ANA,CHI,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,34,29:25,0,0,0,
