,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-13,19-246,WSH,NYR,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,14,10:14,0,0,5,0.0
1,2021-10-16,19-249,WSH,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:51,0,0,2,0.0
2,2021-10-25,19-258,WSH,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:46,1,3,6,33.3
3,2021-10-27,19-260,WSH,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,8:01,0,0,0,
4,2021-10-29,19-262,WSH,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,9:08,0,3,4,42.9
5,2021-11-06,19-270,WSH,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,12:32,0,0,0,
6,2023-10-29,21-262,WSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:28,1,0,7,0.0
7,2023-11-02,21-266,WSH,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:49,0,3,4,42.9
8,2023-11-04,21-268,WSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:46,0,2,2,50.0
9,2023-11-08,21-272,WSH,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:51,0,0,3,0.0
10,2023-11-18,21-282,WSH,CBJ,W,1,2,3,2,0,1,0,0,1,2,0,0,3,33.3,13,10:12,0,7,4,63.6
11,2023-11-22,21-286,WSH,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:12,0,1,0,100.0
12,2023-11-27,21-291,WSH,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:05,0,5,4,55.6
13,2023-11-30,21-294,WSH,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:48,0,0,1,0.0
14,2023-12-02,21-296,WSH,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,13:01,0,3,1,75.0
15,2023-12-04,21-298,WSH,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,14:53,1,4,4,50.0
16,2023-12-07,21-301,WSH,DAL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:04,0,0,0,
17,2023-12-20,21-314,WSH,NYI,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,12,9:00,0,2,4,33.3
18,2023-12-21,21-315,WSH,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,10:28,0,4,3,57.1
19,2023-12-23,21-317,WSH,TBL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:09,0,0,1,0.0
20,2023-12-27,21-321,WSH,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,11:01,0,0,0,
21,2023-12-29,21-323,WSH,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,16,11:22,0,1,1,50.0
22,2023-12-30,21-324,WSH,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:57,0,3,2,60.0
23,2024-01-02,21-327,WSH,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,8:27,0,0,0,
24,2024-01-05,21-330,WSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:46,0,0,1,0.0
25,2024-01-07,21-332,WSH,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:55,2,0,0,
26,2024-01-11,21-336,WSH,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:03,0,1,0,100.0
27,2024-01-13,21-338,WSH,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,7:20,0,1,3,25.0
28,2024-01-14,21-339,WSH,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:38,1,1,2,33.3
29,2024-01-16,21-341,WSH,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:33,1,0,6,0.0
30,2024-01-18,21-343,WSH,STL,W,0,1,1,1,4,0,0,0,0,1,0,0,0,,11,6:31,0,0,1,0.0
31,2024-02-26,22-017,WSH,OTT,W,2,0,2,2,0,2,0,0,0,0,0,0,2,100.0,14,11:02,0,3,2,60.0
32,2024-02-27,22-018,WSH,DET,L,1,0,1,-2,0,1,0,0,0,0,0,0,1,100.0,16,12:08,1,0,5,0.0
33,2024-03-01,22-021,WSH,PHI,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,19,13:47,2,11,8,57.9
34,2024-03-03,22-023,WSH,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:20,0,4,4,50.0
35,2024-03-07,22-027,WSH,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,14:00,1,2,4,33.3
