,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-03-26,20-242,BUF,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,12:02,0,0,0,
1,2016-03-28,20-244,BUF,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:38,2,0,0,
2,2016-03-29,20-245,BUF,PIT,L-SO,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,17,11:47,2,0,0,
3,2016-03-31,20-247,BUF,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:49,0,0,0,
4,2016-04-02,20-249,BUF,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,12:00,3,0,0,
5,2016-04-05,20-252,BUF,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:38,0,0,0,
6,2016-04-09,20-256,BUF,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,11:45,1,0,0,
7,2016-10-13,21-077,BUF,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:28,1,0,0,
8,2016-10-16,21-080,BUF,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,8:08,1,0,0,
9,2016-10-25,21-089,BUF,PHI,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,10:48,5,0,0,
10,2016-10-27,21-091,BUF,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,8:52,2,0,0,
11,2016-10-29,21-093,BUF,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:19,0,0,0,
12,2016-10-30,21-094,BUF,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0:53,1,0,0,
13,2017-03-16,21-231,BUF,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:29,1,0,0,
14,2017-03-17,21-232,BUF,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:36,2,0,0,
15,2017-03-20,21-235,BUF,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:44,4,0,0,
16,2017-03-21,21-236,BUF,PIT,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,11:48,0,0,0,
17,2017-12-02,22-127,BUF,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,10:57,3,0,0,
18,2017-12-05,22-130,BUF,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:01,1,0,0,
19,2017-12-08,22-133,BUF,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:20,0,0,0,
20,2017-12-10,22-135,BUF,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:47,1,0,0,
21,2017-12-15,22-140,BUF,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:25,2,0,0,
22,2021-02-13,25-200,ARI,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,7:43,1,0,0,
23,2021-03-16,25-231,ARI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,8:18,0,0,0,
24,2021-03-20,25-235,ARI,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:10,0,0,0,
25,2021-03-22,25-237,ARI,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:09,2,0,0,
26,2021-05-08,25-284,ARI,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:59,3,0,0,
27,2021-11-16,26-111,ARI,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,5:44,2,0,0,
28,2021-11-18,26-113,ARI,CBJ,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:49,1,0,0,
29,2021-11-20,26-115,ARI,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:39,3,0,0,
30,2021-11-21,26-116,ARI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:05,0,0,0,
31,2021-11-24,26-119,ARI,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:31,2,1,0,100.0
32,2021-11-27,26-122,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:57,1,0,0,
33,2021-11-30,26-125,ARI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:50,1,0,0,
34,2022-03-12,26-227,ARI,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,9:13,0,0,0,
35,2022-04-01,26-247,ARI,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:20,3,0,0,
36,2022-04-03,26-249,ARI,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:51,2,0,0,
37,2022-04-04,26-250,ARI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:44,1,0,0,
38,2022-12-04,27-129,NYI,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,13:04,2,0,1,0.0
39,2022-12-06,27-131,NYI,STL,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,17,12:27,1,0,0,
40,2022-12-10,27-135,NYI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:05,0,0,0,
41,2022-12-13,27-138,NYI,BOS,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,9:16,1,0,0,
42,2022-12-17,27-142,NYI,VEG,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,18,11:58,5,0,1,0.0
43,2022-12-19,27-144,NYI,COL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:33,2,1,0,100.0
44,2022-12-22,27-147,NYI,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:38,0,0,0,
45,2022-12-23,27-148,NYI,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:19,0,0,0,
46,2022-12-27,27-152,NYI,PIT,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,17,12:38,0,0,0,
47,2022-12-29,27-154,NYI,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,24,13:37,1,0,0,
