,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-26,23-098,CGY,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,16:34,0,0,0,
1,2023-10-29,23-101,CGY,EDM,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,26,16:36,2,0,0,
2,2023-12-05,23-138,CGY,MIN,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,16,14:35,1,0,0,
3,2023-12-07,23-140,CGY,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:20,2,0,0,
4,2023-12-09,23-142,CGY,NJD,L,0,1,1,1,0,0,0,0,0,0,0,1,0,,21,15:28,1,0,0,
5,2023-12-11,23-144,CGY,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,16:18,2,0,0,
6,2024-04-09,23-264,CGY,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,18:19,2,0,0,
7,2024-04-11,23-266,CGY,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,18:56,0,0,0,
8,2024-04-16,23-271,CGY,VAN,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,15:28,2,0,0,
9,2024-04-18,23-273,CGY,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,16:23,2,0,0,
