,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-29,20-031,CHI,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,11:07,1,0,0,
1,2021-10-30,20-032,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:21,0,0,0,
2,2021-11-01,20-034,CHI,OTT,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,13:06,0,0,0,
3,2022-02-27,20-152,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:47,2,0,0,
4,2022-12-21,21-084,CHI,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,17:59,5,0,0,
5,2022-12-23,21-086,CHI,CBJ,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,20,13:49,1,0,0,
6,2022-12-27,21-090,CHI,CAR,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,21,16:42,2,0,0,
7,2022-12-29,21-092,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:16,0,0,0,
8,2022-12-31,21-094,CHI,CBJ,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,15:49,1,0,0,
9,2023-01-01,21-095,CHI,SJS,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,20,15:39,0,0,0,
10,2023-01-03,21-097,CHI,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,14:55,3,0,0,
11,2023-01-12,21-106,CHI,COL,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,16,12:10,5,0,0,
12,2023-01-14,21-108,CHI,SEA,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,23,19:39,1,0,0,
13,2023-01-17,21-111,CHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,18:33,2,0,0,
14,2023-01-21,21-115,CHI,STL,W,0,1,1,-1,5,0,0,0,0,1,0,0,0,,17,13:51,1,0,0,
15,2023-02-21,21-146,CHI,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:32,3,0,0,
16,2023-02-22,21-147,CHI,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:35,1,0,0,
17,2023-02-25,21-150,CHI,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,10:40,0,0,0,
18,2023-02-28,21-153,CHI,ARI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,14,11:28,1,0,0,
19,2023-03-02,21-155,CHI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,18:45,1,0,0,
20,2023-10-30,22-032,CHI,ARI,L,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,26,17:25,0,0,0,
21,2023-11-16,22-049,CHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,17:02,1,0,0,
22,2023-11-18,22-051,CHI,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,14:30,2,0,0,
23,2023-11-19,22-052,CHI,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:34,1,0,0,
24,2023-11-22,22-055,CHI,CBJ,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,17,14:14,0,0,0,
25,2023-11-24,22-057,CHI,TOR,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,14:25,1,0,0,
26,2023-11-26,22-059,CHI,STL,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,22,16:38,2,0,0,
27,2023-11-28,22-061,CHI,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,17:39,0,0,0,
28,2023-11-30,22-063,CHI,DET,L,0,0,0,-2,4,0,0,0,0,0,0,0,5,0.0,18,17:13,3,0,0,
29,2023-12-09,22-072,CHI,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:13,1,0,0,
30,2023-12-10,22-073,CHI,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,18:12,2,0,0,
31,2023-12-12,22-075,CHI,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,21:24,4,0,0,
32,2023-12-14,22-077,CHI,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,21:06,2,0,0,
33,2023-12-17,22-080,CHI,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,21:02,0,0,0,
34,2023-12-19,22-082,CHI,COL,W,0,0,0,1,10,0,0,0,0,0,0,0,1,0.0,25,22:31,3,0,0,
35,2023-12-22,22-085,CHI,MTL,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,25,18:55,0,0,0,
36,2023-12-23,22-086,CHI,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,26,21:35,1,0,0,
37,2023-12-27,22-090,CHI,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,20:47,2,0,0,
38,2023-12-29,22-092,CHI,DAL,L-OT,0,0,0,-3,0,0,0,0,0,0,0,0,0,,32,21:39,2,0,0,
39,2023-12-31,22-094,CHI,DAL,L,0,0,0,-5,0,0,0,0,0,0,0,0,1,0.0,26,16:30,0,0,0,
40,2024-01-07,22-101,CHI,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,5:56,0,0,0,
41,2024-01-18,22-112,CHI,BUF,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,22,16:36,1,0,0,
42,2024-01-19,22-113,CHI,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,17:14,4,0,0,
43,2024-01-22,22-116,CHI,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,16:40,2,0,0,
44,2024-01-25,22-119,CHI,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:57,5,0,0,
45,2024-01-27,22-121,CHI,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,17:09,2,0,0,
46,2024-02-07,22-132,CHI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,17:01,2,0,0,
47,2024-02-09,22-134,CHI,NYR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,15:57,1,0,0,
48,2024-02-13,22-138,CHI,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,15:37,0,0,0,
49,2024-02-21,22-146,CHI,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,15:45,4,0,0,
50,2024-02-23,22-148,CHI,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:55,1,0,0,
51,2024-03-02,22-156,CHI,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,14:53,2,0,0,
