,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-12-20,19-319,WSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,10:14,3,0,0,
1,2023-12-21,19-320,WSH,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,9:36,0,0,1,0.0
2,2023-12-23,19-322,WSH,TBL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:48,3,0,0,
3,2023-12-27,19-326,WSH,NYR,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,17,12:52,0,0,0,
4,2024-03-07,20-032,WSH,PIT,W,1,0,1,2,2,1,0,0,0,0,0,0,3,33.3,15,12:27,1,0,0,
5,2024-03-09,20-034,WSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,13:25,3,0,0,
6,2024-03-11,20-036,WSH,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:20,3,0,0,
7,2024-03-13,20-038,WSH,EDM,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,15,12:05,3,0,0,
8,2024-03-14,20-039,WSH,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,11:37,2,0,0,
9,2024-03-16,20-041,WSH,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,12:49,4,0,0,
10,2024-03-18,20-043,WSH,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,11:42,0,0,0,
11,2024-03-20,20-045,WSH,TOR,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,18,12:00,0,0,0,
12,2024-03-22,20-047,WSH,CAR,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,17,13:07,2,0,0,
13,2024-03-24,20-049,WSH,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,10:47,2,0,0,
14,2024-03-26,20-051,WSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:52,4,0,0,
15,2024-03-28,20-053,WSH,TOR,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,15:56,8,0,0,
16,2024-03-30,20-055,WSH,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:14,5,0,0,
17,2024-04-02,20-058,WSH,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,15:01,2,0,0,
18,2024-04-04,20-060,WSH,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:30,4,0,0,
19,2024-04-05,20-061,WSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:30,0,0,1,0.0
20,2024-04-07,20-063,WSH,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:05,1,0,0,
