,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-14,19-275,PHI,LAK,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,26,20:18,4,0,0,
1,2016-10-15,19-276,PHI,ARI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,29,19:31,1,0,0,
2,2016-10-18,19-279,PHI,CHI,L,0,0,0,-5,0,0,0,0,0,0,0,0,0,,30,21:15,1,0,0,
3,2016-10-20,19-281,PHI,ANA,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,25,19:32,1,0,0,
4,2016-10-22,19-283,PHI,CAR,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,30,19:36,2,0,0,
5,2016-10-24,19-285,PHI,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,27,21:31,2,0,0,
6,2016-10-25,19-286,PHI,BUF,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,32,24:12,2,0,0,
7,2016-10-27,19-288,PHI,ARI,L,0,1,1,-1,2,0,0,0,0,1,0,0,2,0.0,28,18:06,0,0,0,
8,2016-10-29,19-290,PHI,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,28,18:32,1,0,0,
9,2016-10-30,19-291,PHI,CAR,W,0,0,0,-2,2,0,0,0,0,0,0,0,0,,24,17:55,0,0,0,
10,2016-11-02,19-294,PHI,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,17:33,0,0,0,
11,2016-11-03,19-295,PHI,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:09,2,0,0,
12,2016-11-05,19-297,PHI,MTL,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,29,18:15,3,0,0,
13,2016-11-08,19-300,PHI,DET,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,25,20:12,1,0,0,
14,2016-11-11,19-303,PHI,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,29,20:49,0,0,0,
15,2016-11-12,19-304,PHI,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,19:26,1,0,0,
16,2016-11-15,19-307,PHI,OTT,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,28,22:43,3,0,0,
17,2016-11-17,19-309,PHI,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,28,19:52,2,0,0,
18,2016-11-19,19-311,PHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,22:15,1,0,0,
19,2016-11-22,19-314,PHI,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,20:21,1,0,0,
20,2016-11-23,19-315,PHI,TBL,L,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,30,20:31,3,0,0,
21,2016-11-25,19-317,PHI,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,28,21:26,1,0,0,
22,2016-11-27,19-319,PHI,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,27,21:47,1,0,0,
23,2016-11-29,19-321,PHI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,20:57,2,0,0,
24,2016-12-01,19-323,PHI,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,26,20:25,0,0,0,
25,2016-12-03,19-325,PHI,CHI,W,2,0,2,1,0,2,0,0,1,0,0,0,4,50.0,25,20:38,1,0,0,
26,2016-12-04,19-326,PHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,22:54,2,0,0,
