,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-11-20,21-203,CAR,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,13:30,0,0,0,
1,2015-11-22,21-205,CAR,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:39,1,0,0,
2,2015-11-23,21-206,CAR,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:01,0,0,0,
3,2015-11-25,21-208,CAR,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:59,0,0,0,
4,2015-11-27,21-210,CAR,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,17:50,0,0,0,
5,2015-11-30,21-213,CAR,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,16:18,0,0,0,
6,2015-12-05,21-218,CAR,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,14:51,1,0,0,
7,2015-12-06,21-219,CAR,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,15:28,0,0,0,
8,2015-12-08,21-221,CAR,DAL,L,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,25,14:42,1,0,0,
9,2015-12-11,21-224,CAR,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,17:37,1,0,0,
10,2015-12-12,21-225,CAR,ARI,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,20,11:21,1,0,0,
11,2015-12-15,21-228,CAR,PHI,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,12:47,0,0,0,
12,2015-12-18,21-231,CAR,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:49,1,0,0,
13,2015-12-19,21-232,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,18:20,0,0,0,
14,2015-12-21,21-234,CAR,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,18:29,1,0,0,
15,2015-12-26,21-239,CAR,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:44,0,0,0,
16,2015-12-27,21-240,CAR,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,19:34,1,0,0,
17,2015-12-29,21-242,CAR,NJD,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,19:13,0,0,0,
18,2015-12-31,21-244,CAR,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,25,19:40,2,0,0,
19,2016-01-02,21-246,CAR,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,23:41,0,0,0,
20,2016-01-04,21-248,CAR,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,21:22,2,0,0,
21,2016-01-06,21-250,CAR,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,25,19:35,0,0,0,
22,2016-01-08,21-252,CAR,CBJ,W,0,1,1,2,0,0,0,0,0,0,1,0,0,,26,19:51,1,0,0,
23,2016-01-09,21-253,CAR,CBJ,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,23,16:22,1,0,0,
24,2016-01-12,21-256,CAR,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,31,25:59,0,0,0,
25,2016-01-14,21-258,CAR,STL,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,30,21:50,0,0,0,
26,2016-01-15,21-259,CAR,VAN,L-OT,0,1,1,-2,0,0,0,0,0,0,1,0,4,0.0,28,23:21,0,0,0,
27,2016-01-17,21-261,CAR,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,27,24:31,3,0,0,
28,2016-01-21,21-265,CAR,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,22:49,1,0,0,
29,2016-01-22,21-266,CAR,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,20:55,0,0,0,
30,2016-01-24,21-268,CAR,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,28,20:25,0,0,0,
31,2016-01-26,21-270,CAR,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,30,22:08,0,0,0,
32,2016-02-03,21-278,CAR,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,18:06,1,0,0,
33,2016-02-05,21-280,CAR,WPG,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,24,22:58,1,0,0,
34,2016-02-07,21-282,CAR,MTL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,22:21,1,0,0,
35,2016-02-12,21-287,CAR,PIT,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,32,24:25,1,0,0,
36,2016-02-13,21-288,CAR,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,27,23:19,1,0,0,
37,2016-02-16,21-291,CAR,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,22:09,0,0,0,
38,2016-02-18,21-293,CAR,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,28,23:45,1,0,0,
39,2016-02-19,21-294,CAR,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,29,21:36,1,0,0,
