,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-04,18-143,NJD,WPG,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,15:12,0,4,5,44.4
1,2019-10-05,18-144,NJD,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,14:23,0,3,3,50.0
2,2019-10-09,18-148,NJD,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:34,1,2,4,33.3
3,2019-10-10,18-149,NJD,EDM,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,17:36,1,5,6,45.5
4,2019-10-12,18-151,NJD,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,15:52,1,1,4,20.0
5,2019-10-14,18-153,NJD,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,17:20,0,6,6,50.0
6,2019-10-17,18-156,NJD,NYR,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,18,13:09,0,6,11,35.3
7,2019-10-19,18-158,NJD,VAN,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,16,13:50,0,4,9,30.8
8,2019-10-25,18-164,NJD,ARI,L,1,2,3,0,0,0,1,0,0,2,0,0,4,25.0,20,19:17,1,10,11,47.6
9,2019-10-30,18-169,NJD,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,20:19,0,9,8,52.9
10,2019-11-01,18-171,NJD,PHI,L-SO,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,22,17:46,0,8,7,53.3
11,2019-11-02,18-172,NJD,CAR,W,1,0,1,0,0,0,1,0,0,0,0,0,4,25.0,17,15:01,0,3,5,37.5
12,2019-11-05,18-175,NJD,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:35,0,1,8,11.1
13,2019-11-07,18-177,NJD,CGY,L,1,1,2,-1,2,1,0,0,0,1,0,0,2,50.0,19,14:26,0,9,5,64.3
14,2019-11-08,18-178,NJD,EDM,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,16:33,1,7,9,43.8
15,2019-11-10,18-180,NJD,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,17:14,0,4,8,33.3
16,2019-11-13,18-183,NJD,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,18:13,0,2,9,18.2
17,2019-11-15,18-185,NJD,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,15:05,0,7,7,50.0
18,2019-11-16,18-186,NJD,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,18,14:55,0,4,8,33.3
19,2019-11-19,18-189,NJD,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:55,0,1,7,12.5
20,2019-11-22,18-192,NJD,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,19:00,0,3,4,42.9
21,2019-11-23,18-193,NJD,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,16:41,0,1,6,14.3
22,2019-11-26,18-196,NJD,MIN,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,17:22,0,4,4,50.0
23,2019-11-28,18-198,NJD,MTL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,14:18,0,2,5,28.6
24,2019-12-06,18-206,NJD,CHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,18:03,0,1,6,14.3
25,2019-12-07,18-207,NJD,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,17:29,0,4,10,28.6
26,2019-12-10,18-210,NJD,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:01,0,3,8,27.3
27,2019-12-13,18-213,NJD,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,13:53,1,2,5,28.6
28,2019-12-14,18-214,NJD,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:12,0,3,5,37.5
29,2019-12-18,18-218,NJD,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,20,16:14,0,1,5,16.7
30,2019-12-20,18-220,NJD,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,16:04,0,1,4,20.0
31,2019-12-21,18-221,NJD,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,14,15:17,0,1,5,16.7
32,2019-12-23,18-223,NJD,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,18,15:05,0,4,9,30.8
33,2019-12-27,18-227,NJD,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,16:28,0,3,4,42.9
34,2019-12-29,18-229,NJD,OTT,W,1,1,2,1,0,1,0,0,1,0,1,0,2,50.0,17,17:17,1,4,2,66.7
35,2019-12-31,18-231,NJD,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,14:19,0,1,1,50.0
36,2020-01-12,18-243,NJD,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,13:26,0,3,4,42.9
37,2020-01-14,18-245,NJD,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,7:15,0,2,5,28.6
38,2020-01-16,18-247,NJD,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:00,1,1,5,16.7
39,2020-01-18,18-249,NJD,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,17,17:38,1,1,2,33.3
40,2020-01-27,18-258,NJD,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,8,0.0,19,18:29,1,0,2,0.0
41,2020-01-30,18-261,NJD,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:57,0,0,0,
42,2020-02-01,18-263,NJD,DAL,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,16,15:41,1,1,6,14.3
43,2020-02-04,18-266,NJD,MTL,L-SO,0,1,1,-3,0,0,0,0,0,0,1,0,0,,24,18:08,0,8,6,57.1
44,2020-02-06,18-268,NJD,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:50,1,3,8,27.3
45,2020-02-08,18-270,NJD,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,16:13,0,1,6,14.3
46,2020-02-11,18-273,NJD,FLA,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,18,17:14,0,3,13,18.8
47,2020-02-13,18-275,NJD,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,18:31,0,4,5,44.4
48,2020-02-14,18-276,NJD,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,15:17,0,2,6,25.0
49,2020-02-16,18-278,NJD,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,15:48,0,2,0,100.0
50,2020-02-18,18-280,NJD,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,18:05,0,0,0,
51,2020-02-20,18-282,NJD,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,18:28,0,0,0,
52,2020-02-22,18-284,NJD,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:42,0,0,0,
53,2020-02-25,18-287,NJD,DET,W,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,21,18:57,0,0,0,
54,2020-02-27,18-289,NJD,SJS,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:37,0,0,0,
55,2020-02-29,18-291,NJD,LAK,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,16:08,0,0,0,
56,2020-03-01,18-292,NJD,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:33,0,0,1,0.0
57,2020-03-03,18-294,NJD,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:42,0,2,0,100.0
58,2020-03-06,18-297,NJD,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:27,0,0,1,0.0
59,2020-03-07,18-298,NJD,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,13:25,0,0,0,
60,2020-03-10,18-301,NJD,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,15,12:18,0,0,2,0.0
61,2021-01-14,19-245,NJD,BOS,L-SO,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,27,21:50,1,5,4,55.6
62,2021-01-16,19-247,NJD,BOS,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,30,22:38,1,3,11,21.4
63,2021-01-19,19-250,NJD,NYR,W,2,1,3,1,0,2,0,0,0,0,1,0,2,100.0,22,15:22,1,3,7,30.0
64,2021-01-21,19-252,NJD,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,17:16,0,3,8,27.3
65,2021-01-24,19-255,NJD,NYI,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,23,16:25,0,7,7,50.0
66,2021-01-26,19-257,NJD,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,20:14,0,7,9,43.8
67,2021-01-28,19-259,NJD,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,23:04,0,3,8,27.3
68,2021-01-30,19-261,NJD,BUF,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,25,23:49,2,3,11,21.4
69,2021-01-31,19-262,NJD,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,18:41,1,5,8,38.5
70,2021-02-16,19-278,NJD,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,18:59,0,4,11,26.7
71,2021-02-18,19-280,NJD,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,18:14,0,2,9,18.2
72,2021-02-20,19-282,NJD,BUF,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,24,20:51,1,4,9,30.8
73,2021-02-21,19-283,NJD,WSH,L,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,24,19:37,0,3,9,25.0
74,2021-02-23,19-285,NJD,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,23,19:09,0,3,7,30.0
75,2021-02-25,19-287,NJD,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,8,0.0,23,20:53,1,5,9,35.7
76,2021-02-27,19-289,NJD,WSH,L,0,1,1,-2,0,0,0,0,0,0,1,0,4,0.0,26,19:23,0,1,8,11.1
77,2021-02-28,19-290,NJD,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,16:36,0,3,5,37.5
78,2021-03-02,19-292,NJD,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,20:28,0,8,7,53.3
79,2021-03-04,19-294,NJD,NYR,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,18:39,2,5,7,41.7
80,2021-03-06,19-296,NJD,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,18:40,1,10,6,62.5
81,2021-03-07,19-297,NJD,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:21,0,0,3,0.0
82,2021-03-09,19-299,NJD,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,27,20:08,0,1,4,20.0
83,2021-03-11,19-301,NJD,NYI,L,1,0,1,-2,0,1,0,0,0,0,0,0,2,50.0,18,15:05,0,0,1,0.0
84,2021-03-13,19-303,NJD,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,16:49,0,5,10,33.3
85,2021-03-14,19-304,NJD,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,22:21,0,2,10,16.7
86,2021-03-16,19-306,NJD,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,17:40,0,5,10,33.3
87,2021-03-18,19-308,NJD,PIT,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,25,19:51,0,6,8,42.9
88,2021-03-20,19-310,NJD,PIT,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,25,19:41,0,3,10,23.1
89,2021-03-21,19-311,NJD,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,18:17,0,5,8,38.5
90,2021-03-23,19-313,NJD,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:11,0,3,4,42.9
91,2021-03-25,19-315,NJD,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:37,0,4,8,33.3
92,2021-03-26,19-316,NJD,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,11:48,0,2,2,50.0
93,2021-03-28,19-318,NJD,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,14:11,0,2,5,28.6
94,2021-03-30,19-320,NJD,BOS,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,24,17:03,0,7,8,46.7
95,2021-04-02,19-323,NJD,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,20:53,0,6,5,54.5
96,2021-04-04,19-325,NJD,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,24,24:13,0,5,6,45.5
97,2021-04-06,19-327,NJD,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,21:37,0,3,6,33.3
98,2021-04-08,19-329,NJD,BUF,W,1,2,3,3,0,1,0,0,0,2,0,0,4,25.0,22,19:44,0,4,8,33.3
99,2021-04-09,19-330,NJD,PIT,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,24,21:30,0,4,6,40.0
100,2021-04-11,19-332,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,26,20:46,1,10,7,58.8
101,2021-04-13,19-334,NJD,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,20:13,1,4,5,44.4
102,2021-04-15,19-336,NJD,NYR,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,20,18:14,0,3,6,33.3
103,2021-04-17,19-338,NJD,NYR,L,0,2,2,0,0,0,0,0,0,2,0,0,6,0.0,24,20:50,1,7,5,58.3
104,2021-04-18,19-339,NJD,NYR,L,0,0,0,-1,12,0,0,0,0,0,0,0,5,0.0,21,18:38,0,1,7,12.5
105,2021-04-20,19-341,NJD,PIT,L,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,21,20:18,1,6,9,40.0
106,2021-04-22,19-343,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,20,16:38,0,1,5,16.7
107,2021-04-24,19-345,NJD,PIT,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,26,22:19,0,5,9,35.7
108,2021-04-25,19-346,NJD,PHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,21:37,0,2,6,25.0
109,2021-04-27,19-348,NJD,PHI,W,0,2,2,1,0,0,0,0,0,0,2,0,1,0.0,24,18:41,0,3,8,27.3
110,2021-04-29,19-350,NJD,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,18:54,0,2,7,22.2
111,2021-05-01,19-352,NJD,PHI,W,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,19,17:44,0,3,8,27.3
112,2021-05-03,19-354,NJD,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,19:47,0,5,8,38.5
113,2021-05-04,19-355,NJD,BOS,W,0,2,2,3,0,0,0,0,0,1,1,0,2,0.0,29,22:16,0,3,6,33.3
114,2021-05-06,19-357,NJD,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,18:41,0,3,3,50.0
115,2021-05-08,19-359,NJD,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,16:26,0,2,9,18.2
116,2021-05-10,19-361,NJD,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,16:42,0,2,5,28.6
117,2021-10-15,20-154,NJD,CHI,W,2,0,2,1,0,2,0,0,1,0,0,0,3,66.7,22,18:31,0,4,7,36.4
118,2021-10-19,20-158,NJD,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,7:42,0,2,1,66.7
119,2021-11-30,20-200,NJD,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:31,0,0,0,
120,2021-12-02,20-202,NJD,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,17:46,0,0,0,
121,2021-12-03,20-203,NJD,WPG,L,1,0,1,-2,0,1,0,0,0,0,0,0,1,100.0,18,14:44,0,0,3,0.0
122,2021-12-06,20-206,NJD,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:48,0,1,6,14.3
123,2021-12-08,20-208,NJD,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,18:12,0,1,9,10.0
124,2021-12-10,20-210,NJD,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,20:51,1,6,5,54.5
125,2021-12-11,20-211,NJD,NYI,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,26,25:17,0,1,4,20.0
126,2021-12-14,20-214,NJD,PHI,L,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,19,17:05,0,0,1,0.0
127,2021-12-16,20-216,NJD,VEG,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,22,18:38,0,4,2,66.7
128,2021-12-18,20-218,NJD,DET,L,0,0,0,-4,0,0,0,0,0,0,0,0,4,0.0,24,20:45,0,0,2,0.0
129,2021-12-19,20-219,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:32,0,0,5,0.0
130,2021-12-29,20-229,NJD,BUF,W,1,2,3,3,0,1,0,0,0,1,1,0,6,16.7,21,17:52,0,1,3,25.0
131,2021-12-31,20-231,NJD,EDM,W,2,1,3,0,0,1,1,0,1,1,0,0,7,28.6,27,19:40,0,3,10,23.1
132,2022-01-02,20-233,NJD,WSH,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,24,20:17,0,5,10,33.3
133,2022-01-04,20-235,NJD,BOS,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,27,20:10,1,8,12,40.0
