,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-01-11,20-114,BUF,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,16:30,0,0,0,
1,2022-01-20,20-123,BUF,DAL,L,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,21,13:15,0,0,0,
2,2022-10-13,21-024,BUF,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:25,1,0,0,
3,2022-10-15,21-026,BUF,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:33,2,1,0,100.0
4,2022-10-22,21-033,BUF,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:12,0,0,0,
5,2022-10-25,21-036,BUF,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:57,0,0,0,
6,2022-10-27,21-038,BUF,MTL,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,17,13:07,0,0,0,
7,2022-10-29,21-040,BUF,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,17,10:42,0,0,0,
8,2022-10-31,21-042,BUF,DET,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,18,13:32,1,0,1,0.0
9,2022-11-02,21-044,BUF,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:31,0,1,0,100.0
10,2022-11-04,21-046,BUF,CAR,L,0,2,2,-2,0,0,0,0,0,1,1,0,0,,20,16:38,2,1,0,100.0
11,2022-11-05,21-047,BUF,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:27,1,1,0,100.0
12,2022-11-08,21-050,BUF,ARI,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,14,11:41,0,0,0,
13,2022-11-12,21-054,BUF,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,13:09,0,0,0,
14,2022-11-19,21-061,BUF,TOR,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,20,15:20,2,0,1,0.0
15,2022-11-22,21-064,BUF,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,6,0.0,16,15:48,1,0,1,0.0
16,2022-11-23,21-065,BUF,STL,W,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,20,17:00,1,0,0,
17,2022-11-25,21-067,BUF,NJD,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,15:00,0,1,1,50.0
18,2022-11-28,21-070,BUF,TBL,L-OT,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,18,14:21,0,0,2,0.0
19,2022-11-30,21-072,BUF,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,11:14,1,0,1,0.0
20,2022-12-01,21-073,BUF,COL,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,19,13:37,0,0,0,
21,2022-12-04,21-076,BUF,SJS,W,2,0,2,2,0,1,1,0,1,0,0,0,2,100.0,23,16:25,1,0,0,
22,2022-12-07,21-079,BUF,CBJ,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,18:51,1,1,1,50.0
23,2022-12-09,21-081,BUF,PIT,L-OT,0,1,1,-1,0,0,0,0,0,0,1,0,0,,22,16:33,0,0,2,0.0
24,2022-12-10,21-082,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,17:51,0,0,0,
25,2022-12-13,21-085,BUF,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,14:25,0,0,0,
26,2022-12-15,21-087,BUF,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,14:27,0,0,1,0.0
27,2022-12-17,21-089,BUF,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:10,0,0,0,
28,2022-12-19,21-091,BUF,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:45,0,0,0,
29,2022-12-29,21-101,BUF,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,13:01,0,1,1,50.0
30,2022-12-31,21-103,BUF,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:10,1,0,0,
31,2023-01-01,21-104,BUF,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,11:33,2,0,0,
32,2023-01-03,21-106,BUF,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,14:33,1,0,0,
33,2023-01-07,21-110,BUF,MIN,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,8:52,0,0,0,
34,2023-01-09,21-112,BUF,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:35,1,0,0,
35,2023-01-14,21-117,BUF,NSH,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,17,12:22,1,0,0,
36,2023-01-16,21-119,BUF,FLA,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,14:16,0,0,1,0.0
37,2023-01-17,21-120,BUF,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,14:06,0,0,0,
38,2023-01-19,21-122,BUF,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,17,13:43,0,0,1,0.0
39,2023-01-21,21-124,BUF,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,14:33,0,0,0,
40,2023-01-23,21-126,BUF,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:14,0,0,0,
41,2023-01-24,21-127,BUF,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:28,1,0,0,
42,2023-01-26,21-129,BUF,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,11:39,1,1,0,100.0
43,2023-01-28,21-131,BUF,MIN,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,12,11:10,0,0,1,0.0
44,2023-02-01,21-135,BUF,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,14:39,0,0,1,0.0
45,2023-02-11,21-145,BUF,CGY,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,14:02,0,0,0,
46,2023-02-13,21-147,BUF,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:16,1,1,0,100.0
47,2023-02-15,21-149,BUF,ANA,W,0,2,2,3,0,0,0,0,0,2,0,0,0,,14,10:24,1,0,0,
48,2023-02-18,21-152,BUF,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:05,0,0,0,
49,2023-02-21,21-155,BUF,TOR,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,16,13:29,3,0,0,
50,2023-02-23,21-157,BUF,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,12:57,1,0,0,
51,2023-02-24,21-158,BUF,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,13:30,1,0,0,
52,2023-02-26,21-160,BUF,WSH,W,0,2,2,2,5,0,0,0,0,2,0,0,0,,18,13:22,0,0,1,0.0
53,2023-02-28,21-162,BUF,CBJ,L,1,1,2,0,0,1,0,0,0,1,0,0,4,25.0,22,15:29,1,0,0,
54,2023-03-02,21-164,BUF,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,21,14:00,2,0,0,
55,2023-03-04,21-166,BUF,TBL,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,19,14:16,0,0,0,
56,2023-03-06,21-168,BUF,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,16:02,0,0,1,0.0
57,2023-03-07,21-169,BUF,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:36,1,0,0,
58,2023-03-09,21-171,BUF,DAL,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,19,13:30,1,0,0,
