,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-04-06,20-067,WPG,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,8:24,0,1,5,16.7
1,2018-01-07,20-343,WPG,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,7:57,0,0,0,
2,2018-01-09,20-345,WPG,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:49,1,0,0,
3,2018-01-12,20-348,WPG,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,13:00,1,1,1,50.0
4,2018-01-13,20-349,WPG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:29,0,0,0,
5,2018-01-20,20-356,WPG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:08,1,1,0,100.0
6,2018-01-21,20-357,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:45,0,0,1,0.0
7,2018-01-23,20-359,WPG,SJS,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,13:39,1,0,0,
8,2018-01-25,20-361,WPG,ANA,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,15:53,5,1,0,100.0
9,2018-01-30,21-001,WPG,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:26,1,0,3,0.0
10,2018-02-01,21-003,WPG,VEG,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:15,0,0,1,0.0
11,2018-02-03,21-005,WPG,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,22,16:47,0,0,2,0.0
12,2018-02-06,21-008,WPG,ARI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,15:28,0,3,1,75.0
13,2018-02-09,21-011,WPG,STL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,9,6:52,0,2,1,66.7
14,2018-02-11,21-013,WPG,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:23,2,0,2,0.0
15,2018-02-13,21-015,WPG,WSH,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,17,13:12,0,0,0,
16,2018-02-16,21-018,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:11,1,1,0,100.0
17,2018-02-18,21-020,WPG,FLA,W,0,1,1,2,2,0,0,0,0,1,0,0,0,,21,15:03,0,0,0,
18,2018-02-20,21-022,WPG,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:58,1,1,1,50.0
19,2018-02-23,21-025,WPG,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:44,0,0,0,
20,2018-02-24,21-026,WPG,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,15:32,1,0,0,
21,2018-02-27,21-029,WPG,NSH,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,20,14:46,0,0,1,0.0
22,2018-03-02,21-032,WPG,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,11:11,0,0,0,
23,2018-03-04,21-034,WPG,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:49,0,0,0,
24,2018-03-06,21-036,WPG,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:22,0,0,1,0.0
25,2018-03-08,21-038,WPG,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,9:56,2,1,0,100.0
26,2018-03-10,21-040,WPG,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:04,0,1,0,100.0
27,2018-03-12,21-042,WPG,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:45,1,1,0,100.0
28,2018-03-13,21-043,WPG,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,14:53,0,1,0,100.0
29,2018-03-15,21-045,WPG,CHI,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,12,7:48,0,4,4,50.0
30,2018-04-03,21-064,WPG,MTL,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,19,14:40,1,0,2,0.0
31,2018-04-05,21-066,WPG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:14,1,0,0,
32,2018-10-04,21-248,WPG,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,9:07,0,2,5,28.6
33,2018-10-06,21-250,WPG,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:23,1,2,4,33.3
34,2018-10-09,21-253,WPG,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,7:16,0,2,5,28.6
35,2018-10-11,21-255,WPG,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:18,1,2,3,40.0
36,2018-10-14,21-258,WPG,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,8:31,0,3,0,100.0
37,2018-10-16,21-260,WPG,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:15,0,0,4,0.0
38,2018-10-18,21-262,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:28,0,3,5,37.5
39,2018-10-20,21-264,WPG,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,11,7:33,0,3,2,60.0
40,2018-10-22,21-266,WPG,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,6,3:03,0,1,0,100.0
41,2018-10-24,21-268,WPG,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,4:41,0,3,1,75.0
42,2018-10-26,21-270,WPG,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:38,2,2,2,50.0
43,2018-10-27,21-271,WPG,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:56,1,1,0,100.0
44,2018-11-01,21-276,WPG,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:21,0,0,0,
45,2018-11-09,21-284,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:27,0,0,0,
46,2018-11-11,21-286,WPG,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,11:59,0,1,0,100.0
47,2018-11-14,21-289,WPG,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:53,0,0,1,0.0
48,2018-11-16,21-291,WPG,BUF,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:50,0,0,1,0.0
49,2018-11-19,21-294,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:44,0,4,3,57.1
50,2018-11-21,21-296,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,13,9:07,0,5,4,55.6
51,2018-11-23,21-298,WPG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,6:43,0,3,3,50.0
52,2018-11-24,21-299,WPG,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,9:39,0,1,3,25.0
53,2018-11-27,21-302,WPG,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,10,4:51,0,1,2,33.3
54,2018-11-29,21-304,WPG,CHI,W,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,10,6:08,1,0,1,0.0
55,2018-12-01,21-306,WPG,NJD,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,12,8:45,0,5,3,62.5
56,2018-12-02,21-307,WPG,NYR,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,14,8:13,0,0,4,0.0
57,2018-12-04,21-309,WPG,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:32,0,7,3,70.0
58,2018-12-07,21-312,WPG,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:34,1,1,3,25.0
59,2018-12-09,21-314,WPG,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:55,0,4,4,50.0
60,2018-12-11,21-316,WPG,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,10,6:43,0,0,4,0.0
61,2018-12-13,21-318,WPG,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,7,4:52,0,2,4,33.3
62,2018-12-14,21-319,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:36,0,3,4,42.9
63,2018-12-16,21-321,WPG,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,5:25,0,2,3,40.0
64,2018-12-18,21-323,WPG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:48,0,4,3,57.1
65,2018-12-20,21-325,WPG,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:17,1,7,8,46.7
66,2018-12-22,21-327,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:23,1,3,4,42.9
67,2018-12-27,21-332,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:31,0,0,1,0.0
68,2018-12-29,21-334,WPG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:04,0,2,4,33.3
69,2018-12-31,21-336,WPG,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,16,8:45,0,0,0,
70,2019-01-04,21-340,WPG,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:53,1,0,1,0.0
71,2019-01-06,21-342,WPG,DAL,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,20,14:50,1,0,0,
72,2019-01-08,21-344,WPG,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:18,1,1,0,100.0
73,2019-01-10,21-346,WPG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:30,1,0,0,
74,2019-01-11,21-347,WPG,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,12:34,0,0,0,
75,2019-01-13,21-349,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:12,2,0,0,
76,2019-01-15,21-351,WPG,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:06,1,0,0,
77,2019-01-17,21-353,WPG,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,14:38,0,1,0,100.0
78,2019-01-19,21-355,WPG,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:45,1,1,0,100.0
79,2019-01-28,21-364,WPG,PHI,L,1,0,1,-2,2,0,1,0,0,0,0,0,1,100.0,18,14:28,1,0,0,
80,2019-01-29,22-000,WPG,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,10,9:05,0,0,0,
81,2019-01-31,22-002,WPG,CBJ,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,18,14:23,0,0,0,
82,2019-02-02,22-004,WPG,ANA,W,3,1,4,1,0,0,3,0,0,1,0,0,5,60.0,20,14:47,1,1,0,100.0
83,2019-02-05,22-007,WPG,SJS,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:30,0,0,0,
