,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-04-14,20-288,OTT,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:33,1,0,0,
1,2021-05-05,20-309,OTT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:31,2,0,0,
2,2021-05-08,20-312,OTT,WPG,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,20,11:53,0,0,0,
3,2021-05-09,20-313,OTT,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,17:42,0,0,0,
4,2021-05-12,20-316,OTT,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:39,0,0,0,
5,2021-11-13,21-136,OTT,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,8:47,1,0,0,
6,2021-11-14,21-137,OTT,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:36,0,0,0,
7,2021-12-18,21-171,OTT,PHI,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,24,19:06,0,0,0,
8,2022-01-13,21-197,OTT,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:45,1,0,0,
9,2022-01-15,21-199,OTT,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:53,1,0,0,
10,2022-01-18,21-202,OTT,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,14:01,0,0,0,
11,2022-01-20,21-204,OTT,PIT,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,23,17:28,1,0,0,
12,2022-01-22,21-206,OTT,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:33,0,0,0,
13,2022-11-08,22-131,OTT,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,23,17:27,2,0,0,
14,2022-11-10,22-133,OTT,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,21:28,1,0,0,
15,2022-11-12,22-135,OTT,PHI,W,0,0,0,1,7,0,0,0,0,0,0,0,0,,23,19:36,2,0,0,
16,2022-11-14,22-137,OTT,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,18:11,0,0,0,
17,2022-11-16,22-139,OTT,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,12:57,2,0,0,
18,2022-11-19,22-142,OTT,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,16:46,2,0,0,
19,2022-12-29,22-182,OTT,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,22:28,1,0,0,
20,2022-12-31,22-184,OTT,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,14:17,1,0,0,
21,2023-01-01,22-185,OTT,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:49,0,0,0,
22,2023-01-16,22-200,OTT,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,20:56,0,0,0,
23,2023-01-18,22-202,OTT,PIT,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,19,14:36,1,0,0,
24,2023-01-20,22-204,OTT,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,16:46,3,0,0,
25,2023-01-21,22-205,OTT,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,16:40,1,0,0,
26,2023-04-01,22-275,OTT,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,13:58,6,0,0,
27,2023-04-02,22-276,OTT,CBJ,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:52,0,0,0,
28,2023-04-04,22-278,OTT,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:11,0,0,0,
29,2023-04-06,22-280,OTT,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,21,14:44,0,0,0,
30,2023-04-08,22-282,OTT,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,11:08,1,0,0,
31,2023-04-10,22-284,OTT,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,9:29,0,0,0,
32,2023-10-21,23-113,OTT,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,10:37,0,0,0,
33,2023-10-24,23-116,OTT,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:12,1,0,0,
34,2023-10-26,23-118,OTT,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:50,0,0,0,
35,2023-10-28,23-120,OTT,PIT,W,0,0,0,2,2,0,0,0,0,0,0,0,0,,31,21:45,0,0,0,
36,2023-11-02,23-125,OTT,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,27,24:53,1,0,0,
