,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-02-23,23-097,BUF,NJD,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,23,17:59,1,0,0,
1,2021-02-25,23-099,BUF,NJD,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,17:08,0,0,0,
2,2021-02-27,23-101,BUF,PHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,25,17:48,0,0,0,
3,2021-03-02,23-104,BUF,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,18:39,0,0,0,
4,2021-03-04,23-106,BUF,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,24:10,4,0,0,
5,2021-03-06,23-108,BUF,NYI,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,20:48,1,0,0,
6,2021-03-07,23-109,BUF,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,19:16,1,0,0,
7,2021-03-09,23-111,BUF,PHI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,22:04,1,0,0,
8,2021-03-11,23-113,BUF,PIT,L,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,23,20:40,0,0,0,
9,2021-03-13,23-115,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,19:58,1,0,0,
10,2021-03-15,23-117,BUF,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,18:48,1,0,0,
11,2021-03-18,23-120,BUF,BOS,L,0,1,1,-1,0,0,0,0,0,0,0,1,0,,25,16:19,0,0,0,
12,2021-03-22,23-124,BUF,NYR,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,21,20:46,1,0,0,
13,2021-03-24,23-126,BUF,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,15:24,1,0,0,
14,2021-03-25,23-127,BUF,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,18:04,0,0,0,
15,2021-03-27,23-129,BUF,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,18:22,0,0,0,
16,2021-03-31,23-133,BUF,PHI,W,0,2,2,4,0,0,0,0,0,2,0,0,0,,23,22:31,0,0,0,
17,2021-04-01,23-134,BUF,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,21:32,2,0,0,
18,2021-04-03,23-136,BUF,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,19:42,0,0,0,
19,2021-04-06,23-139,BUF,NJD,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,20:46,0,0,0,
20,2021-04-08,23-141,BUF,NJD,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,16:37,1,0,0,
21,2021-04-09,23-142,BUF,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,19:02,0,0,0,
22,2021-04-11,23-144,BUF,PHI,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,23,19:00,0,0,0,
23,2021-04-13,23-146,BUF,BOS,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,20:19,2,0,0,
24,2021-04-15,23-148,BUF,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,22:04,3,0,0,
