,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-01-05,23-003,SJS,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,5:02,0,0,0,
1,2019-04-02,23-090,SJS,VAN,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,19,12:56,0,0,0,
2,2019-04-04,23-092,SJS,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,15,11:50,1,0,0,
3,2019-10-04,23-275,SJS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2:13,2,0,0,
4,2019-12-17,23-349,SJS,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,8:51,1,0,0,
5,2019-12-21,23-353,SJS,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,9:57,1,0,0,
6,2019-12-22,23-354,SJS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:14,1,0,0,
7,2020-02-20,24-049,SJS,NJD,L,0,1,1,0,7,0,0,0,0,1,0,0,2,0.0,18,11:46,0,0,0,
8,2020-02-22,24-051,SJS,NYR,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,16,11:43,2,0,0,
9,2020-02-23,24-052,SJS,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,16:59,2,0,0,
10,2020-02-25,24-054,SJS,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,13:20,3,0,0,
11,2020-02-27,24-056,SJS,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:22,3,0,0,
12,2020-02-29,24-058,SJS,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:15,3,0,0,
13,2021-01-16,25-014,SJS,ARI,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,16,8:44,2,0,0,
14,2021-10-16,25-287,SJS,WPG,W,0,0,0,1,5,0,0,0,0,0,0,0,0,,21,16:15,2,0,0,
15,2021-10-19,25-290,SJS,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:50,2,0,0,
16,2021-10-21,25-292,SJS,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,29,19:44,0,0,0,
17,2021-10-22,25-293,SJS,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,23,17:36,2,0,0,
18,2021-10-24,25-295,SJS,BOS,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,21,13:25,3,0,0,
19,2021-10-26,25-297,SJS,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,28,17:42,1,0,0,
20,2021-10-28,25-299,SJS,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,24,18:09,0,0,0,
21,2021-11-13,25-315,SJS,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,28,16:00,1,0,0,
22,2021-11-16,25-318,SJS,MIN,W,0,1,1,2,5,0,0,0,0,1,0,0,1,0.0,25,17:07,0,0,0,
23,2021-11-18,25-320,SJS,STL,L,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,26,18:01,1,0,0,
24,2021-11-20,25-322,SJS,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:14,1,0,0,
25,2021-11-22,25-324,SJS,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,21:07,5,0,0,
