,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-14,22-087,DAL,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,16:35,0,0,0,
1,2021-10-16,22-089,DAL,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,26,16:05,1,0,0,
2,2021-10-17,22-090,DAL,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:14,1,0,0,
3,2021-10-19,22-092,DAL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,16:44,3,0,0,
4,2021-10-22,22-095,DAL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:35,0,0,0,
5,2021-10-25,22-098,DAL,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:48,1,1,1,50.0
6,2021-11-13,22-117,DAL,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,11:51,1,0,0,
7,2021-11-16,22-120,DAL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:14,0,0,0,
8,2021-11-18,22-122,DAL,MIN,L,1,0,1,-4,0,1,0,0,0,0,0,0,3,33.3,14,9:30,0,0,1,0.0
9,2021-11-20,22-124,DAL,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,8:22,0,0,0,
10,2021-11-23,22-127,DAL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:02,0,0,0,
11,2021-11-26,22-130,DAL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:07,0,0,0,
12,2021-11-27,22-131,DAL,ARI,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,14,8:27,1,0,0,
13,2021-11-30,22-134,DAL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:01,1,0,0,
14,2021-12-02,22-136,DAL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:13,0,0,0,
15,2021-12-06,22-140,DAL,ARI,W,1,0,1,2,0,1,0,0,1,0,0,0,4,25.0,20,10:49,0,0,0,
16,2021-12-08,22-142,DAL,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:53,1,0,1,0.0
