,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-10-05,20-353,BOS,NSH,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,18,14:05,0,1,0,100.0
1,2017-10-09,20-357,BOS,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,17,13:00,0,0,0,
2,2017-10-11,20-359,BOS,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,14:35,2,0,0,
3,2017-10-14,20-362,BOS,ARI,W,1,1,2,0,0,0,1,0,0,0,1,0,3,33.3,20,16:43,3,0,1,0.0
4,2017-10-15,20-363,BOS,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,15:08,1,1,1,50.0
5,2017-10-19,21-002,BOS,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,14:27,0,0,0,
6,2017-10-21,21-004,BOS,BUF,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,12:35,3,0,0,
7,2017-10-26,21-009,BOS,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:23,2,0,1,0.0
8,2017-10-28,21-011,BOS,LAK,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:38,2,0,0,
9,2017-10-30,21-013,BOS,CBJ,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,18:19,5,0,1,0.0
10,2017-11-02,21-016,BOS,VEG,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,13:29,0,0,0,
11,2017-11-04,21-018,BOS,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,16:16,0,0,0,
12,2017-11-06,21-020,BOS,MIN,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,16:29,2,1,0,100.0
13,2017-11-08,21-022,BOS,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,18:45,1,0,0,
14,2017-11-10,21-024,BOS,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:43,0,0,0,
15,2017-11-15,21-029,BOS,ANA,L,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,19,15:02,2,0,0,
16,2017-11-16,21-030,BOS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,13:26,1,0,1,0.0
17,2017-11-18,21-032,BOS,SJS,W,1,1,2,2,0,1,0,0,1,1,0,0,4,25.0,21,15:49,0,0,0,
18,2017-11-22,21-036,BOS,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,20,14:57,1,0,1,0.0
19,2017-11-24,21-038,BOS,PIT,W,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,24,18:46,2,0,0,
20,2017-11-26,21-040,BOS,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,15:31,0,0,0,
21,2017-12-07,21-051,BOS,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:30,0,2,0,100.0
22,2017-12-09,21-053,BOS,NYI,W,1,0,1,1,17,1,0,0,1,0,0,0,4,25.0,13,7:52,1,0,0,
23,2017-12-13,21-057,BOS,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,17:08,1,1,0,100.0
24,2017-12-14,21-058,BOS,WSH,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,17,12:11,0,1,2,33.3
25,2017-12-16,21-060,BOS,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,7:43,0,0,0,
26,2017-12-18,21-062,BOS,CBJ,W,1,2,3,2,2,1,0,0,0,0,2,0,4,25.0,19,12:03,0,1,1,50.0
27,2017-12-19,21-063,BOS,BUF,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,17,10:26,0,0,0,
28,2017-12-21,21-065,BOS,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,14:16,1,1,0,100.0
29,2017-12-23,21-067,BOS,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,16,13:28,1,0,1,0.0
30,2017-12-27,21-071,BOS,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:45,1,0,0,
31,2017-12-28,21-072,BOS,WSH,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,12,9:05,0,0,2,0.0
32,2017-12-30,21-074,BOS,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,15:15,1,0,0,
33,2018-01-02,21-077,BOS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:20,1,0,0,
34,2018-01-06,21-081,BOS,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,15:48,0,0,0,
35,2018-01-07,21-082,BOS,PIT,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,16,16:03,3,0,0,
36,2018-01-13,21-088,BOS,MTL,W,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,18,14:20,4,0,0,
37,2018-01-15,21-090,BOS,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:39,0,0,0,
38,2018-01-17,21-092,BOS,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,13:21,1,0,0,
39,2018-01-18,21-093,BOS,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,12:50,0,0,0,
40,2018-01-20,21-095,BOS,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:21,3,0,0,
41,2018-01-23,21-098,BOS,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:07,2,0,0,
