,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-14,22-218,VEG,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,11:17,3,5,6,45.5
1,2021-10-20,22-224,VEG,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:13,0,3,1,75.0
2,2021-10-24,22-228,VEG,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:50,0,1,2,33.3
3,2021-10-26,22-230,VEG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,8:58,1,1,2,33.3
4,2021-10-27,22-231,VEG,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:27,0,0,5,0.0
5,2021-10-29,22-233,VEG,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,12:07,0,5,6,45.5
6,2021-11-02,22-237,VEG,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,12:37,3,3,3,50.0
7,2021-11-04,22-239,VEG,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,14:40,1,4,5,44.4
8,2021-11-06,22-241,VEG,MTL,W,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,17,11:13,1,2,7,22.2
9,2021-11-07,22-242,VEG,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:14,0,4,4,50.0
10,2021-11-09,22-244,VEG,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:15,2,0,7,0.0
11,2021-11-11,22-246,VEG,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,12:27,2,4,2,66.7
12,2021-11-13,22-248,VEG,VAN,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,18,12:20,0,3,4,42.9
13,2021-11-16,22-251,VEG,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:42,1,8,5,61.5
14,2021-11-18,22-253,VEG,DET,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,19,14:39,2,5,2,71.4
15,2021-11-20,22-255,VEG,CBJ,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,16,10:46,1,0,4,0.0
16,2021-11-22,22-257,VEG,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,10:08,0,3,5,37.5
17,2021-11-24,22-259,VEG,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,14:14,0,6,3,66.7
18,2021-12-28,22-293,VEG,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:15,0,3,5,37.5
19,2022-01-11,22-307,VEG,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:18,2,2,3,40.0
20,2022-03-04,22-359,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:47,0,4,5,44.4
21,2022-03-06,22-361,VEG,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,9:51,1,1,2,33.3
22,2022-03-08,22-363,VEG,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:41,0,1,3,25.0
23,2022-03-10,23-000,VEG,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:44,1,4,3,57.1
24,2022-03-11,23-001,VEG,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:50,2,3,6,33.3
25,2022-03-13,23-003,VEG,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:30,0,3,3,50.0
26,2022-03-15,23-005,VEG,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,12:25,1,6,5,54.5
27,2022-03-21,23-011,VEG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:17,1,2,1,66.7
28,2022-03-22,23-012,VEG,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:33,1,1,2,33.3
29,2022-03-24,23-014,VEG,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,10:28,2,5,6,45.5
30,2022-03-26,23-016,VEG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:29,1,2,4,33.3
31,2022-03-30,23-020,VEG,SEA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:49,3,2,2,50.0
32,2022-04-01,23-022,VEG,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:11,0,4,4,50.0
33,2022-04-03,23-024,VEG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:07,0,2,1,66.7
34,2022-04-06,23-027,VEG,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:27,3,2,3,40.0
35,2022-04-09,23-030,VEG,ARI,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,17,12:14,4,5,3,62.5
36,2022-04-12,23-033,VEG,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:48,0,4,3,57.1
37,2022-04-14,23-035,VEG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:34,1,3,4,42.9
38,2022-04-16,23-037,VEG,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:22,1,3,0,100.0
39,2022-04-18,23-039,VEG,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,8:44,1,0,1,0.0
40,2022-04-20,23-041,VEG,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:50,3,3,1,75.0
41,2022-10-28,23-232,VEG,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,14:18,6,4,4,50.0
42,2022-10-30,23-234,VEG,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:59,1,6,1,85.7
43,2022-11-21,23-256,VEG,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,8:22,1,2,3,40.0
44,2022-11-26,23-261,VEG,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:40,2,7,6,53.8
45,2022-11-28,23-263,VEG,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,16,10:52,1,5,3,62.5
46,2022-12-01,23-266,VEG,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,9:16,5,4,3,57.1
47,2022-12-03,23-268,VEG,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:05,0,4,3,57.1
48,2022-12-05,23-270,VEG,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:58,3,5,5,50.0
49,2022-12-07,23-272,VEG,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:22,1,2,5,28.6
50,2022-12-09,23-274,VEG,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:16,2,2,3,40.0
51,2022-12-11,23-276,VEG,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,9:04,3,2,4,33.3
52,2022-12-13,23-278,VEG,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:43,0,2,4,33.3
53,2022-12-15,23-280,VEG,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,10:17,0,4,3,57.1
54,2022-12-17,23-282,VEG,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,9:22,2,5,3,62.5
55,2022-12-19,23-284,VEG,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,6:29,0,1,3,25.0
56,2022-12-21,23-286,VEG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:43,3,4,1,80.0
57,2022-12-23,23-288,VEG,STL,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,9:33,2,3,1,75.0
