,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-12-14,27-218,OTT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:49,1,0,0,
1,2022-12-27,27-231,OTT,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,9:29,1,0,1,0.0
2,2022-12-29,27-233,OTT,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:00,0,0,0,
3,2022-12-31,27-235,OTT,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:17,3,0,0,
4,2023-01-01,27-236,OTT,BUF,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,19,13:39,1,0,0,
5,2023-01-03,27-238,OTT,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,12:39,1,0,1,0.0
6,2023-01-07,27-242,OTT,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:13,2,0,0,
7,2023-01-09,27-244,OTT,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:38,1,0,0,
8,2023-01-12,27-247,OTT,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,11:58,3,0,0,
9,2023-01-14,27-249,OTT,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,13:27,1,0,0,
10,2023-01-16,27-251,OTT,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:14,2,0,0,
11,2023-12-23,28-227,MIN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,10:05,1,1,0,100.0
12,2023-12-31,28-235,MIN,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,10:12,1,0,1,0.0
13,2024-01-02,28-237,MIN,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,10:41,0,0,1,0.0
14,2024-01-04,28-239,MIN,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:40,0,0,1,0.0
15,2024-01-21,28-256,MIN,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:35,1,1,6,14.3
16,2024-01-23,28-258,MIN,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:32,0,3,2,60.0
17,2024-01-25,28-260,MIN,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,5:58,2,0,2,0.0
18,2024-01-27,28-262,MIN,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,7,4:10,0,0,1,0.0
19,2024-02-07,28-273,MIN,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,13,8:46,1,2,0,100.0
20,2024-02-09,28-275,MIN,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,6:42,0,0,4,0.0
21,2024-02-12,28-278,MIN,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:13,0,0,0,
22,2024-02-14,28-280,MIN,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,7:38,1,0,0,
23,2024-02-17,28-283,MIN,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,11:11,1,0,1,0.0
24,2024-02-19,28-285,MIN,VAN,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,9,8:19,0,0,0,
25,2024-02-20,28-286,MIN,WPG,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,13,10:46,0,0,1,0.0
26,2024-02-23,28-289,MIN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:32,3,0,0,
27,2024-02-24,28-290,MIN,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:32,1,0,0,
28,2024-02-27,28-293,MIN,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,8:01,0,0,0,
29,2024-02-29,28-295,MIN,NSH,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,15,11:09,2,2,1,66.7
30,2024-03-02,28-297,MIN,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,11,7:48,2,0,1,0.0
31,2024-03-03,28-298,MIN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:56,0,1,0,100.0
32,2024-03-07,28-302,MIN,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,9:16,0,3,1,75.0
33,2024-03-08,28-303,MIN,COL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,9:19,0,2,1,66.7
34,2024-03-10,28-305,MIN,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:27,0,3,1,75.0
35,2024-03-12,28-307,MIN,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:49,0,3,2,60.0
36,2024-03-14,28-309,MIN,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:34,0,3,1,75.0
37,2024-03-16,28-311,MIN,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:21,0,3,0,100.0
38,2024-03-19,28-314,MIN,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,11:23,1,2,3,40.0
39,2024-03-20,28-315,MIN,LAK,L,0,0,0,-1,10,0,0,0,0,0,0,0,0,,12,10:35,0,2,2,50.0
40,2024-03-23,28-318,MIN,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:34,0,2,4,33.3
41,2024-03-28,28-323,MIN,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:53,0,1,2,33.3
42,2024-03-30,28-325,MIN,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:07,2,2,4,33.3
43,2024-04-02,28-328,MIN,OTT,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,14,11:31,0,2,3,40.0
44,2024-04-04,28-330,MIN,COL,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,11,9:12,0,0,1,0.0
45,2024-04-06,28-332,MIN,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,10:35,0,0,3,0.0
46,2024-04-07,28-333,MIN,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,10:05,1,2,4,33.3
47,2024-04-12,28-338,MIN,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,12:25,2,3,1,75.0
48,2024-04-13,28-339,MIN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:23,0,2,1,66.7
