,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-16,19-201,STL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:00,3,0,0,
1,2021-10-18,19-203,STL,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,11:04,0,1,0,100.0
2,2021-10-20,19-205,STL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:01,0,0,0,
3,2021-10-23,19-208,STL,LAK,W,1,0,1,-1,0,1,0,0,1,0,0,0,2,50.0,15,11:49,2,0,0,
4,2021-10-25,19-210,STL,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,11,7:55,1,0,0,
5,2021-10-28,19-213,STL,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,9:22,1,0,0,
6,2021-11-04,19-220,STL,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,9:04,1,0,2,0.0
7,2021-11-07,19-223,STL,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:32,1,0,0,
8,2021-11-09,19-225,STL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:05,1,0,0,
9,2022-10-15,20-200,STL,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,13:26,4,0,0,
10,2022-10-19,20-204,STL,SEA,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,16,12:03,0,0,0,
11,2022-10-22,20-207,STL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,11:45,2,0,0,
12,2022-10-24,20-209,STL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:26,0,0,1,0.0
13,2022-10-26,20-211,STL,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,11:37,1,0,0,
14,2022-10-27,20-212,STL,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,15:27,1,0,0,
15,2022-10-29,20-214,STL,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:30,0,2,1,66.7
16,2022-10-31,20-216,STL,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:56,2,0,0,
17,2022-11-03,20-219,STL,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,19,16:00,0,0,0,
18,2022-11-07,20-223,STL,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:57,0,0,0,
19,2022-11-08,20-224,STL,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:28,1,0,1,0.0
20,2022-11-28,20-244,STL,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:44,0,0,2,0.0
21,2022-12-01,20-247,STL,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:08,1,0,0,
22,2023-01-03,20-280,STL,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,15,11:27,5,0,0,
23,2023-01-05,20-282,STL,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:28,1,0,1,0.0
24,2023-01-07,20-284,STL,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,14,10:40,1,0,0,
25,2023-01-08,20-285,STL,MIN,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,16,15:02,0,0,0,
26,2023-01-10,20-287,STL,CGY,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,13,9:37,0,0,0,
27,2023-01-12,20-289,STL,CGY,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,16:01,1,0,0,
28,2023-01-14,20-291,STL,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:34,0,0,0,
29,2023-01-16,20-293,STL,OTT,W,1,0,1,2,5,1,0,0,0,0,0,0,3,33.3,18,13:56,2,0,1,0.0
30,2023-01-19,20-296,STL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:01,1,0,0,
31,2023-01-21,20-298,STL,CHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,20,17:17,1,0,0,
32,2023-01-24,20-301,STL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:24,5,0,0,
33,2023-01-26,20-303,STL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:20,1,1,0,100.0
34,2023-01-28,20-305,STL,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,10:22,1,0,1,0.0
35,2023-01-30,20-307,STL,WPG,L,1,1,2,0,0,0,1,0,0,1,0,0,2,50.0,15,10:28,0,0,1,0.0
36,2023-02-16,20-324,STL,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:08,1,0,0,
37,2023-02-18,20-326,STL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:26,1,0,0,
38,2023-02-19,20-327,STL,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0:37,0,0,0,
39,2023-03-21,20-357,STL,DET,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:34,3,0,0,
40,2023-03-23,20-359,STL,DET,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,19,16:21,4,1,0,100.0
41,2023-03-25,20-361,STL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:46,2,0,2,0.0
42,2023-03-26,20-362,STL,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:52,2,0,0,
43,2023-03-28,20-364,STL,VAN,W,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,15,12:03,2,0,0,
44,2023-03-30,21-001,STL,CHI,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,11:31,4,0,0,
45,2023-04-01,21-003,STL,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,14:50,1,0,0,
46,2023-04-02,21-004,STL,BOS,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:33,2,0,1,0.0
47,2023-04-04,21-006,STL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,13:36,3,3,0,100.0
48,2023-04-06,21-008,STL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:19,2,0,0,
49,2023-04-08,21-010,STL,MIN,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,18,13:22,1,0,0,
50,2023-04-12,21-014,STL,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:58,0,0,0,
51,2023-04-13,21-015,STL,DAL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,14:23,4,0,0,
52,2023-10-12,21-197,STL,DAL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,11:03,3,0,1,0.0
53,2023-10-14,21-199,STL,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:11,0,0,0,
54,2023-10-19,21-204,STL,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:28,2,0,0,
55,2023-10-21,21-206,STL,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,13:19,1,0,0,
56,2023-10-24,21-209,STL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,12:11,1,0,0,
57,2023-10-26,21-211,STL,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,12:29,3,0,0,
58,2023-10-27,21-212,STL,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:28,1,0,0,
59,2023-11-01,21-217,STL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:57,0,0,0,
60,2023-11-03,21-219,STL,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,16,11:52,6,0,1,0.0
61,2023-11-04,21-220,STL,MTL,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,11:47,4,0,0,
62,2023-11-07,21-223,STL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:36,1,0,2,0.0
63,2023-11-09,21-225,STL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:50,1,0,0,
64,2023-11-11,21-227,STL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,12:12,2,0,1,0.0
65,2023-11-14,21-230,STL,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:40,0,0,1,0.0
66,2023-11-16,21-232,STL,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,12:13,0,0,0,
67,2023-11-18,21-234,STL,LAK,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,13,10:14,1,0,0,
68,2023-11-19,21-235,STL,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,18,11:45,0,0,0,
69,2023-11-22,21-238,STL,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,14:14,1,1,0,100.0
70,2023-11-24,21-240,STL,NSH,L,1,0,1,-2,0,0,1,0,0,0,0,0,3,33.3,21,16:37,5,1,0,100.0
71,2023-11-26,21-242,STL,CHI,W,2,0,2,1,0,2,0,0,0,0,0,0,3,66.7,19,17:32,4,0,0,
72,2023-11-28,21-244,STL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,20:47,3,0,0,
73,2023-11-30,21-246,STL,BUF,W,2,0,2,2,0,2,0,0,0,0,0,0,5,40.0,26,20:05,0,0,0,
74,2023-12-02,21-248,STL,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,18,16:58,2,0,0,
75,2023-12-04,21-250,STL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,17:43,0,1,0,100.0
76,2023-12-06,21-252,STL,VEG,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,17:07,0,0,0,
77,2023-12-08,21-254,STL,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,19,20:52,2,0,2,0.0
78,2023-12-09,21-255,STL,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,21:34,0,0,0,
79,2023-12-12,21-258,STL,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,18:42,1,0,0,
80,2023-12-14,21-260,STL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:16,3,0,1,0.0
81,2023-12-16,21-262,STL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:56,3,0,0,
82,2023-12-19,21-265,STL,TBL,L,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,16,12:25,2,1,0,100.0
83,2023-12-21,21-267,STL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,18:17,7,0,1,0.0
84,2023-12-23,21-269,STL,CHI,W,1,0,1,1,0,0,1,0,0,0,0,0,4,25.0,18,14:33,3,0,0,
85,2023-12-27,21-273,STL,DAL,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,17,14:40,1,0,0,
86,2023-12-29,21-275,STL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:24,1,0,1,0.0
87,2023-12-30,21-276,STL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:01,1,0,1,0.0
88,2024-01-04,21-281,STL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,23,16:41,2,0,1,0.0
89,2024-01-06,21-283,STL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:41,2,0,0,
