,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-10-13,20-097,OTT,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,22:21,2,0,0,
1,2022-10-15,20-099,OTT,TOR,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,29,20:40,3,0,0,
2,2022-10-18,20-102,OTT,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,31,20:04,0,0,0,
3,2022-10-20,20-104,OTT,WSH,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,20,15:47,1,0,0,
4,2022-10-22,20-106,OTT,ARI,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,22,17:11,0,0,0,
5,2022-10-24,20-108,OTT,DAL,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,29,18:12,0,0,0,
6,2022-10-27,20-111,OTT,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,18:11,0,0,0,
7,2022-10-29,20-113,OTT,FLA,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,26,19:12,0,0,0,
8,2022-11-01,20-116,OTT,TBL,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,25,17:05,3,0,0,
9,2022-11-03,20-118,OTT,VEG,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,27,20:07,1,0,0,
10,2022-11-05,20-120,OTT,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,21:31,1,0,0,
11,2022-11-08,20-123,OTT,VAN,L,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,28,21:56,2,0,0,
12,2022-11-10,20-125,OTT,NJD,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,28,23:27,0,0,0,
13,2022-11-12,20-127,OTT,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,32,22:21,2,0,0,
