,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-01-04,23-318,STL,VEG,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,11:04,0,0,0,
1,2021-02-06,24-352,STL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:51,2,0,0,
2,2021-02-20,25-000,STL,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,4:45,1,0,0,
3,2021-03-17,25-025,STL,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,16:07,1,0,0,
4,2021-03-19,25-027,STL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,14:11,2,0,0,
5,2021-03-20,25-028,STL,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:23,2,0,0,
6,2021-03-22,25-030,STL,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,14:16,0,0,0,
7,2021-03-25,25-033,STL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:03,0,0,0,
8,2021-03-28,25-036,STL,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,25,18:14,1,0,0,
9,2021-04-02,25-041,STL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:30,2,0,0,
10,2021-04-03,25-042,STL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:33,2,0,0,
11,2021-04-07,25-046,STL,VEG,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,20,14:53,2,0,0,
12,2021-04-09,25-048,STL,MIN,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,26,20:32,0,0,0,
13,2021-04-10,25-049,STL,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,13:38,1,0,0,
14,2021-04-14,25-053,STL,COL,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,19,12:23,3,0,0,
15,2021-04-17,25-056,STL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,25,16:59,1,0,0,
16,2021-04-22,25-061,STL,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,15:01,1,0,0,
17,2021-04-24,25-063,STL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,17:41,2,0,0,
18,2021-04-26,25-065,STL,COL,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,22,16:13,0,0,0,
19,2021-04-28,25-067,STL,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,15:05,0,0,0,
20,2021-05-01,25-070,STL,MIN,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,25,15:42,1,0,0,
21,2021-05-03,25-072,STL,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,13:42,0,0,0,
22,2021-05-05,25-074,STL,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,17:27,0,0,0,
23,2021-05-07,25-076,STL,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,13:37,1,0,0,
24,2021-05-08,25-077,STL,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,27,17:20,1,0,0,
25,2021-10-16,25-238,STL,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,11:24,0,0,0,
26,2021-10-18,25-240,STL,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,23,15:01,1,0,0,
27,2021-10-20,25-242,STL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,11:42,1,0,0,
28,2021-10-23,25-245,STL,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:57,1,0,0,
29,2021-10-25,25-247,STL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,11:10,2,0,0,
30,2021-10-28,25-250,STL,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,16:38,3,0,0,
31,2021-10-30,25-252,STL,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,21,11:12,0,0,0,
32,2021-11-03,25-256,STL,LAK,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,16:02,0,0,0,
33,2021-11-04,25-257,STL,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,13:06,1,0,0,
34,2021-11-07,25-260,STL,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:30,0,0,0,
35,2021-11-09,25-262,STL,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,16:01,0,0,0,
36,2021-11-11,25-264,STL,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:03,0,0,0,
37,2021-11-13,25-266,STL,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,14:40,0,0,0,
38,2021-11-14,25-267,STL,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,10:40,0,0,0,
39,2021-12-02,25-285,STL,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,8,5:29,1,0,0,
40,2021-12-04,25-287,STL,FLA,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,12:48,1,0,0,
41,2021-12-07,25-290,STL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:08,0,0,0,
42,2021-12-29,25-312,STL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,4:34,0,0,0,
43,2022-01-13,25-327,STL,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:56,1,0,0,
44,2022-02-12,25-357,STL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:39,0,0,0,
45,2022-02-15,25-360,STL,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,12:28,0,0,0,
46,2022-02-17,25-362,STL,MTL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,10:35,0,0,0,
47,2022-02-19,25-364,STL,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,12:35,1,0,0,
48,2022-02-22,26-002,STL,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,11:04,0,0,0,
49,2022-02-25,26-005,STL,BUF,W,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,22,10:59,0,0,0,
50,2022-02-27,26-007,STL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,10:58,0,0,0,
51,2022-03-02,26-010,STL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:46,1,0,0,
52,2022-03-05,26-013,STL,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,13:41,1,0,0,
53,2022-03-06,26-014,STL,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,18:20,3,0,0,
54,2022-03-08,26-016,STL,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,16:50,2,0,0,
55,2022-03-10,26-018,STL,NYR,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,7,6:28,0,0,0,
56,2022-03-19,26-027,STL,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,9:48,1,0,0,
57,2022-03-22,26-030,DET,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,17:19,0,0,0,
58,2022-03-24,26-032,DET,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,16:33,1,0,0,
59,2022-03-26,26-034,DET,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,20:23,0,0,0,
60,2022-03-27,26-035,DET,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,25,18:21,1,0,0,
61,2022-03-30,26-038,DET,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,15:59,1,0,0,
