,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-01-21,21-320,CGY,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,6:50,1,0,2,0.0
1,2023-01-23,21-322,CGY,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,7:36,0,0,0,
2,2023-01-26,21-325,CGY,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,15:21,0,0,0,
3,2023-01-27,21-326,CGY,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:54,0,0,0,
4,2023-02-06,21-336,CGY,NYR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:41,1,0,0,
5,2023-02-09,21-339,CGY,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:57,0,0,0,
6,2023-02-11,21-341,CGY,BUF,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,21,14:58,1,0,0,
7,2023-02-13,21-343,CGY,OTT,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,13:38,0,0,0,
8,2023-02-16,21-346,CGY,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:09,1,0,0,
9,2023-02-18,21-348,CGY,NYR,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,16:17,1,0,0,
10,2023-02-20,21-350,CGY,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,25,19:12,1,0,0,
11,2023-02-22,21-352,CGY,ARI,W,1,1,2,0,0,0,1,0,1,0,1,0,1,100.0,21,14:15,0,0,0,
12,2023-02-23,21-353,CGY,VEG,L-OT,1,1,2,0,0,0,1,0,0,1,0,0,1,100.0,23,15:04,1,0,0,
13,2023-02-25,21-355,CGY,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:06,0,0,0,
14,2023-02-28,21-358,CGY,BOS,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,21,14:34,0,0,2,0.0
15,2023-03-02,21-360,CGY,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:52,0,0,0,
16,2023-03-04,21-362,CGY,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,15:18,1,0,1,0.0
17,2023-03-06,21-364,CGY,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,13:37,1,0,0,
18,2023-03-07,22-000,CGY,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,14:02,0,0,0,
19,2023-03-10,22-003,CGY,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:26,2,0,0,
20,2023-03-12,22-005,CGY,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:42,0,0,0,
21,2023-03-14,22-007,CGY,ARI,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,16:04,1,0,0,
22,2023-03-20,22-013,CGY,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,12:01,1,0,0,
23,2023-04-12,22-036,CGY,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,13:52,2,2,1,66.7
24,2024-02-06,22-336,CGY,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,13:06,0,0,1,0.0
25,2024-02-08,22-338,CGY,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,8:43,1,1,0,100.0
26,2024-02-10,22-340,CGY,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,9:08,0,1,0,100.0
27,2024-02-12,22-342,CGY,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0:54,0,0,0,
28,2024-02-24,22-354,CGY,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:28,1,1,0,100.0
29,2024-02-27,22-357,CGY,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,13,8:29,1,0,0,
30,2024-03-02,22-361,CGY,PIT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,11:02,3,0,1,0.0
31,2024-03-04,22-363,CGY,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:13,0,0,0,
32,2024-03-07,23-000,CGY,TBL,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,16,11:40,0,0,0,
33,2024-03-09,23-002,CGY,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:53,3,0,1,0.0
34,2024-03-10,23-003,CGY,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:21,1,0,1,0.0
35,2024-03-12,23-005,CGY,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:39,0,0,0,
36,2024-03-14,23-007,CGY,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,4:55,0,1,0,100.0
