,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-12-01,20-277,WSH,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:10,0,0,0,
1,2016-12-03,20-279,WSH,TBL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,18:41,1,0,0,
2,2016-12-05,20-281,WSH,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,11:58,0,0,0,
3,2016-12-07,20-283,WSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:58,2,0,0,
4,2016-12-09,20-285,WSH,BUF,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,12,8:12,0,0,1,0.0
5,2016-12-11,20-287,WSH,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,15,11:23,0,0,0,
6,2016-12-13,20-289,WSH,NYI,W,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,14,9:34,0,0,0,
7,2016-12-16,20-292,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:32,0,0,0,
8,2016-12-17,20-293,WSH,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:30,0,0,0,
9,2016-12-21,20-297,WSH,PHI,L-SO,0,0,0,2,0,0,0,0,0,0,0,0,0,,16,11:36,0,,,
10,2016-12-23,20-299,WSH,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12:14,0,0,0,
11,2016-12-27,20-303,WSH,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:14,0,0,1,0.0
12,2017-02-28,21-000,WSH,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,9:27,0,0,0,
13,2017-03-02,21-002,WSH,NJD,W,1,0,1,0,0,0,1,0,1,0,0,0,4,25.0,12,10:13,0,0,0,
14,2017-03-04,21-004,WSH,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:03,0,0,0,
15,2017-03-06,21-006,WSH,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,14,13:21,1,0,1,0.0
16,2017-03-09,21-009,WSH,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:40,0,0,0,
17,2017-03-11,21-011,WSH,LAK,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,12,8:03,1,0,0,
18,2017-03-12,21-012,WSH,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,7:40,0,,,
