,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-20,24-249,VAN,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,15:30,2,0,0,
1,2021-01-21,24-250,VAN,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:33,1,0,0,
2,2021-01-27,24-256,VAN,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,13:24,0,0,0,
3,2021-01-28,24-257,VAN,OTT,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,19,15:01,1,0,0,
4,2021-01-30,24-259,VAN,WPG,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,22,17:33,1,0,0,
5,2021-02-01,24-261,VAN,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:25,0,0,0,
6,2021-02-02,24-262,VAN,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:03,1,0,0,
7,2021-02-04,24-264,VAN,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,18:48,1,0,0,
8,2021-02-06,24-266,VAN,TOR,L,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,24,13:23,1,0,0,
9,2021-03-17,24-305,VAN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2:13,0,0,0,
10,2021-04-18,24-337,VAN,TOR,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,23,15:15,0,0,0,
11,2021-04-20,24-339,VAN,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,15:26,0,0,0,
12,2021-04-22,24-341,VAN,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:07,1,0,0,
13,2021-04-29,24-348,VAN,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:03,0,0,0,
14,2021-05-01,24-350,VAN,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:29,0,0,0,
15,2021-05-15,24-364,VAN,EDM,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,20,14:44,1,0,0,
16,2021-05-16,25-000,VAN,CGY,L-OT,0,0,0,-4,0,0,0,0,0,0,0,0,0,,20,13:13,0,0,0,
17,2021-05-19,25-003,VAN,CGY,L,0,0,0,-3,4,0,0,0,0,0,0,0,3,0.0,21,14:42,1,0,0,
18,2021-11-30,25-198,CAR,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,17:35,5,0,0,
19,2021-12-02,25-200,CAR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,15:07,2,0,0,
20,2021-12-04,25-202,CAR,BUF,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,27,19:20,4,0,0,
21,2021-12-07,25-205,CAR,WPG,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,15:56,3,0,0,
22,2021-12-09,25-207,CAR,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,16:04,1,0,0,
23,2021-12-11,25-209,CAR,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,26,18:29,3,0,0,
24,2021-12-12,25-210,CAR,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:59,1,0,0,
25,2022-02-25,25-285,CAR,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,14:41,1,0,0,
26,2022-02-27,25-287,CAR,EDM,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,19,12:19,1,0,0,
27,2022-03-01,25-289,CAR,DET,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,10:44,1,0,0,
28,2022-03-03,25-291,CAR,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,14:31,3,0,0,
29,2022-03-04,25-292,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:52,2,0,0,
30,2022-03-06,25-294,CAR,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:16,2,0,0,
31,2022-03-10,25-298,CAR,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,12:02,1,0,0,
32,2022-03-12,25-300,CAR,PHI,W,0,1,1,2,2,0,0,0,0,1,0,0,0,,22,14:07,0,0,0,
33,2022-03-13,25-301,CAR,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:35,2,0,0,
34,2022-10-12,26-149,CAR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,14:52,1,0,0,
35,2022-10-14,26-151,CAR,SJS,W,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,14,10:53,2,0,0,
36,2022-10-17,26-154,CAR,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:56,1,0,0,
37,2022-10-20,26-157,CAR,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:01,0,0,0,
38,2022-10-22,26-159,CAR,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:42,2,0,0,
39,2022-10-24,26-161,CAR,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:34,0,0,0,
40,2022-10-28,26-165,CAR,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,15:20,2,0,0,
41,2022-10-29,26-166,CAR,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:50,1,0,0,
42,2022-10-31,26-168,CAR,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,13:11,1,0,0,
43,2022-11-03,26-171,CAR,TBL,W,0,0,0,0,6,0,0,0,0,0,0,0,1,0.0,18,12:41,4,0,0,
44,2022-11-04,26-172,CAR,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,14:43,0,0,0,
45,2022-11-06,26-174,CAR,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:35,3,0,0,
46,2022-11-09,26-177,CAR,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:12,1,0,0,
47,2022-11-10,26-178,CAR,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,17:48,2,0,0,
48,2022-11-12,26-180,CAR,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,12:49,2,0,0,
49,2022-11-14,26-182,CAR,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,14:56,1,0,0,
50,2022-11-17,26-185,CAR,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:25,1,0,0,
51,2022-11-19,26-187,CAR,MIN,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,18,12:04,2,0,0,
52,2022-11-21,26-189,CAR,WPG,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:04,2,0,0,
53,2022-11-23,26-191,CAR,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:11,1,0,0,
54,2022-11-25,26-193,CAR,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:44,2,0,0,
55,2022-11-26,26-194,CAR,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,13:04,0,0,0,
56,2022-11-29,26-197,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:39,1,0,0,
57,2022-12-01,26-199,CAR,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:14,0,0,0,
58,2022-12-03,26-201,CAR,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,14:05,2,0,0,
59,2022-12-06,26-204,CAR,ANA,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,11:07,1,0,0,
60,2022-12-10,26-208,CAR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:58,0,0,0,
61,2022-12-13,26-211,CAR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:33,1,0,0,
62,2022-12-15,26-213,CAR,SEA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,12:48,1,0,0,
63,2022-12-17,26-215,CAR,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,13:43,1,0,0,
64,2022-12-18,26-216,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:58,0,0,0,
65,2022-12-20,26-218,CAR,NJD,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,11:52,0,0,0,
66,2022-12-22,26-220,CAR,PIT,W,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,24,16:33,3,0,0,
67,2022-12-23,26-221,CAR,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,15,12:22,1,0,0,
68,2022-12-27,26-225,CAR,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:54,0,0,0,
69,2022-12-30,26-228,CAR,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,16:34,1,0,0,
70,2023-01-01,26-230,CAR,NJD,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,17,12:45,0,0,0,
71,2023-01-03,26-232,CAR,NYR,L,1,0,1,2,2,1,0,0,0,0,0,0,1,100.0,16,12:35,3,0,0,
72,2023-01-05,26-234,CAR,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:51,0,0,0,
73,2023-01-07,26-236,CAR,CBJ,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,12:45,1,0,0,
