,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2024-03-26,20-300,CBJ,ARI,L,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,15,11:43,8,0,0,
1,2024-03-28,20-302,CBJ,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:13,5,0,0,
2,2024-03-30,20-304,CBJ,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,5:29,2,0,0,
3,2024-04-01,20-306,CBJ,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:44,2,0,1,0.0
4,2024-04-04,20-309,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:21,7,0,0,
5,2024-04-06,20-311,CBJ,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,14,10:58,0,0,0,
6,2024-04-07,20-312,CBJ,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,10:02,3,0,0,
7,2024-04-09,20-314,CBJ,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:02,2,0,0,
8,2024-04-11,20-316,CBJ,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:55,7,0,0,
9,2024-04-13,20-318,CBJ,NSH,L,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,15,12:55,4,0,0,
10,2024-04-16,20-321,CBJ,CAR,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,14,13:01,1,0,0,
