,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-03-04,27-339,ANA,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:08,4,0,0,
1,2020-03-06,27-341,ANA,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,19:04,3,0,0,
2,2020-03-08,27-343,ANA,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,19:12,1,0,0,
3,2020-03-10,27-345,ANA,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,17:00,3,0,0,
4,2020-03-11,27-346,ANA,STL,L,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,28,20:12,4,0,0,
5,2021-01-14,28-289,ANA,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,14:09,1,0,0,
6,2021-01-16,28-291,ANA,VEG,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,13:35,3,0,0,
7,2021-01-18,28-293,ANA,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,18:54,5,0,0,
8,2021-01-20,28-295,ANA,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,19:10,2,0,0,
9,2021-01-22,28-297,ANA,COL,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,20:07,2,0,0,
10,2021-01-24,28-299,ANA,COL,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,22,22:20,5,0,0,
11,2021-01-26,28-301,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,19:00,1,0,0,
12,2021-01-28,28-303,ANA,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,17:27,1,0,0,
13,2021-01-30,28-305,ANA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:37,3,0,0,
14,2021-01-31,28-306,ANA,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,28,20:39,5,0,0,
15,2021-02-02,28-308,ANA,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,19:07,5,0,0,
16,2021-02-05,28-311,ANA,SJS,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,17:42,2,0,0,
17,2021-02-06,28-312,ANA,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,17:22,5,0,0,
18,2021-02-09,28-315,ANA,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,17:13,0,0,0,
19,2021-02-11,28-317,ANA,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,19:35,7,0,0,
20,2021-02-15,28-321,ANA,SJS,L,0,0,0,2,0,0,0,0,0,0,0,0,0,,23,16:13,3,0,0,
21,2021-02-18,28-324,ANA,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,27,20:13,4,0,0,
22,2021-02-20,28-326,ANA,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,17:35,4,0,0,
23,2021-02-22,28-328,ANA,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,19:18,6,0,0,
24,2021-02-24,28-330,ANA,ARI,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,0,,28,22:24,4,0,0,
25,2021-02-27,28-333,ANA,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,22:32,9,0,0,
26,2021-03-01,28-335,ANA,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,25,16:19,6,0,0,
27,2021-03-03,28-337,ANA,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,17:39,4,0,0,
28,2021-03-05,28-339,ANA,COL,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,19:15,4,0,0,
29,2021-03-06,28-340,ANA,COL,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,18:11,8,0,0,
30,2021-03-08,28-342,ANA,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,30,26:15,6,0,0,
31,2021-03-10,28-344,ANA,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,18:19,5,0,0,
32,2021-03-12,28-346,ANA,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,20:40,8,0,0,
33,2021-03-13,28-347,ANA,SJS,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,27,18:56,9,0,0,
34,2021-03-16,28-350,ANA,COL,L,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,24,19:27,5,0,0,
35,2021-03-18,28-352,ANA,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,19:10,3,0,0,
36,2021-03-20,28-354,ANA,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,19:34,4,0,0,
37,2021-03-22,28-356,ANA,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,15:59,4,0,0,
38,2021-03-24,28-358,ANA,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,19:01,4,0,0,
39,2021-03-26,28-360,ANA,STL,W,0,0,0,2,5,0,0,0,0,0,0,0,2,0.0,22,17:13,2,0,0,
40,2021-03-28,28-362,ANA,STL,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,24,18:10,4,0,0,
41,2021-03-29,28-363,ANA,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,15:01,2,0,0,
42,2021-04-02,29-002,ANA,ARI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,17:06,2,0,0,
43,2021-04-04,29-004,ANA,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,19:33,2,0,0,
44,2021-04-06,29-006,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,19:43,4,0,0,
45,2021-04-09,29-009,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,18:08,2,0,0,
46,2021-04-11,29-011,ANA,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:06,3,0,0,
47,2021-04-15,29-015,CAR,NSH,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,14:48,3,0,0,
48,2021-04-17,29-017,CAR,NSH,W,1,0,1,1,2,1,0,0,1,0,0,0,4,25.0,19,14:23,4,0,0,
49,2021-04-19,29-019,CAR,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:15,4,0,0,
50,2021-04-20,29-020,CAR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,18:16,0,0,0,
51,2021-04-22,29-022,CAR,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:16,4,0,0,
52,2021-04-24,29-024,CAR,FLA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,15:44,6,0,0,
53,2021-04-26,29-026,CAR,DAL,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,16:25,2,0,0,
54,2021-04-27,29-027,CAR,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:12,3,0,0,
55,2021-04-29,29-029,CAR,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,16:21,5,0,0,
56,2021-05-01,29-031,CAR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,16:22,1,0,0,
57,2021-05-03,29-033,CAR,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,16:38,6,0,0,
58,2021-05-04,29-034,CAR,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,16:35,6,0,0,
59,2021-05-06,29-036,CAR,CHI,L-OT,0,1,1,0,0,0,0,0,0,0,0,1,0,,18,15:44,2,0,0,
60,2021-05-08,29-038,CAR,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,22:11,1,0,0,
61,2021-05-10,29-040,CAR,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,19:05,0,0,0,
62,2021-10-14,29-197,DAL,NYR,W,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,23,16:42,1,0,0,
63,2021-10-16,29-199,DAL,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,14:11,2,0,0,
64,2021-10-17,29-200,DAL,OTT,L,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,18,12:43,3,0,0,
65,2021-10-19,29-202,DAL,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,19:21,7,0,0,
66,2021-10-22,29-205,DAL,LAK,W,0,0,0,-1,17,0,0,0,0,0,0,0,0,,14,8:51,4,0,0,
67,2021-10-25,29-208,DAL,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,15:52,3,0,0,
68,2021-10-27,29-210,DAL,VEG,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,16:33,1,0,0,
69,2021-11-02,29-216,DAL,WPG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,14:05,2,0,0,
70,2021-11-04,29-218,DAL,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,15:59,0,0,0,
71,2021-11-07,29-221,DAL,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,14:36,2,0,0,
72,2021-11-10,29-224,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:16,3,0,0,
73,2021-11-13,29-227,DAL,PHI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,18,13:23,3,0,0,
74,2021-11-16,29-230,DAL,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,13:42,2,0,0,
75,2021-11-18,29-232,DAL,MIN,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,17,14:12,1,0,0,
76,2021-11-20,29-234,DAL,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,16:20,2,0,0,
77,2021-11-23,29-237,DAL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:29,0,0,0,
78,2021-11-26,29-240,DAL,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,15:12,3,0,0,
79,2021-11-27,29-241,DAL,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:27,4,0,0,
80,2021-11-30,29-244,DAL,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,17:15,2,0,0,
81,2021-12-02,29-246,DAL,CBJ,W,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,27,20:33,2,0,0,
