,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2010-11-29,21-000,MIN,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,14:42,0,0,0,
1,2010-12-01,21-002,MIN,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,12:46,1,0,0,
2,2010-12-03,21-004,MIN,CGY,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,14,10:16,0,0,0,
3,2010-12-04,21-005,MIN,DAL,L-OT,0,0,0,1,0,0,0,0,0,,,,0,,19,10:42,3,0,0,
4,2010-12-09,21-010,MIN,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,18,11:42,1,0,0,
5,2010-12-11,21-012,MIN,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,14,10:01,1,0,0,
6,2010-12-12,21-013,MIN,ANA,L,0,0,0,0,2,0,0,0,0,,,,0,,22,16:06,3,0,0,
7,2010-12-16,21-017,MIN,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,17,11:21,1,0,0,
8,2010-12-18,21-019,MIN,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,21,12:34,1,0,0,
9,2010-12-20,21-021,MIN,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,20,14:28,0,0,0,
10,2010-12-23,21-024,MIN,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,23,13:20,0,0,0,
11,2010-12-26,21-027,MIN,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,8:01,1,0,0,
12,2010-12-31,21-032,MIN,NSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,19,12:54,0,0,0,
13,2011-01-02,21-034,MIN,PHX,W,0,0,0,-1,0,0,0,0,0,,,,0,,24,14:55,0,0,0,
14,2011-01-04,21-036,MIN,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,23,15:36,0,0,0,
