,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-04-07,20-278,DAL,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,11:55,0,1,6,14.3
1,2016-12-08,21-157,DAL,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,10:08,0,3,7,30.0
2,2016-12-27,21-176,DAL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:55,1,1,2,33.3
3,2017-03-26,21-265,DAL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:46,0,0,0,
4,2017-03-28,21-267,DAL,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,14:06,0,0,0,
5,2017-03-30,21-269,DAL,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:47,0,0,0,
6,2017-04-01,21-271,DAL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:50,1,0,0,
7,2017-04-02,21-272,DAL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:59,1,0,0,
8,2017-04-04,21-274,DAL,ARI,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,13,11:12,1,0,0,
9,2017-04-06,21-276,DAL,NSH,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,11:45,2,0,0,
10,2017-04-08,21-278,DAL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:26,2,0,0,
11,2017-11-02,22-121,DAL,WPG,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,9:57,2,1,2,33.3
12,2017-11-04,22-123,DAL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:44,3,3,1,75.0
13,2017-11-06,22-125,DAL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:56,1,1,1,50.0
14,2017-11-14,22-133,DAL,FLA,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,0,,18,11:45,1,0,0,
15,2017-12-11,22-160,DAL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,7:30,0,2,2,50.0
16,2018-01-02,22-182,DAL,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:20,3,4,2,66.7
17,2018-01-04,22-184,DAL,NJD,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,8:26,2,0,0,
18,2018-01-23,22-203,DAL,FLA,W,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,11,7:52,2,3,7,30.0
19,2018-01-25,22-205,DAL,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:02,0,3,5,37.5
20,2018-01-30,22-210,DAL,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:00,2,4,3,57.1
21,2018-02-01,22-212,DAL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:24,1,2,3,40.0
22,2018-02-03,22-214,DAL,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,18,11:09,2,4,1,80.0
23,2018-02-09,22-220,DAL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,5:58,1,1,0,100.0
24,2018-03-01,22-240,DAL,TBL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,8:54,4,2,3,40.0
25,2018-03-03,22-242,DAL,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:42,2,4,5,44.4
26,2018-03-05,22-244,DAL,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:24,3,3,4,42.9
27,2018-03-06,22-245,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:52,2,3,4,42.9
28,2018-03-09,22-248,DAL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:31,0,1,2,33.3
29,2018-03-11,22-250,DAL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:33,2,5,2,71.4
30,2018-03-13,22-252,DAL,MTL,L,0,0,0,-1,7,0,0,0,0,0,0,0,0,,14,9:48,0,6,3,66.7
31,2018-03-14,22-253,DAL,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:46,2,2,4,33.3
32,2018-03-16,22-255,DAL,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:33,4,3,3,50.0
33,2018-03-18,22-257,DAL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:49,2,6,7,46.2
