,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-04-06,24-117,ANA,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,15:20,0,0,0,
1,2017-10-09,24-303,ANA,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:42,1,0,0,
2,2017-10-13,24-307,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:50,0,0,0,
3,2017-10-15,24-309,ANA,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:18,0,0,0,
4,2017-10-20,24-314,ANA,MTL,W,0,1,1,3,0,0,0,0,0,1,0,0,3,0.0,29,22:14,1,0,0,
5,2017-10-24,24-318,ANA,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:04,0,0,0,
6,2017-10-26,24-320,ANA,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,26,18:17,0,0,0,
7,2017-10-28,24-322,ANA,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,17:39,1,0,0,
8,2017-10-29,24-323,ANA,CAR,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,15:05,1,0,0,
9,2017-11-01,24-326,ANA,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:28,1,0,0,
10,2017-11-04,24-329,ANA,SJS,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,16:34,0,0,0,
11,2017-11-15,24-340,ANA,BOS,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,17:46,0,0,0,
12,2017-12-05,24-360,ANA,VEG,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:58,0,0,0,
13,2017-12-06,24-361,ANA,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:54,0,0,0,
14,2017-12-08,24-363,ANA,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12:10,1,0,0,
15,2019-02-05,26-057,ANA,MTL,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,14:22,0,0,0,
16,2019-02-07,26-059,ANA,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:20,1,0,0,
17,2019-02-09,26-061,ANA,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,4:47,0,0,0,
18,2019-02-13,26-065,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,11:51,0,0,0,
19,2019-02-15,26-067,ANA,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:07,1,0,0,
20,2019-02-17,26-069,ANA,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,16:14,0,0,0,
21,2019-02-19,26-071,ANA,MIN,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,15:23,2,0,0,
22,2019-02-22,26-074,ANA,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:00,0,0,0,
23,2019-02-23,26-075,ANA,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:57,0,0,0,
24,2019-02-25,26-077,ANA,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,17:55,0,0,0,
25,2019-02-27,26-079,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,13:18,0,0,0,
26,2019-03-01,26-081,ANA,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,12:56,2,0,0,
27,2019-03-03,26-083,ANA,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,14:39,2,0,0,
28,2019-03-05,26-085,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,19:12,2,0,0,
29,2019-03-06,26-086,ANA,STL,L,1,1,2,2,2,1,0,0,0,1,0,0,3,33.3,27,17:10,4,0,0,
30,2019-03-08,26-088,ANA,MTL,W,0,0,0,1,4,0,0,0,0,0,0,0,0,,22,15:39,2,0,0,
31,2019-03-10,26-090,ANA,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,14:42,1,0,0,
32,2019-03-12,26-092,ANA,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,13:20,4,0,0,
33,2019-03-14,26-094,ANA,ARI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,14:45,1,0,0,
34,2019-03-15,26-095,ANA,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,18,11:12,0,0,0,
35,2019-03-17,26-097,ANA,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:36,2,0,0,
36,2019-03-20,26-100,ANA,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:08,1,0,0,
37,2019-03-22,26-102,ANA,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,14:34,1,0,0,
38,2019-03-23,26-103,ANA,LAK,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,0,,24,14:15,2,0,0,
39,2019-03-26,26-106,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,16:01,1,0,0,
40,2019-03-29,26-109,ANA,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,28,18:26,0,0,0,
41,2019-04-03,26-114,ANA,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,18:41,3,0,0,
42,2019-04-05,26-116,ANA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,18:24,0,0,0,
43,2021-10-30,28-324,SJS,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,13:42,0,0,0,
44,2021-11-02,28-327,SJS,BUF,W,0,0,0,3,0,0,0,0,0,0,0,0,0,,27,23:58,2,0,0,
45,2021-11-04,28-329,SJS,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,16:11,2,0,0,
46,2021-11-06,28-331,SJS,NJD,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,12:54,1,0,0,
47,2021-11-09,28-334,SJS,CGY,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,25,15:19,1,0,0,
48,2021-11-11,28-336,SJS,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,16:43,1,0,0,
49,2022-01-04,29-025,SJS,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,31,20:11,3,0,0,
50,2022-01-06,29-027,SJS,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,16:24,0,0,0,
51,2022-01-08,29-029,SJS,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,15:34,1,0,0,
52,2022-01-11,29-032,SJS,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,19:42,0,0,0,
53,2022-01-13,29-034,SJS,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,17:06,0,0,0,
54,2022-01-15,29-036,SJS,PIT,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,19:01,3,0,0,
55,2022-01-17,29-038,SJS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,15:54,0,0,0,
56,2022-01-20,29-041,SJS,SEA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,19:27,3,0,0,
57,2022-01-22,29-043,SJS,TBL,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,25,18:33,1,0,0,
58,2022-01-26,29-047,SJS,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,18:30,2,0,0,
59,2022-01-29,29-050,SJS,FLA,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,33,22:52,4,0,0,
60,2022-01-30,29-051,SJS,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,24:37,2,0,0,
61,2022-02-01,29-053,SJS,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:09,4,0,0,
62,2022-03-10,29-090,SJS,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,16:28,2,0,0,
63,2022-03-12,29-092,SJS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,19:13,0,0,0,
64,2022-03-15,29-095,SJS,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,18:25,1,0,0,
65,2022-03-17,29-097,SJS,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,19:46,3,0,0,
66,2022-03-18,29-098,SJS,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,17:42,2,0,0,
67,2022-03-20,29-100,SJS,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,19:47,3,0,0,
68,2022-03-22,29-102,SJS,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,19:43,2,0,0,
69,2022-03-24,29-104,SJS,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,22:06,3,0,0,
70,2022-03-26,29-106,SJS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,19:41,0,0,0,
71,2022-03-30,29-110,SJS,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,21:39,1,0,0,
72,2022-03-31,29-111,SJS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,30,22:33,0,0,0,
73,2022-04-02,29-113,SJS,DAL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,28,19:08,2,0,0,
74,2022-04-05,29-116,SJS,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,21:23,2,0,0,
75,2022-04-07,29-118,SJS,CGY,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,18:38,3,0,0,
76,2022-04-09,29-120,SJS,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,18:28,0,0,0,
77,2022-04-12,29-123,SJS,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,22:17,3,0,0,
78,2022-04-14,29-125,SJS,CHI,L-SO,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,26,20:09,2,0,0,
79,2022-04-16,29-127,SJS,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,19:44,1,0,0,
