,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-11-29,20-200,COL,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,17,12:11,0,0,0,
1,2022-12-01,20-202,COL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:24,1,0,0,
2,2022-12-03,20-204,COL,BOS,L,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,22,12:02,0,0,3,0.0
3,2022-12-07,20-208,COL,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,11:37,0,0,0,
4,2022-12-09,20-210,COL,NYR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,14:00,0,0,0,
5,2022-12-11,20-212,COL,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,11:23,1,0,0,
6,2022-12-13,20-214,COL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:59,0,0,0,
7,2022-12-15,20-216,COL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:40,0,0,0,
8,2022-12-17,20-218,COL,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:00,0,0,0,
9,2024-03-06,21-298,COL,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,10:54,0,0,0,
10,2024-03-28,21-320,COL,NYR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,4:33,0,0,0,
11,2024-03-30,21-322,COL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:48,0,0,0,
12,2024-04-01,21-324,COL,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:30,0,0,0,
