,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-03,18-089,MTL,TOR,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,15:05,0,1,6,14.3
1,2018-10-06,18-092,MTL,PIT,W,0,0,0,2,4,0,0,0,0,0,0,0,3,0.0,20,14:10,1,6,3,66.7
2,2018-10-11,18-097,MTL,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,20,14:23,1,6,5,54.5
3,2018-10-13,18-099,MTL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,11:24,0,6,2,75.0
4,2018-10-15,18-101,MTL,DET,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,18,15:10,0,2,9,18.2
5,2018-10-17,18-103,MTL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:47,1,2,5,28.6
6,2018-10-20,18-106,MTL,OTT,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,14:58,1,3,6,33.3
7,2018-10-23,18-109,MTL,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,12:46,3,3,8,27.3
8,2018-10-25,18-111,MTL,BUF,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,13:38,1,4,5,44.4
9,2018-10-27,18-113,MTL,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,11:27,0,4,3,57.1
10,2018-10-30,18-116,MTL,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,15:14,1,5,7,41.7
11,2018-11-01,18-118,MTL,WSH,W,2,0,2,0,0,2,0,0,0,0,0,0,4,50.0,19,15:42,0,4,7,36.4
12,2018-11-03,18-120,MTL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,16:04,0,7,7,50.0
13,2018-11-05,18-122,MTL,NYI,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,20,13:07,0,2,6,25.0
