,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-13,23-140,NYR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:02,0,0,0,
1,2016-10-15,23-142,NYR,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:13,1,0,0,
2,2016-10-17,23-144,NYR,SJS,W,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,15,9:58,0,0,0,
3,2016-10-19,23-146,NYR,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,17:00,1,0,0,
4,2016-10-22,23-149,NYR,WSH,W,2,0,2,0,0,1,1,0,1,0,0,0,3,66.7,23,17:19,1,0,0,
5,2016-10-23,23-150,NYR,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:34,0,0,0,
6,2016-10-26,23-153,NYR,BOS,W,1,1,2,-1,0,1,0,0,0,0,1,0,2,50.0,22,17:39,0,0,0,
7,2016-10-28,23-155,NYR,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:52,1,0,0,
8,2016-10-30,23-157,NYR,TBL,W,1,0,1,2,2,1,0,0,0,0,0,0,3,33.3,21,13:22,2,0,0,
9,2016-11-01,23-159,NYR,STL,W,1,2,3,2,0,0,1,0,0,2,0,0,2,50.0,22,13:58,1,0,0,
10,2016-11-03,23-161,NYR,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:49,1,0,0,
11,2016-11-05,23-163,NYR,BOS,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,14:14,0,0,0,
12,2016-11-06,23-164,NYR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:20,1,0,0,
13,2016-11-08,23-166,NYR,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,14:38,0,0,0,
14,2016-11-12,23-170,NYR,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,15:29,0,0,0,
15,2016-11-13,23-171,NYR,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:18,1,0,0,
16,2016-11-15,23-173,NYR,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:28,1,0,0,
17,2016-11-18,23-176,NYR,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,16:31,0,0,0,
18,2016-11-20,23-178,NYR,FLA,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,17,13:37,1,0,0,
19,2016-11-21,23-179,NYR,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:15,3,0,0,
20,2016-11-23,23-181,NYR,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,18,13:57,1,0,0,
21,2016-11-25,23-183,NYR,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,11:59,1,0,1,0.0
