,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2006-11-22,22-134,SJS,LAK,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,18,16:26,,,,
1,2006-11-25,22-137,SJS,NJD,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,21,18:27,,,,
2,2006-11-28,22-140,SJS,STL,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,22,15:37,,,,
3,2006-11-29,22-141,SJS,MIN,W,1,0,1,1,0,0,1,0,0,,,,4,25.0,19,15:35,,,,
4,2006-12-02,22-144,SJS,DET,W,1,0,1,0,0,1,0,0,1,,,,4,25.0,18,15:07,,,,
5,2006-12-04,22-146,SJS,DAL,L,0,0,0,0,0,0,0,0,0,,,,5,0.0,20,18:32,,,,
6,2006-12-07,22-149,SJS,COL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,14:10,,,,
7,2006-12-09,22-151,SJS,NSH,W,0,1,1,1,2,0,0,0,0,,,,0,,17,14:29,,,,
8,2006-12-11,22-153,SJS,PHX,W,1,0,1,1,0,0,1,0,0,,,,7,14.3,17,16:23,,,,
9,2006-12-12,22-154,SJS,LAK,W,2,0,2,1,2,1,1,0,1,,,,6,33.3,22,19:35,,,,
10,2006-12-14,22-156,SJS,LAK,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,21,20:55,,,,
11,2006-12-16,22-158,SJS,ANA,W,0,2,2,1,2,0,0,0,0,,,,2,0.0,19,14:09,,,,
12,2006-12-21,22-163,SJS,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,17:29,,,,
13,2006-12-23,22-165,SJS,CGY,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,18,15:08,,,,
14,2006-12-26,22-168,SJS,ANA,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,16,11:36,,,,
15,2006-12-28,22-170,SJS,PHX,L,0,1,1,1,2,0,0,0,0,,,,2,0.0,22,17:48,,,,
16,2006-12-30,22-172,SJS,PHX,L,0,0,0,0,0,0,0,0,0,,,,7,0.0,20,17:23,,,,
17,2006-12-31,22-173,SJS,DAL,W,1,0,1,0,2,1,0,0,0,,,,5,20.0,27,19:00,,,,
18,2007-01-04,22-177,SJS,DET,W,1,1,2,-1,0,0,1,0,1,,,,1,100.0,22,16:09,,,,
19,2007-01-06,22-179,SJS,CBJ,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,14:57,,,,
20,2007-01-10,22-183,SJS,EDM,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,18,12:18,,,,
21,2007-01-11,22-184,SJS,LAK,W,0,2,2,1,0,0,0,0,0,,,,2,0.0,19,14:40,,,,
22,2007-01-13,22-186,SJS,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,17,11:27,,,,
23,2007-01-15,22-188,SJS,COL,W,0,0,0,0,2,0,0,0,0,,,,4,0.0,21,17:08,,,,
24,2007-01-18,22-191,SJS,PHX,W,0,0,0,1,0,0,0,0,0,,,,0,,20,15:45,,,,
25,2007-01-20,22-193,SJS,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:19,,,,
26,2007-01-26,22-199,SJS,EDM,W,0,0,0,1,0,0,0,0,0,,,,0,,16,15:05,,,,
27,2007-01-28,22-201,SJS,VAN,L,1,0,1,-1,4,1,0,0,0,,,,2,50.0,19,14:18,,,,
28,2007-01-30,22-203,SJS,DAL,L-SO,1,0,1,1,0,1,0,0,0,,,,3,33.3,24,16:36,,,,
29,2007-02-21,22-225,SJS,WSH,W,0,1,1,0,0,0,0,0,0,,,,6,0.0,24,19:09,,,,
30,2007-02-22,22-226,SJS,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:19,,,,
31,2007-02-24,22-228,SJS,CGY,L,1,0,1,-1,0,1,0,0,0,,,,3,33.3,20,14:33,,,,
32,2007-02-26,22-230,SJS,ANA,L,0,0,0,-3,0,0,0,0,0,,,,6,0.0,18,15:55,,,,
33,2007-02-28,22-232,SJS,NSH,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,12:33,,,,
34,2007-03-02,22-234,SJS,ANA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,13:45,,,,
35,2007-03-04,22-236,SJS,DAL,W,2,0,2,2,0,2,0,0,0,,,,3,66.7,18,14:17,,,,
36,2007-03-06,22-238,SJS,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,22,17:28,,,,
37,2007-03-09,22-241,SJS,VAN,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,15:33,,,,
38,2007-03-11,22-243,SJS,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,14:01,,,,
39,2007-03-16,22-248,SJS,CBJ,W,0,1,1,1,0,0,0,0,0,,,,0,,11,8:13,,,,
40,2007-03-22,22-254,SJS,ATL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,12:45,,,,
