,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-12-23,21-206,BUF,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:47,4,0,0,
1,2015-12-18,22-201,WPG,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:54,2,0,0,
2,2015-12-21,22-204,WPG,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,7:05,2,0,0,
3,2015-12-22,22-205,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:50,0,0,0,
4,2015-12-27,22-210,WPG,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:31,1,0,0,
5,2015-12-29,22-212,WPG,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,5:40,0,0,0,
6,2015-12-31,22-214,WPG,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,8:43,1,0,0,
7,2016-01-02,22-216,WPG,SJS,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,13,8:04,1,0,0,
8,2016-01-03,22-217,WPG,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:05,0,0,0,
9,2016-01-05,22-219,WPG,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:09,0,0,0,
10,2016-01-07,22-221,WPG,DAL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:00,1,0,0,
11,2016-01-10,22-224,WPG,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7:09,2,0,0,
12,2016-01-12,22-226,WPG,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:38,1,0,0,
13,2016-01-14,22-228,WPG,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,8:49,0,0,0,
14,2016-01-15,22-229,WPG,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,23,17:15,1,0,0,
15,2016-01-18,22-232,WPG,COL,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,15:29,3,0,0,
16,2016-01-21,22-235,WPG,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,18:06,0,0,1,0.0
17,2016-01-23,22-237,WPG,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:21,5,0,0,
