,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-01-03,23-286,DAL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,8:37,0,0,0,
1,2020-01-08,23-291,DAL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:39,2,0,0,
2,2020-01-09,23-292,DAL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:18,1,0,0,
3,2020-01-11,23-294,DAL,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:31,0,0,0,
4,2020-01-14,23-297,DAL,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:51,8,0,0,
5,2020-01-16,23-299,DAL,BUF,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,9:51,1,0,0,
6,2020-01-18,23-301,DAL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,14:13,0,0,0,
7,2020-02-01,23-315,DAL,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,20,11:25,1,0,0,
8,2020-02-08,23-322,DAL,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,11:15,2,0,0,
9,2020-02-11,23-325,DAL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,10:24,0,0,0,
10,2020-02-13,23-327,DAL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:02,2,0,0,
11,2021-01-22,24-305,DAL,NSH,W,1,1,2,2,0,0,1,0,0,1,0,0,2,50.0,18,11:55,1,0,0,
12,2021-02-09,24-323,DAL,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,17:33,3,0,0,
13,2021-02-11,24-325,DAL,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:52,2,0,0,
14,2021-02-13,24-327,DAL,CAR,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,10:10,0,0,0,
15,2021-02-22,24-336,DAL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:14,1,0,0,
16,2021-02-24,24-338,DAL,FLA,W,1,0,1,3,2,1,0,0,0,0,0,0,2,50.0,25,13:46,3,0,0,
17,2021-02-25,24-339,DAL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,15:45,1,0,0,
18,2021-02-27,24-341,DAL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:28,1,0,0,
19,2021-03-04,24-346,DAL,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,12:45,2,0,0,
20,2021-03-06,24-348,DAL,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,11:12,2,0,1,0.0
21,2021-03-07,24-349,DAL,NSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:26,0,0,0,
22,2021-03-09,24-351,DAL,CHI,W,1,1,2,3,0,1,0,0,0,1,0,0,2,50.0,19,10:51,1,0,0,
23,2021-03-11,24-353,DAL,CHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,16,11:22,2,0,2,0.0
24,2021-03-13,24-355,DAL,CBJ,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,12:27,1,1,1,50.0
25,2021-03-14,24-356,DAL,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,11:45,1,0,0,
26,2021-03-16,24-358,DAL,TBL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:50,0,0,0,
27,2021-03-18,24-360,DAL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:43,3,0,0,
28,2021-03-20,24-362,DAL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:43,1,0,0,
29,2021-03-21,24-363,DAL,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:22,1,0,0,
30,2021-04-29,25-037,DAL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:37,0,0,1,0.0
31,2021-05-01,25-039,DAL,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:13,0,0,0,
32,2021-05-03,25-041,DAL,FLA,L-OT,1,0,1,-2,0,1,0,0,0,0,0,0,4,25.0,17,12:22,1,0,1,0.0
33,2021-05-05,25-043,DAL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,11:26,1,0,0,
34,2021-05-07,25-045,DAL,TBL,W,1,1,2,3,0,1,0,0,0,1,0,0,1,100.0,21,13:07,1,0,0,
35,2021-05-09,25-047,DAL,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,11:00,4,0,0,
36,2021-05-10,25-048,DAL,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,20,13:37,7,0,0,
37,2021-10-14,25-205,DAL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:29,3,0,0,
38,2021-10-16,25-207,DAL,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,9:27,4,0,0,
39,2021-10-17,25-208,DAL,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:36,8,0,0,
40,2021-10-19,25-210,DAL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:39,3,0,0,
41,2021-10-22,25-213,DAL,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,6,3:50,2,0,0,
42,2021-10-25,25-216,DAL,CBJ,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,7:36,0,0,0,
43,2021-10-27,25-218,DAL,VEG,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,11:45,1,0,0,
44,2021-10-29,25-220,DAL,OTT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,18,10:51,1,0,0,
45,2021-11-02,25-224,DAL,WPG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,9:44,2,0,0,
46,2021-11-04,25-226,DAL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:34,2,0,1,0.0
47,2021-11-07,25-229,DAL,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,17,10:40,3,0,0,
48,2021-11-10,25-232,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:49,4,0,0,
49,2021-11-18,25-240,DAL,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,10:23,1,0,0,
50,2021-11-20,25-242,DAL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:49,1,0,0,
51,2021-11-23,25-245,DAL,EDM,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,9:52,0,0,0,
52,2021-11-26,25-248,DAL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:11,1,0,0,
53,2021-11-27,25-249,DAL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:07,2,0,0,
54,2021-11-30,25-252,DAL,CAR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,10:04,2,0,0,
55,2021-12-02,25-254,DAL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:45,1,0,0,
56,2021-12-06,25-258,DAL,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,9:40,2,0,0,
57,2021-12-08,25-260,DAL,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:52,0,0,1,0.0
58,2021-12-11,25-263,DAL,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,5:52,0,0,0,
59,2022-01-06,25-289,DAL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,7:18,1,0,0,
60,2022-01-08,25-291,DAL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:51,2,0,0,
61,2022-01-09,25-292,DAL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:40,0,0,0,
62,2022-01-12,25-295,DAL,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:11,1,0,0,
63,2022-01-14,25-297,DAL,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,19,12:33,6,0,0,
64,2022-01-15,25-298,DAL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,14:17,2,0,0,
65,2022-01-18,25-301,DAL,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4:45,0,0,0,
66,2022-01-20,25-303,DAL,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,6:19,1,0,0,
67,2022-01-21,25-304,DAL,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,11:58,2,0,0,
68,2022-01-24,25-307,DAL,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,17,12:52,4,0,0,
69,2022-01-25,25-308,DAL,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,13:01,2,0,0,
70,2022-01-28,25-311,DAL,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,11:29,1,0,0,
71,2022-01-30,25-313,DAL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:47,2,0,0,
72,2022-02-09,25-323,DAL,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:20,1,0,0,
73,2022-02-11,25-325,DAL,WPG,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,10:41,2,0,0,
74,2022-02-13,25-327,DAL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:44,1,0,0,
75,2022-02-15,25-329,DAL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,11:42,1,0,0,
76,2022-02-18,25-332,DAL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:36,2,0,0,
77,2022-02-20,25-334,DAL,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:15,2,0,1,0.0
78,2022-02-23,25-337,DAL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:37,0,0,0,
79,2022-03-02,25-344,DAL,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,13,9:23,3,0,0,
80,2022-03-04,25-346,DAL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:55,2,0,0,
81,2022-03-06,25-348,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:05,1,0,0,
82,2022-03-08,25-350,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:20,1,0,0,
