,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-14,22-160,SJS,ARI,W,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,20,13:14,0,0,0,
1,2021-01-16,22-162,SJS,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,15:20,1,0,0,
2,2021-01-18,22-164,SJS,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,19,12:46,0,0,0,
3,2021-01-20,22-166,SJS,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:51,0,0,0,
4,2021-01-22,22-168,SJS,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:49,0,0,0,
5,2021-01-24,22-170,SJS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:29,0,0,0,
6,2021-01-26,22-172,SJS,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,12:00,0,0,0,
7,2021-02-11,22-188,SJS,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:27,1,0,0,
8,2021-02-15,22-192,SJS,ANA,W,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,15,12:22,0,0,0,
9,2021-02-18,22-195,SJS,STL,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,16:03,0,0,0,
10,2021-02-20,22-197,SJS,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:27,1,0,0,
11,2021-02-22,22-199,SJS,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,13:07,1,0,0,
12,2021-02-27,22-204,SJS,STL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,13:21,0,0,0,
13,2021-03-01,22-206,SJS,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,13:49,1,0,0,
14,2021-03-03,22-208,SJS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,10:39,0,0,0,
15,2021-03-05,22-210,SJS,VEG,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,11:19,2,0,1,0.0
16,2021-03-06,22-211,SJS,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,13:28,0,0,0,
17,2021-03-08,22-213,SJS,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:53,0,0,0,
18,2021-03-12,22-217,SJS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:56,0,0,0,
19,2021-03-13,22-218,SJS,ANA,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,15,10:55,0,0,0,
20,2021-03-17,22-222,SJS,VEG,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,18,10:50,0,0,0,
21,2021-03-19,22-224,SJS,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,10:31,0,0,0,
22,2021-03-20,22-225,SJS,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:51,0,0,0,
23,2021-03-22,22-227,SJS,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,8:12,1,0,0,
24,2021-03-24,22-229,SJS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:51,1,0,0,
25,2021-03-26,22-231,SJS,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:57,3,0,0,
26,2021-03-27,22-232,SJS,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,11:04,1,0,0,
27,2021-03-29,22-234,SJS,MIN,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,18,14:06,1,0,0,
28,2021-03-31,22-236,SJS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:06,0,0,0,
29,2021-04-02,22-238,SJS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,10:18,1,0,0,
30,2021-04-03,22-239,SJS,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,14,10:05,1,0,0,
31,2021-04-06,22-242,SJS,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,12:24,0,0,0,
32,2021-04-09,22-245,SJS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:00,2,0,0,
33,2021-04-10,22-246,SJS,LAK,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,17,9:42,1,0,0,
34,2021-04-12,22-248,SJS,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:51,1,0,0,
35,2021-04-14,22-250,SJS,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,10,6:47,1,0,0,
36,2021-04-19,22-255,SJS,VEG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,6:36,0,0,0,
37,2021-04-21,22-257,SJS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:10,0,0,0,
38,2021-04-24,22-260,SJS,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:52,0,0,0,
39,2021-04-26,22-262,SJS,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:00,2,0,0,
40,2021-04-28,22-264,SJS,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,19,14:43,1,0,0,
41,2021-05-01,22-267,SJS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,8:50,1,0,0,
42,2021-05-03,22-269,SJS,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:06,0,0,0,
43,2021-05-07,22-273,SJS,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:44,0,0,0,
44,2021-10-30,23-084,SJS,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:06,1,0,0,
45,2021-11-02,23-087,SJS,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,9:54,0,0,0,
46,2021-11-06,23-091,SJS,NJD,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:30,0,0,0,
47,2021-11-09,23-094,SJS,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,11:30,1,0,0,
48,2021-11-11,23-096,SJS,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:05,1,0,0,
49,2022-03-15,23-220,SJS,FLA,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:45,0,0,0,
50,2022-03-17,23-222,SJS,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:20,4,0,0,
51,2022-03-22,23-227,SJS,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:40,0,0,0,
52,2022-03-24,23-229,SJS,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:49,2,0,1,0.0
53,2022-03-26,23-231,SJS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,13:41,0,0,0,
54,2022-03-30,23-235,SJS,ARI,L,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,19,13:54,2,0,0,
55,2022-03-31,23-236,SJS,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,10:20,0,0,0,
56,2022-04-02,23-238,SJS,DAL,L,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,17,10:46,2,1,0,100.0
57,2022-04-05,23-241,SJS,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:35,0,0,0,
58,2023-03-02,24-207,NSH,FLA,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,19,14:37,1,0,0,
59,2023-03-04,24-209,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:38,0,0,0,
60,2023-03-06,24-211,NSH,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:23,0,0,0,
61,2023-03-09,24-214,NSH,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:25,1,0,0,
62,2023-04-03,24-239,NSH,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,9:28,0,0,0,
63,2023-04-04,24-240,NSH,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:43,2,0,0,
64,2024-03-12,25-218,ARI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,5:22,0,0,0,
65,2024-03-14,25-220,ARI,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,6:32,0,0,0,
66,2024-03-16,25-222,ARI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:08,0,0,0,
67,2024-03-20,25-226,ARI,DAL,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,15,10:19,1,0,0,
68,2024-03-22,25-228,ARI,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:54,0,0,0,
69,2024-03-24,25-230,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:57,0,0,0,
