,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-01-27,24-199,WPG,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:21,0,0,0,
1,2022-01-29,24-201,WPG,STL,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,16,11:41,0,0,0,
2,2022-02-01,24-204,WPG,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,12:12,0,0,0,
3,2022-02-08,24-211,WPG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:01,0,0,0,
4,2022-10-12,25-092,MTL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,19:06,6,0,0,
5,2022-10-14,25-094,MTL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,18:32,0,0,0,
6,2022-10-15,25-095,MTL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,16:11,2,0,0,
7,2022-10-17,25-097,MTL,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,18:11,2,0,0,
8,2022-10-20,25-100,MTL,ARI,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,23,17:35,0,0,0,
9,2022-10-22,25-102,MTL,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,21,16:56,3,0,0,
10,2022-10-25,25-105,MTL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:21,0,0,0,
11,2022-10-27,25-107,MTL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:46,0,0,0,
12,2022-10-29,25-109,MTL,STL,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,22,17:53,2,0,0,
13,2022-11-01,25-112,MTL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,20:32,0,0,0,
