,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-14,22-197,VEG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:30,0,0,1,0.0
1,2021-10-29,22-212,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,8:35,0,0,0,
2,2021-11-04,22-218,VEG,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,12:38,3,0,0,
3,2021-11-06,22-220,VEG,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:23,0,0,0,
4,2021-11-07,22-221,VEG,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:28,0,0,0,
5,2021-11-09,22-223,VEG,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:17,0,0,0,
6,2021-11-11,22-225,VEG,MIN,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,14,7:57,0,0,0,
7,2021-11-13,22-227,VEG,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,8:52,1,0,0,
8,2021-11-16,22-230,VEG,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,9:26,0,0,0,
9,2021-11-18,22-232,VEG,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:29,1,0,0,
10,2021-11-20,22-234,VEG,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:15,0,0,0,
11,2021-11-22,22-236,VEG,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:44,0,0,0,
12,2021-11-24,22-238,VEG,NSH,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,18,13:03,0,0,1,0.0
13,2022-01-11,22-286,VEG,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:00,1,0,0,
14,2022-01-24,22-299,VEG,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:50,1,0,0,
15,2022-02-26,22-332,VEG,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,9:13,1,0,0,
16,2022-03-01,22-335,VEG,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,15,10:36,0,0,0,
17,2022-03-03,22-337,VEG,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,14,8:43,0,0,0,
18,2022-03-04,22-338,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:18,1,0,0,
19,2022-03-10,22-344,VEG,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:58,0,0,0,
20,2022-03-11,22-345,VEG,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:16,0,0,0,
21,2022-03-13,22-347,VEG,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:10,0,0,0,
22,2022-03-15,22-349,VEG,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:42,1,0,0,
23,2022-03-21,22-355,VEG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:05,0,0,0,
24,2022-03-26,22-360,VEG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:00,2,0,0,
25,2022-03-30,22-364,VEG,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,12:08,0,0,0,
26,2022-04-01,23-001,VEG,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:20,0,0,0,
27,2022-04-03,23-003,VEG,VAN,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,11,7:15,0,0,0,
28,2022-04-06,23-006,VEG,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:24,0,0,0,
29,2022-04-09,23-009,VEG,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,15,10:47,1,0,0,
30,2022-12-07,23-251,VEG,NYR,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,12,7:54,0,0,0,
31,2022-12-17,23-261,VEG,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,12:18,0,0,0,
32,2022-12-19,23-263,VEG,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:34,0,0,0,
33,2022-12-21,23-265,VEG,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,10:46,0,1,1,50.0
34,2022-12-23,23-267,VEG,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:06,0,0,0,
35,2022-12-27,23-271,VEG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:37,0,0,0,
36,2022-12-28,23-272,VEG,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:51,0,0,0,
37,2022-12-31,23-275,VEG,NSH,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,11:18,0,0,1,0.0
38,2023-01-02,23-277,VEG,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:04,0,0,0,
39,2023-01-16,23-291,VEG,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:40,0,0,0,
40,2023-01-19,23-294,VEG,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,8:59,0,0,0,
41,2023-01-21,23-296,VEG,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,11:53,1,0,0,
42,2023-01-22,23-297,VEG,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,10:13,1,0,0,
43,2023-10-12,24-195,VEG,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,11:09,0,0,0,
44,2023-10-14,24-197,VEG,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,16,11:32,0,0,0,
45,2023-11-02,24-216,VEG,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:20,0,0,0,
46,2023-11-08,24-222,VEG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:08,0,0,0,
47,2023-11-10,24-224,VEG,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,18,12:51,0,0,0,
48,2023-11-14,24-228,VEG,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:38,0,0,0,
49,2024-01-11,24-286,VEG,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:46,0,0,0,
50,2024-01-13,24-288,VEG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:08,1,0,0,
51,2024-01-15,24-290,VEG,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,11:18,1,0,1,0.0
52,2024-01-20,24-295,VEG,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:53,0,0,0,
53,2024-01-22,24-297,VEG,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:54,0,0,0,
54,2024-01-23,24-298,VEG,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:14,0,0,0,
55,2024-01-26,24-301,VEG,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:53,0,0,0,
56,2024-01-27,24-302,VEG,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:15,0,0,0,
