,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-11-10,22-117,DET,NYR,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,14:18,3,0,0,
1,2022-11-12,22-119,DET,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,15:32,0,0,0,
2,2022-11-15,22-122,DET,ANA,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,10,8:36,0,0,0,
3,2022-11-17,22-124,DET,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,16,13:12,0,0,0,
4,2022-11-19,22-126,DET,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:06,0,0,0,
5,2022-11-23,22-130,DET,NSH,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,13,9:46,0,0,0,
6,2022-11-25,22-132,DET,ARI,W,0,1,1,0,2,0,0,0,0,0,1,0,0,,15,12:18,0,0,0,
7,2022-11-28,22-135,DET,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,16,13:45,1,0,0,
8,2022-11-30,22-137,DET,BUF,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,15,10:48,0,0,0,
9,2022-12-03,22-140,DET,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,14:23,0,0,0,
10,2022-12-04,22-141,DET,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,13:47,0,0,0,
11,2022-12-06,22-143,DET,TBL,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,16,12:56,1,0,0,
12,2022-12-08,22-145,DET,FLA,L,1,0,1,-2,0,0,1,0,0,0,0,0,4,25.0,20,14:24,0,1,0,100.0
13,2022-12-10,22-147,DET,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,12:33,0,0,0,
14,2022-12-13,22-150,DET,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:51,0,0,0,
