,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-20,19-206,TBL,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,16:10,0,0,0,
1,2014-10-21,19-207,TBL,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,19:57,0,0,0,
2,2014-10-24,19-210,TBL,WPG,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,21,18:57,0,0,0,
3,2014-10-25,19-211,TBL,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,19:10,0,0,0,
4,2014-10-28,19-214,TBL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:50,1,0,0,
5,2014-10-30,19-216,TBL,PHI,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,14,9:58,1,0,0,
6,2014-11-01,19-218,TBL,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:24,1,0,0,
7,2014-11-06,19-223,TBL,CGY,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,18,10:58,1,0,0,
8,2014-11-08,19-225,TBL,CBJ,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,16,11:54,0,0,0,
9,2014-11-09,19-226,TBL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:08,0,1,0,100.0
10,2014-11-11,19-228,TBL,CHI,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,11:28,2,1,0,100.0
11,2014-11-13,19-230,TBL,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,14:19,0,0,0,
12,2014-11-17,19-234,TBL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:18,2,1,0,100.0
13,2014-11-18,19-235,TBL,NYI,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,14,10:28,0,1,0,100.0
14,2014-11-20,19-237,TBL,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,11:28,2,0,2,0.0
15,2014-11-22,19-239,TBL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:37,1,0,0,
16,2014-11-29,19-246,TBL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:14,2,0,0,
17,2014-12-01,19-248,TBL,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,10:19,0,0,0,
18,2014-12-04,19-251,TBL,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,12:34,0,0,0,
19,2014-12-06,19-253,TBL,CBJ,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,14,10:31,1,0,0,
20,2014-12-11,19-258,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:51,0,0,0,
21,2014-12-13,19-260,TBL,WSH,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,16,10:55,1,0,0,
22,2014-12-15,19-262,TBL,PIT,L,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,20,14:50,0,0,0,
23,2014-12-16,19-263,TBL,PHI,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,20,17:28,0,0,1,0.0
24,2014-12-19,19-266,TBL,NJD,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,23,21:15,1,0,3,0.0
25,2014-12-20,19-267,TBL,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:19,1,0,0,
26,2014-12-23,19-270,TBL,PIT,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,13:04,1,0,2,0.0
27,2014-12-29,19-276,TBL,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,11:43,0,0,0,
28,2014-12-31,19-278,TBL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,14:08,0,0,0,
29,2015-01-02,19-280,TBL,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:54,4,0,0,
30,2015-01-04,19-282,TBL,OTT,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,17,12:59,0,0,1,0.0
31,2015-01-06,19-284,TBL,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,16,11:28,1,0,0,
32,2015-01-09,19-287,TBL,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,15:06,0,0,0,
33,2015-01-12,19-290,TBL,PHI,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,22,15:56,1,0,0,
34,2015-01-13,19-291,TBL,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,12:34,0,0,0,
35,2015-01-17,19-295,TBL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,12:17,1,0,0,
36,2015-01-20,19-298,TBL,VAN,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,15,10:22,1,0,0,
37,2015-01-27,19-305,TBL,CAR,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,16:19,1,0,0,
38,2015-01-29,19-307,TBL,DET,W,0,2,2,2,0,0,0,0,0,1,1,0,2,0.0,19,16:49,1,0,0,
39,2015-01-31,19-309,TBL,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,13:29,0,0,0,
40,2015-02-03,19-312,TBL,STL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,15:42,1,0,1,0.0
41,2015-02-05,19-314,TBL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:57,0,0,0,
