,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-11-03,21-273,NJD,MIN,L,0,0,0,0,0,0,0,0,0,,,,0,,3,1:16,0,,,
1,2013-11-25,21-295,NJD,WPG,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,15:17,0,0,0,
2,2013-11-27,21-297,NJD,CAR,L,0,0,0,-2,0,0,0,0,0,,,,0,,23,19:44,2,0,0,
3,2013-11-29,21-299,NJD,CAR,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,23,16:25,1,0,0,
4,2013-11-30,21-300,NJD,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,25,21:48,0,0,0,
5,2013-12-02,21-302,NJD,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,28,18:26,2,0,0,
6,2013-12-04,21-304,NJD,MTL,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,24,20:58,0,0,0,
7,2013-12-06,21-306,NJD,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,20:38,2,0,0,
8,2013-12-07,21-307,NJD,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,25,20:31,1,0,0,
9,2013-12-10,21-310,NJD,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,20:34,1,0,0,
10,2013-12-13,21-313,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,18:45,0,0,0,
11,2013-12-14,21-314,NJD,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,17:01,0,0,0,
12,2013-12-18,21-318,NJD,OTT,W,0,0,0,2,0,0,0,0,0,,,,4,0.0,25,20:56,0,0,0,
13,2013-12-20,21-320,NJD,ANA,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,17:05,1,0,0,
14,2013-12-21,21-321,NJD,WSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,29,23:20,0,0,0,
15,2013-12-23,21-323,NJD,CHI,L,0,1,1,0,0,0,0,0,0,,,,0,,25,18:34,1,0,0,
