,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2024-03-26,22-054,ARI,CBJ,W,2,0,2,2,0,2,0,0,1,0,0,0,6,33.3,19,13:15,1,0,0,
1,2024-03-28,22-056,ARI,NSH,W,0,2,2,2,0,0,0,0,0,2,0,0,5,0.0,23,14:29,0,0,0,
2,2024-03-30,22-058,ARI,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,12:42,0,0,0,
3,2024-04-03,22-062,ARI,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:38,0,0,1,0.0
4,2024-04-05,22-064,ARI,VEG,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,17,11:25,2,1,0,100.0
5,2024-04-07,22-066,ARI,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:47,0,1,0,100.0
6,2024-04-09,22-068,ARI,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:57,1,1,0,100.0
7,2024-04-10,22-069,ARI,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:53,1,0,0,
8,2024-04-12,22-071,ARI,EDM,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,20,14:20,0,0,0,
9,2024-04-14,22-073,ARI,CGY,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,16,10:30,1,0,0,
10,2024-04-17,22-076,ARI,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,12:28,1,2,6,25.0
