,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-11-18,20-197,ANA,COL,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,31,19:40,0,0,0,
1,2018-11-21,20-200,ANA,VAN,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,24,17:03,0,0,0,
2,2018-11-23,20-202,ANA,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,18:36,1,0,0,
3,2018-12-05,20-214,ANA,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,12:41,0,0,0,
4,2018-12-07,20-216,ANA,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:48,3,0,0,
5,2018-12-09,20-218,ANA,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:15,0,0,0,
6,2018-12-12,20-221,ANA,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,14:05,0,0,0,
7,2018-12-15,20-224,ANA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:24,0,0,0,
8,2018-12-17,20-226,ANA,PIT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,11:41,0,0,0,
9,2018-12-18,20-227,ANA,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:36,0,0,0,
10,2018-12-20,20-229,ANA,BOS,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,25,16:46,0,0,0,
11,2018-12-22,20-231,ANA,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:02,0,0,0,
12,2018-12-27,20-236,ANA,SJS,L,0,1,1,-2,0,0,0,0,0,0,1,0,0,,19,16:06,0,0,0,
13,2018-12-29,20-238,ANA,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:43,1,0,0,
14,2018-12-31,20-240,ANA,TBL,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,16,11:35,0,0,0,
15,2019-01-04,20-244,ANA,VEG,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,15,11:31,0,0,0,
16,2019-01-06,20-246,ANA,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:38,1,0,0,
17,2019-10-29,21-177,ANA,WPG,W,0,3,3,1,0,0,0,0,0,3,0,0,1,0.0,22,16:53,0,0,0,
18,2019-11-01,21-180,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:18,1,0,0,
19,2019-11-03,21-182,ANA,CHI,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,18:07,0,0,0,
20,2019-11-10,21-189,ANA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,21:18,0,0,0,
21,2019-11-12,21-191,ANA,DET,L-OT,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,25,17:48,0,0,0,
22,2019-11-14,21-193,ANA,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:59,0,0,0,
23,2019-11-16,21-195,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,11:24,0,0,0,
24,2019-11-21,21-200,ANA,FLA,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,29,17:46,0,0,0,
25,2019-12-08,21-217,ANA,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,15:29,0,0,0,
26,2019-12-12,21-221,ANA,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,14:31,1,0,0,
27,2019-12-14,21-223,ANA,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:57,0,0,0,
28,2021-02-20,22-291,ANA,MIN,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,16:14,2,0,0,
29,2021-02-22,22-293,ANA,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:17,0,0,0,
30,2021-02-24,22-295,ANA,ARI,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,13:29,1,0,0,
31,2021-03-01,22-300,ANA,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,17:40,1,0,0,
32,2021-03-03,22-302,ANA,STL,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,22,19:47,2,0,0,
33,2021-03-05,22-304,ANA,COL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,12:26,0,0,0,
34,2021-03-06,22-305,ANA,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,15:38,1,0,0,
35,2021-03-10,22-309,ANA,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:28,1,0,0,
36,2021-03-12,22-311,ANA,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,19:36,1,0,0,
37,2021-03-13,22-312,ANA,SJS,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,12:59,0,0,0,
38,2021-03-16,22-315,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:06,1,0,0,
39,2021-05-03,22-363,ANA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:41,0,0,0,
40,2021-05-08,23-003,ANA,MIN,L-OT,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,21,16:19,0,0,0,
41,2021-10-18,23-166,ANA,CGY,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,17:20,2,0,0,
42,2021-10-19,23-167,ANA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:57,8,0,0,
43,2021-10-21,23-169,ANA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:33,2,0,0,
44,2021-10-23,23-171,ANA,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:05,0,0,0,
45,2021-11-02,23-181,ANA,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,13:31,0,0,0,
46,2021-11-05,23-184,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:40,0,0,0,
47,2021-11-11,23-190,ANA,SEA,W,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,21,15:59,1,0,0,
48,2021-11-18,23-197,ANA,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:37,3,0,0,
49,2021-11-22,23-201,ANA,NSH,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,19,12:50,0,0,0,
50,2021-12-01,23-210,ANA,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:09,3,0,0,
51,2021-12-07,23-216,ANA,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,13:38,1,0,0,
52,2021-12-11,23-220,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:10,3,0,0,
53,2022-01-21,23-261,ANA,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:42,2,0,0,
54,2022-01-24,23-264,ANA,BOS,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,15,10:00,1,0,0,
55,2022-01-31,23-271,ANA,DET,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,21:42,0,0,0,
56,2022-02-11,23-282,ANA,SEA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,14:48,0,0,0,
57,2022-02-17,23-288,ANA,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,8:43,3,0,0,
58,2022-02-19,23-290,ANA,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,14:39,2,0,0,
59,2022-02-22,23-293,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:43,1,0,0,
60,2022-02-25,23-296,ANA,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,12:30,3,0,0,
61,2022-02-27,23-298,ANA,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:39,1,0,0,
62,2022-03-06,23-305,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:32,1,0,0,
63,2022-03-08,23-307,ANA,CHI,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,11:39,4,0,0,
64,2022-03-10,23-309,ANA,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,13:22,2,0,0,
65,2022-03-12,23-311,ANA,NJD,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:50,0,0,0,
66,2022-03-18,23-317,ANA,FLA,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,19,14:09,2,0,0,
67,2022-03-21,23-320,ANA,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:54,1,0,0,
