,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-31,23-024,ANA,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,12:30,1,0,0,
1,2014-11-02,23-026,ANA,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,18:23,0,0,0,
2,2014-11-05,23-029,ANA,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:16,2,0,0,
3,2014-11-09,23-033,ANA,VAN,L-SO,0,0,0,-1,9,0,0,0,0,0,0,0,1,0.0,29,21:05,2,0,0,
4,2014-11-12,23-036,ANA,LAK,W,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,25,21:14,2,0,0,
5,2014-11-15,23-039,ANA,LAK,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,19:00,4,0,0,
6,2014-11-16,23-040,ANA,FLA,L,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,26,19:50,2,0,0,
7,2014-11-18,23-042,ANA,CGY,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,23:48,0,0,0,
8,2014-11-20,23-044,ANA,VAN,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,22,19:45,0,0,0,
9,2014-11-23,23-047,ANA,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,20:06,1,0,0,
10,2014-11-25,23-049,ANA,CGY,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,27,20:34,2,0,0,
11,2014-11-28,23-052,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,29,23:15,4,0,0,
12,2014-11-29,23-053,ANA,SJS,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,26,18:27,1,0,0,
13,2014-12-01,23-055,ANA,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,21:57,6,0,0,
14,2014-12-03,23-057,ANA,PHI,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,30,20:59,2,0,0,
15,2014-12-05,23-059,ANA,MIN,W,0,0,0,2,4,0,0,0,0,0,0,0,0,,23,16:48,1,0,0,
16,2014-12-07,23-061,ANA,WPG,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,19,14:44,0,0,0,
17,2014-12-10,23-064,ANA,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,17:02,1,0,0,
18,2015-02-18,23-134,ANA,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,21:03,1,0,0,
19,2015-02-20,23-136,ANA,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,20:24,0,0,0,
20,2015-02-21,23-137,ANA,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:42,1,0,0,
21,2015-02-23,23-139,ANA,DET,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,14:17,2,0,0,
22,2015-02-25,23-141,ANA,OTT,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,14:49,2,0,0,
23,2015-02-27,23-143,ANA,LAK,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,19,16:02,1,0,0,
24,2015-03-01,23-145,ANA,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,14:23,1,0,0,
25,2015-03-03,23-147,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,19:35,1,0,0,
26,2015-03-04,23-148,ANA,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:22,4,0,0,
27,2015-03-06,23-150,ANA,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:49,0,0,0,
28,2015-10-14,24-007,ANA,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,20:21,2,0,0,
29,2015-10-16,24-009,ANA,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,14:43,2,0,0,
30,2015-10-18,24-011,ANA,MIN,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,21,16:55,1,0,0,
31,2015-10-22,24-015,ANA,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,14:31,2,0,0,
32,2015-11-06,24-030,ANA,CBJ,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,20,19:38,3,0,0,
33,2015-11-07,24-031,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,17:17,4,0,0,
34,2015-11-09,24-033,ANA,ARI,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,22,17:59,4,0,0,
35,2015-11-11,24-035,ANA,EDM,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,25,19:46,4,0,0,
36,2015-11-13,24-037,ANA,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,16:19,1,0,0,
37,2015-11-19,24-043,ANA,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:12,1,0,0,
38,2015-11-21,24-045,ANA,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,24,19:18,3,0,0,
39,2015-11-24,24-048,ANA,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,22:09,2,0,0,
