,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-02-22,20-293,OTT,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,15:16,1,9,5,64.3
1,2020-02-27,20-298,OTT,VAN,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,27,17:38,0,10,4,71.4
2,2020-02-29,20-300,OTT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,20:51,2,11,10,52.4
3,2021-01-15,21-255,OTT,TOR,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,21,16:07,2,3,9,25.0
4,2021-01-16,21-256,OTT,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,15:33,2,5,4,55.6
5,2021-01-19,21-259,OTT,WPG,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,6,16.7,22,16:45,1,3,3,50.0
6,2021-01-21,21-261,OTT,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,16:06,4,1,3,25.0
7,2021-01-23,21-263,OTT,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,16:53,1,5,7,41.7
8,2021-01-25,21-265,OTT,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:37,1,7,6,53.8
9,2021-01-27,21-267,OTT,VAN,L,1,0,1,0,2,0,1,0,0,0,0,0,7,14.3,19,16:59,0,9,6,60.0
10,2021-01-28,21-268,OTT,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,17:14,2,5,6,45.5
11,2021-01-31,21-271,OTT,EDM,L,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,20,13:45,0,4,7,36.4
12,2021-02-02,21-273,OTT,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,14:06,0,5,4,55.6
13,2021-02-04,21-275,OTT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,14:25,2,6,3,66.7
14,2021-02-06,21-277,OTT,MTL,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,26,15:46,1,8,6,57.1
15,2021-02-08,21-279,OTT,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:34,1,5,4,55.6
16,2021-02-09,21-280,OTT,EDM,L,0,0,0,-3,2,0,0,0,0,0,0,0,0,,17,12:19,2,7,5,58.3
17,2021-02-11,21-282,OTT,WPG,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,17,12:34,1,1,3,25.0
18,2021-02-13,21-284,OTT,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:58,0,6,2,75.0
19,2021-02-15,21-286,OTT,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,16:41,4,9,2,81.8
20,2021-02-17,21-288,OTT,TOR,L,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,22,17:29,1,7,6,53.8
21,2021-02-18,21-289,OTT,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:16,2,7,10,41.2
22,2021-02-21,21-292,OTT,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,27,17:48,2,8,4,66.7
23,2021-02-23,21-294,OTT,MTL,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,30,19:46,0,11,4,73.3
24,2021-02-25,21-296,OTT,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,16:27,1,6,9,40.0
25,2021-02-27,21-298,OTT,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,26,16:56,2,9,9,50.0
26,2021-03-01,21-300,OTT,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,13:49,0,6,3,66.7
27,2021-03-02,21-301,OTT,MTL,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,17:36,0,6,4,60.0
28,2021-03-04,21-303,OTT,CGY,L,1,1,2,-2,0,1,0,0,0,0,1,0,2,50.0,25,16:25,0,9,5,64.3
29,2021-03-07,21-306,OTT,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,11:30,2,3,3,50.0
30,2021-03-08,21-307,OTT,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:52,3,3,5,37.5
31,2021-03-10,21-309,OTT,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,14:44,0,8,10,44.4
32,2021-03-12,21-311,OTT,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,27,17:05,2,7,8,46.7
33,2021-03-14,21-313,OTT,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,17:44,0,9,6,60.0
34,2021-03-15,21-314,OTT,VAN,L-OT,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,29,17:58,2,9,9,50.0
