,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-11,21-361,CAR,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,8:23,0,1,0,100.0
1,2019-10-12,21-362,CAR,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,8:26,2,0,1,0.0
2,2019-12-10,22-056,CAR,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,6:52,0,0,0,
3,2019-12-12,22-058,CAR,VAN,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,9,4:04,2,0,0,
4,2019-12-14,22-060,CAR,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,9:13,0,0,0,
5,2020-02-19,22-127,NYR,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:18,1,0,0,
6,2020-02-21,22-129,NYR,CAR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,8,5:25,2,0,0,
7,2020-02-22,22-130,NYR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:19,0,0,0,
8,2020-02-25,22-133,NYR,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,7:40,3,0,0,
9,2020-02-27,22-135,NYR,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,9:55,2,0,0,
10,2020-02-28,22-136,NYR,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:30,0,0,0,
11,2020-03-01,22-138,NYR,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,11:12,2,0,1,0.0
12,2020-03-03,22-140,NYR,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:37,0,0,0,
13,2020-03-05,22-142,NYR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:24,0,0,0,
14,2020-03-07,22-144,NYR,NJD,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,18,10:30,1,0,0,
15,2020-03-10,22-147,NYR,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:57,0,0,0,
16,2020-03-11,22-148,NYR,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:01,0,0,0,
17,2021-01-14,23-091,NYR,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,10:12,4,0,0,
18,2021-01-16,23-093,NYR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:03,1,0,1,0.0
19,2021-01-19,23-096,NYR,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,8:31,2,0,0,
20,2021-02-01,23-109,NYR,PIT,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,15,9:49,1,0,0,
21,2021-02-04,23-112,NYR,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,6:12,0,0,0,
22,2021-02-08,23-116,NYR,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:14,4,0,0,
23,2021-02-10,23-118,NYR,BOS,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,12,6:54,1,0,0,
24,2021-02-12,23-120,NYR,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:17,1,0,0,
25,2021-02-16,23-124,NYR,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:57,0,0,0,
26,2021-02-20,23-128,NYR,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,9:03,0,1,0,100.0
27,2021-02-24,23-132,NYR,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,7:04,2,0,0,
28,2021-02-26,23-134,NYR,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,11:24,2,0,0,
29,2021-02-28,23-136,NYR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:10,1,0,1,0.0
30,2021-03-02,23-138,NYR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:56,6,0,1,0.0
31,2021-03-04,23-140,NYR,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,12:59,0,0,0,
