,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-02-11,20-225,BUF,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,15,11:54,1,0,0,
1,2016-02-12,20-226,BUF,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,13:44,3,0,0,
2,2016-02-14,20-228,BUF,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,12,11:06,0,0,0,
3,2016-02-16,20-230,BUF,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,10:41,0,0,0,
4,2016-02-21,20-235,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:55,3,0,0,
5,2016-02-24,20-238,BUF,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,12:03,1,0,0,
6,2016-02-26,20-240,BUF,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,14:04,0,0,0,
7,2016-02-27,20-241,BUF,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:22,0,0,0,
8,2016-11-01,21-123,BUF,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:26,2,0,0,
9,2016-11-03,21-125,BUF,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:02,1,0,0,
10,2016-12-31,21-183,BUF,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:56,1,0,0,
11,2017-01-03,21-186,BUF,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,10:29,0,0,0,
12,2017-01-05,21-188,BUF,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:01,5,0,0,
13,2017-01-07,21-190,BUF,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:25,1,0,0,
14,2017-01-10,21-193,BUF,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:51,0,0,0,
15,2017-01-12,21-195,BUF,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:02,1,0,0,
16,2017-01-13,21-196,BUF,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,10,6:53,1,0,0,
17,2017-02-04,21-218,BUF,OTT,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,12,9:24,1,0,0,
18,2017-02-06,21-220,BUF,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,6:52,1,0,0,
19,2017-02-07,21-221,BUF,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,12:25,1,0,0,
20,2017-02-09,21-223,BUF,ANA,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,10:41,0,0,0,
21,2017-02-11,21-225,BUF,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,13:58,1,0,0,
22,2017-02-12,21-226,BUF,VAN,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,10:42,0,0,0,
23,2017-02-14,21-228,BUF,OTT,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,22,14:02,1,0,0,
24,2017-02-16,21-230,BUF,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:14,0,0,0,
25,2017-02-18,21-232,BUF,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:49,0,0,0,
26,2017-02-19,21-233,BUF,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:44,0,0,0,
27,2017-02-25,21-239,BUF,COL,L,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,17,13:09,0,0,0,
28,2017-02-26,21-240,BUF,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:46,0,0,0,
29,2017-02-28,21-242,BUF,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:16,1,0,0,
30,2017-03-02,21-244,BUF,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:47,1,0,1,0.0
31,2017-03-04,21-246,BUF,TBL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:11,2,0,0,
32,2017-03-05,21-247,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,7:47,2,0,0,
33,2017-03-07,21-249,BUF,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,10:26,0,0,0,
34,2017-03-10,21-252,BUF,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,11:19,1,0,0,
35,2017-03-11,21-253,BUF,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:21,0,,,
36,2017-03-14,21-256,BUF,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,13:50,1,0,0,
37,2017-03-17,21-259,BUF,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:04,0,0,0,
38,2017-03-20,21-262,BUF,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,8:18,1,0,0,
39,2017-03-21,21-263,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,10:04,1,0,0,
40,2017-10-15,22-106,BUF,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,9:39,0,0,1,0.0
41,2017-10-17,22-108,BUF,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:12,3,0,1,0.0
42,2017-10-20,22-111,BUF,VAN,L,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,23,14:56,1,0,0,
43,2017-10-21,22-112,BUF,BOS,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,15:51,3,0,0,
