,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-11-15,28-245,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:23,6,0,0,
1,2021-11-18,28-248,CBJ,ARI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,14,10:13,1,0,0,
2,2021-11-20,28-250,CBJ,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:21,4,0,0,
3,2021-11-30,28-260,CBJ,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:45,1,0,0,
4,2021-12-02,28-262,CBJ,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:29,5,0,0,
5,2021-12-04,28-264,CBJ,WSH,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,10:10,3,5,2,71.4
6,2021-12-05,28-265,CBJ,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,18,12:48,0,4,1,80.0
7,2021-12-07,28-267,CBJ,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:52,3,4,3,57.1
8,2021-12-09,28-269,CBJ,ANA,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,15,10:46,0,2,2,50.0
9,2021-12-11,28-271,CBJ,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:58,1,1,1,50.0
10,2021-12-14,28-274,CBJ,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:28,1,2,2,50.0
11,2021-12-16,28-276,CBJ,EDM,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,16,11:02,2,0,1,0.0
12,2021-12-30,28-290,CBJ,NSH,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,7:49,3,1,0,100.0
13,2022-02-20,28-342,CBJ,BUF,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,18,6:59,1,0,1,0.0
14,2022-02-22,28-344,CBJ,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,9:00,2,2,0,100.0
15,2022-02-24,28-346,CBJ,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,10:46,3,0,0,
16,2022-02-25,28-347,CBJ,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,11:32,3,3,1,75.0
17,2022-02-27,28-349,CBJ,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,11:01,1,0,0,
18,2022-03-01,28-351,CBJ,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,15:26,2,1,0,100.0
19,2022-03-04,28-354,CBJ,LAK,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,14:29,2,0,0,
20,2022-03-05,28-355,CBJ,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:22,4,0,0,
21,2022-03-07,28-357,CBJ,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:18,3,2,4,33.3
22,2022-03-10,28-360,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,1:59,0,0,1,0.0
23,2022-03-16,29-001,CBJ,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,12:49,3,6,5,54.5
24,2022-03-17,29-002,CBJ,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,15:25,2,6,9,40.0
25,2022-03-19,29-004,CBJ,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,11,10:21,0,0,5,0.0
26,2022-03-22,29-007,CBJ,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,11:16,2,0,0,
27,2022-03-25,29-010,CBJ,WPG,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,23,15:33,1,1,0,100.0
28,2022-03-26,29-011,CBJ,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:38,2,1,1,50.0
29,2022-03-29,29-014,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:25,3,2,1,66.7
30,2022-03-31,29-016,CBJ,NYI,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,16,12:16,2,1,0,100.0
31,2022-04-02,29-018,CBJ,BOS,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,19,14:13,1,1,1,50.0
32,2022-04-04,29-020,CBJ,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,17:14,3,2,6,25.0
33,2022-04-05,29-021,CBJ,PHI,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,19,17:22,2,1,0,100.0
34,2022-04-07,29-023,CBJ,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,18,11:36,1,0,0,
35,2022-04-09,29-025,CBJ,DET,W,1,0,1,-3,0,1,0,0,0,0,0,0,1,100.0,23,16:50,2,10,9,52.6
36,2022-04-13,29-029,CBJ,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:55,0,2,2,50.0
37,2022-04-16,29-032,CBJ,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:12,4,6,4,60.0
38,2022-04-17,29-033,CBJ,ANA,L,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,21,15:09,2,7,2,77.8
39,2022-04-19,29-035,CBJ,SJS,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,24,15:51,1,4,5,44.4
40,2022-04-22,29-038,CBJ,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,18:05,2,3,4,42.9
41,2022-04-24,29-040,CBJ,EDM,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,13:11,0,8,3,72.7
42,2022-04-26,29-042,CBJ,TBL,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,19,13:34,0,6,4,60.0
43,2022-04-28,29-044,CBJ,TBL,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,21,14:48,0,7,1,87.5
44,2022-04-29,29-045,CBJ,PIT,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,18,15:03,1,6,11,35.3
45,2022-10-12,29-211,CBJ,CAR,L,0,0,0,-3,2,0,0,0,0,0,0,0,5,0.0,23,16:46,2,3,6,33.3
46,2022-10-14,29-213,CBJ,TBL,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,22,20:23,2,0,0,
47,2022-10-15,29-214,CBJ,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:00,1,0,1,0.0
48,2022-10-18,29-217,CBJ,VAN,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,15,12:48,1,0,1,0.0
49,2022-10-20,29-219,CBJ,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,12:37,0,0,1,0.0
50,2022-10-22,29-221,CBJ,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:46,1,1,0,100.0
51,2023-10-12,30-211,CBJ,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,10:12,1,0,0,
52,2023-10-14,30-213,CBJ,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,15:12,0,0,0,
53,2023-10-16,30-215,CBJ,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,12:32,2,0,1,0.0
54,2023-10-20,30-219,CBJ,CGY,W,1,1,2,2,0,1,0,0,1,1,0,0,1,100.0,16,10:20,1,0,0,
55,2023-10-21,30-220,CBJ,MIN,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,16,10:22,0,2,1,66.7
56,2023-10-24,30-223,CBJ,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:12,1,0,1,0.0
57,2023-10-26,30-225,CBJ,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:55,3,0,1,0.0
58,2023-10-28,30-227,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:25,1,0,1,0.0
59,2023-10-30,30-229,CBJ,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:25,1,0,0,
60,2023-11-02,30-232,CBJ,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,12:51,1,2,0,100.0
61,2023-11-04,30-234,CBJ,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:31,4,0,0,
62,2023-11-06,30-236,CBJ,FLA,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,15:07,3,0,0,
