,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-25,26-024,DAL,WPG,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,17,11:05,0,4,4,50.0
1,2016-10-27,26-026,DAL,WPG,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,8:41,0,2,4,33.3
2,2016-11-10,26-040,DAL,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,14:27,0,7,4,63.6
3,2016-11-11,26-041,DAL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,11:34,1,5,5,50.0
4,2016-11-13,26-043,DAL,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:07,0,2,4,33.3
5,2017-04-01,26-182,DAL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:17,0,8,6,57.1
6,2017-04-02,26-183,DAL,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:57,0,6,0,100.0
7,2017-04-04,26-185,DAL,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:47,0,3,3,50.0
8,2017-04-06,26-187,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1:19,0,1,1,50.0
9,2018-10-23,28-022,DAL,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,11:51,0,3,3,50.0
10,2018-10-25,28-024,DAL,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:42,0,3,2,60.0
11,2018-10-28,28-027,DAL,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:40,2,1,2,33.3
12,2018-10-30,28-029,DAL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,9:48,1,2,5,28.6
13,2018-11-05,28-035,DAL,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:31,3,3,1,75.0
14,2018-11-06,28-036,DAL,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:08,0,0,1,0.0
